prompt_id,group_id,condition,mechanism,clean_answer,conflict_answer,executed_order,top1_id,native_top1_id,top1_matches_native,candidate_margin,native_candidate_margin,candidate_choice,native_candidate_choice,candidate_choice_matches_native,js_divergence_from_native,native_top1_rank,expected_candidate,task_correct,native_task_correct
relation_g002_competition_balanced,2,competition_balanced,competition,North,South,native,4882,4882,True,-0.796875,-0.796875,conflict,conflict,True,0.0,1,,,
relation_g002_direct_conflict,2,direct_conflict,competition,North,South,native,4882,4882,True,-2.703125,-2.703125,conflict,conflict,True,0.0,1,,,
relation_g002_equal_evidence,2,equal_evidence,competition,North,South,native,4787,4787,True,0.03125,0.03125,clean,clean,True,0.0,1,,,
relation_g002_exception_override,2,exception_override,closure,North,South,native,4882,4882,True,-4.296875,-4.296875,conflict,conflict,True,0.0,1,conflict,1.0,1.0
relation_g002_irrelevant,2,irrelevant,stable,North,South,native,4882,4882,True,-1.484375,-1.484375,conflict,conflict,True,0.0,1,clean,0.0,0.0
relation_g002_paraphrase,2,paraphrase,stable,North,South,native,4787,4787,True,2.921875,2.921875,clean,clean,True,0.0,1,clean,1.0,1.0
relation_g002_rename,2,rename,stable,North,South,native,4787,4787,True,0.53125,0.53125,clean,clean,True,0.0,1,clean,1.0,1.0
relation_g002_source_claim,2,source_claim,source_ambiguity,North,South,native,4882,4882,True,-1.609375,-1.609375,conflict,conflict,True,0.0,1,,,
relation_g002_weak_distractor,2,weak_distractor,stable_shift,North,South,native,4882,4882,True,-0.65625,-0.65625,conflict,conflict,True,0.0,1,clean,0.0,0.0
relation_g015_clean,15,clean,stable,East,West,native,4312,4312,True,-1.25,-1.25,conflict,conflict,True,0.0,1,clean,0.0,0.0
relation_g015_closure_override,15,closure_override,closure,East,West,native,4312,4312,True,-3.640625,-3.640625,conflict,conflict,True,0.0,1,conflict,1.0,1.0
relation_g015_closure_update,15,closure_update,closure,East,West,native,4312,4312,True,-5.4375,-5.4375,conflict,conflict,True,0.0,1,conflict,1.0,1.0
relation_g015_competition_balanced,15,competition_balanced,competition,East,West,native,4312,4312,True,-2.1875,-2.1875,conflict,conflict,True,0.0,1,,,
relation_g015_direct_conflict,15,direct_conflict,competition,East,West,native,4312,4312,True,-4.8125,-4.8125,conflict,conflict,True,0.0,1,,,
relation_g015_equal_evidence,15,equal_evidence,competition,East,West,native,6326,6326,True,0.59375,0.59375,clean,clean,True,0.0,1,,,
relation_g015_exception_override,15,exception_override,closure,East,West,native,4312,4312,True,-3.375,-3.375,conflict,conflict,True,0.0,1,conflict,1.0,1.0
relation_g015_irrelevant,15,irrelevant,stable,East,West,native,4312,4312,True,-2.828125,-2.828125,conflict,conflict,True,0.0,1,clean,0.0,0.0
relation_g015_paraphrase,15,paraphrase,stable,East,West,native,6326,6326,True,2.015625,2.015625,clean,clean,True,0.0,1,clean,1.0,1.0
relation_g015_rename,15,rename,stable,East,West,native,6326,6326,True,1.53125,1.53125,clean,clean,True,0.0,1,clean,1.0,1.0
relation_g015_source_claim,15,source_claim,source_ambiguity,East,West,native,4312,4312,True,-2.328125,-2.328125,conflict,conflict,True,0.0,1,,,
relation_g015_weak_distractor,15,weak_distractor,stable_shift,East,West,native,4312,4312,True,-2.171875,-2.171875,conflict,conflict,True,0.0,1,clean,0.0,0.0
relation_g023_clean,23,clean,stable,Gold,Iron,native,7421,7421,True,1.0,1.0,clean,clean,True,0.0,1,clean,1.0,1.0
relation_g023_closure_override,23,closure_override,closure,Gold,Iron,native,16570,16570,True,-7.203125,-7.203125,conflict,conflict,True,0.0,1,conflict,1.0,1.0
relation_g023_closure_update,23,closure_update,closure,Gold,Iron,native,16570,16570,True,-6.703125,-6.703125,conflict,conflict,True,0.0,1,conflict,1.0,1.0
relation_g023_competition_balanced,23,competition_balanced,competition,Gold,Iron,native,16570,16570,True,-1.9375,-1.9375,conflict,conflict,True,0.0,1,,,
relation_g023_direct_conflict,23,direct_conflict,competition,Gold,Iron,native,16570,16570,True,-6.421875,-6.421875,conflict,conflict,True,0.0,1,,,
relation_g023_equal_evidence,23,equal_evidence,competition,Gold,Iron,native,16570,16570,True,-1.734375,-1.734375,conflict,conflict,True,0.0,1,,,
relation_g023_exception_override,23,exception_override,closure,Gold,Iron,native,16570,16570,True,-6.46875,-6.46875,conflict,conflict,True,0.0,1,conflict,1.0,1.0
relation_g023_irrelevant,23,irrelevant,stable,Gold,Iron,native,16570,16570,True,-1.484375,-1.484375,conflict,conflict,True,0.0,1,clean,0.0,0.0
relation_g023_paraphrase,23,paraphrase,stable,Gold,Iron,native,7421,7421,True,3.46875,3.46875,clean,clean,True,0.0,1,clean,1.0,1.0
relation_g023_rename,23,rename,stable,Gold,Iron,native,7421,7421,True,1.890625,1.890625,clean,clean,True,0.0,1,clean,1.0,1.0
relation_g023_source_claim,23,source_claim,source_ambiguity,Gold,Iron,native,16570,16570,True,-2.078125,-2.078125,conflict,conflict,True,0.0,1,,,
relation_g023_weak_distractor,23,weak_distractor,stable_shift,Gold,Iron,native,16570,16570,True,-2.234375,-2.234375,conflict,conflict,True,0.0,1,clean,0.0,0.0
relation_g000_clean,0,clean,stable,Red,Blue,reverse,112919,8697,False,1.9941406,-1.453125,clean,conflict,False,0.6930927,68008,clean,1.0,0.0
relation_g000_closure_override,0,closure_override,closure,Red,Blue,reverse,112919,8697,False,2.0605469,-6.4375,clean,conflict,False,0.69305426,73803,conflict,0.0,1.0
relation_g000_closure_update,0,closure_update,closure,Red,Blue,reverse,112919,8697,False,2.0419922,-7.0625,clean,conflict,False,0.69313145,68851,conflict,0.0,1.0
relation_g000_competition_balanced,0,competition_balanced,competition,Red,Blue,reverse,112919,8697,False,2.022461,-2.078125,clean,conflict,False,0.6930852,71655,,,
relation_g000_direct_conflict,0,direct_conflict,competition,Red,Blue,reverse,112919,8697,False,1.9296875,-5.359375,clean,conflict,False,0.69313693,67165,,,
relation_g000_equal_evidence,0,equal_evidence,competition,Red,Blue,reverse,112919,8697,False,2.2363281,-2.421875,clean,conflict,False,0.69301355,68194,,,
relation_g000_exception_override,0,exception_override,closure,Red,Blue,reverse,112919,8697,False,2.0185547,-5.578125,clean,conflict,False,0.6930624,72774,conflict,0.0,1.0
relation_g000_irrelevant,0,irrelevant,stable,Red,Blue,reverse,112919,8697,False,1.9404297,-1.734375,clean,conflict,False,0.6930599,67518,clean,1.0,0.0
relation_g000_paraphrase,0,paraphrase,stable,Red,Blue,reverse,112919,3731,False,1.9335938,1.78125,clean,clean,True,0.69017124,33081,clean,1.0,1.0
relation_g000_rename,0,rename,stable,Red,Blue,reverse,112919,3731,False,1.984375,0.296875,clean,clean,True,0.6898794,33295,clean,1.0,1.0
relation_g000_source_claim,0,source_claim,source_ambiguity,Red,Blue,reverse,112919,8697,False,2.0722656,-1.640625,clean,conflict,False,0.6929679,72379,,,
relation_g000_weak_distractor,0,weak_distractor,stable_shift,Red,Blue,reverse,112919,8697,False,1.9697266,-1.375,clean,conflict,False,0.69310534,69302,clean,1.0,0.0
relation_g002_clean,2,clean,stable,North,South,reverse,112919,4882,False,-2.831787,-0.375,conflict,conflict,True,0.6929927,11640,clean,0.0,0.0
relation_g002_closure_override,2,closure_override,closure,North,South,reverse,112919,4882,False,-2.7592773,-4.171875,conflict,conflict,True,0.6929811,13960,conflict,1.0,1.0
relation_g002_closure_update,2,closure_update,closure,North,South,reverse,112919,4882,False,-2.784546,-4.203125,conflict,conflict,True,0.69303775,12370,conflict,1.0,1.0
relation_g002_competition_balanced,2,competition_balanced,competition,North,South,reverse,112919,4882,False,-2.790039,-0.796875,conflict,conflict,True,0.6927258,13580,,,
relation_g002_direct_conflict,2,direct_conflict,competition,North,South,reverse,112919,4882,False,-2.864746,-2.703125,conflict,conflict,True,0.6930526,11673,,,
relation_g002_equal_evidence,2,equal_evidence,competition,North,South,reverse,112919,4787,False,-2.6425781,0.03125,conflict,clean,False,0.6923579,45033,,,
relation_g002_exception_override,2,exception_override,closure,North,South,reverse,112919,4882,False,-2.8010254,-4.296875,conflict,conflict,True,0.6929766,13105,conflict,1.0,1.0
relation_g002_irrelevant,2,irrelevant,stable,North,South,reverse,112919,4882,False,-2.7937012,-1.484375,conflict,conflict,True,0.6927589,11876,clean,0.0,0.0
relation_g002_paraphrase,2,paraphrase,stable,North,South,reverse,112919,4787,False,-2.6088867,2.921875,conflict,clean,False,0.6896873,47068,clean,0.0,1.0
relation_g002_rename,2,rename,stable,North,South,reverse,112919,4787,False,-2.7358398,0.53125,conflict,clean,False,0.68885624,51279,clean,0.0,1.0
relation_g002_source_claim,2,source_claim,source_ambiguity,North,South,reverse,112919,4882,False,-2.786621,-1.609375,conflict,conflict,True,0.6927419,13032,,,
relation_g002_weak_distractor,2,weak_distractor,stable_shift,North,South,reverse,112919,4882,False,-2.710205,-0.65625,conflict,conflict,True,0.69296396,12081,clean,0.0,0.0
relation_g015_clean,15,clean,stable,East,West,reverse,112919,4312,False,7.6933594,-1.25,clean,conflict,False,0.6922277,66266,clean,1.0,0.0
relation_g015_closure_override,15,closure_override,closure,East,West,reverse,112919,4312,False,7.517578,-3.640625,clean,conflict,False,0.69248223,74166,conflict,0.0,1.0
relation_g015_closure_update,15,closure_update,closure,East,West,reverse,112919,4312,False,7.578125,-5.4375,clean,conflict,False,0.6926813,66330,conflict,0.0,1.0
relation_g015_competition_balanced,15,competition_balanced,competition,East,West,reverse,112919,4312,False,7.404297,-2.1875,clean,conflict,False,0.6924586,74887,,,
relation_g015_direct_conflict,15,direct_conflict,competition,East,West,reverse,112919,4312,False,7.6621094,-4.8125,clean,conflict,False,0.69262654,66609,,,
relation_g015_equal_evidence,15,equal_evidence,competition,East,West,reverse,112919,6326,False,7.4316406,0.59375,clean,clean,True,0.692069,633,,,
relation_g015_exception_override,15,exception_override,closure,East,West,reverse,112919,4312,False,7.5234375,-3.375,clean,conflict,False,0.6923759,72036,conflict,0.0,1.0
relation_g015_irrelevant,15,irrelevant,stable,East,West,reverse,112919,4312,False,7.6503906,-2.828125,clean,conflict,False,0.6923873,66541,clean,1.0,0.0
relation_g015_paraphrase,15,paraphrase,stable,East,West,reverse,112919,6326,False,7.34375,2.015625,clean,clean,True,0.6893925,908,clean,1.0,1.0
relation_g015_rename,15,rename,stable,East,West,reverse,112919,6326,False,7.34375,1.53125,clean,clean,True,0.6903473,939,clean,1.0,1.0
relation_g015_source_claim,15,source_claim,source_ambiguity,East,West,reverse,112919,4312,False,7.5410156,-2.328125,clean,conflict,False,0.69212204,72228,,,
relation_g015_weak_distractor,15,weak_distractor,stable_shift,East,West,reverse,112919,4312,False,7.6640625,-2.171875,clean,conflict,False,0.69235194,67302,clean,1.0,0.0
relation_g023_clean,23,clean,stable,Gold,Iron,reverse,112919,7421,False,-2.2729492,1.0,conflict,clean,False,0.69258916,8638,clean,0.0,1.0
relation_g023_closure_override,23,closure_override,closure,Gold,Iron,reverse,112919,16570,False,-2.0546875,-7.203125,conflict,conflict,True,0.69272,1792,conflict,1.0,1.0
relation_g023_closure_update,23,closure_update,closure,Gold,Iron,reverse,112919,16570,False,-2.1689453,-6.703125,conflict,conflict,True,0.692746,1596,conflict,1.0,1.0
relation_g023_competition_balanced,23,competition_balanced,competition,Gold,Iron,reverse,112919,16570,False,-2.0771484,-1.9375,conflict,conflict,True,0.692464,1661,,,
relation_g023_direct_conflict,23,direct_conflict,competition,Gold,Iron,reverse,112919,16570,False,-2.2480469,-6.421875,conflict,conflict,True,0.6927483,1543,,,
relation_g023_equal_evidence,23,equal_evidence,competition,Gold,Iron,reverse,112919,16570,False,-2.0917969,-1.734375,conflict,conflict,True,0.69190896,1506,,,
relation_g023_exception_override,23,exception_override,closure,Gold,Iron,reverse,112919,16570,False,-2.0917969,-6.46875,conflict,conflict,True,0.69266856,1603,conflict,1.0,1.0
relation_g023_irrelevant,23,irrelevant,stable,Gold,Iron,reverse,112919,16570,False,-2.2260742,-1.484375,conflict,conflict,True,0.6924906,1548,clean,0.0,0.0
relation_g023_paraphrase,23,paraphrase,stable,Gold,Iron,reverse,112919,7421,False,-2.0478516,3.46875,conflict,clean,False,0.68817276,8205,clean,0.0,1.0
relation_g023_rename,23,rename,stable,Gold,Iron,reverse,112919,7421,False,-2.265625,1.890625,conflict,clean,False,0.6866257,8504,clean,0.0,1.0
relation_g023_source_claim,23,source_claim,source_ambiguity,Gold,Iron,reverse,112919,16570,False,-2.1396484,-2.078125,conflict,conflict,True,0.69126844,1575,,,
relation_g023_weak_distractor,23,weak_distractor,stable_shift,Gold,Iron,reverse,112919,16570,False,-2.2172852,-2.234375,conflict,conflict,True,0.69269013,1557,clean,0.0,0.0
relation_g000_clean,0,clean,stable,Red,Blue,fixed_permutation,220,8697,False,0.1796875,-1.453125,clean,conflict,False,0.69308656,69917,clean,1.0,0.0
relation_g000_closure_override,0,closure_override,closure,Red,Blue,fixed_permutation,112919,8697,False,1.0234375,-6.4375,clean,conflict,False,0.693028,64390,conflict,0.0,1.0
relation_g000_closure_update,0,closure_update,closure,Red,Blue,fixed_permutation,220,8697,False,0.40234375,-7.0625,clean,conflict,False,0.6931323,59760,conflict,0.0,1.0
relation_g000_competition_balanced,0,competition_balanced,competition,Red,Blue,fixed_permutation,112919,8697,False,0.76953125,-2.078125,clean,conflict,False,0.6930788,61278,,,
relation_g000_direct_conflict,0,direct_conflict,competition,Red,Blue,fixed_permutation,220,8697,False,0.16015625,-5.359375,clean,conflict,False,0.6931398,68338,,,
relation_g000_equal_evidence,0,equal_evidence,competition,Red,Blue,fixed_permutation,220,8697,False,0.73828125,-2.421875,clean,conflict,False,0.6929899,80087,,,
relation_g000_exception_override,0,exception_override,closure,Red,Blue,fixed_permutation,112919,8697,False,0.9394531,-5.578125,clean,conflict,False,0.6930388,62509,conflict,0.0,1.0
relation_g000_irrelevant,0,irrelevant,stable,Red,Blue,fixed_permutation,220,8697,False,0.37304688,-1.734375,clean,conflict,False,0.69303614,60717,clean,1.0,0.0
relation_g000_paraphrase,0,paraphrase,stable,Red,Blue,fixed_permutation,220,3731,False,0.3515625,1.78125,clean,clean,True,0.68794125,50817,clean,1.0,1.0
relation_g000_rename,0,rename,stable,Red,Blue,fixed_permutation,112919,3731,False,0.98046875,0.296875,clean,clean,True,0.688921,45221,clean,1.0,1.0
relation_g000_source_claim,0,source_claim,source_ambiguity,Red,Blue,fixed_permutation,220,8697,False,0.44921875,-1.640625,clean,conflict,False,0.6929289,71065,,,
relation_g000_weak_distractor,0,weak_distractor,stable_shift,Red,Blue,fixed_permutation,112919,8697,False,0.39257812,-1.375,clean,conflict,False,0.6931023,55371,clean,1.0,0.0
relation_g002_clean,2,clean,stable,North,South,fixed_permutation,112919,4882,False,-2.024414,-0.375,conflict,conflict,True,0.692984,12073,clean,0.0,0.0
relation_g002_closure_override,2,closure_override,closure,North,South,fixed_permutation,112919,4882,False,-1.9270325,-4.171875,conflict,conflict,True,0.6929517,12820,conflict,1.0,1.0
relation_g002_closure_update,2,closure_update,closure,North,South,fixed_permutation,112919,4882,False,-1.8912354,-4.203125,conflict,conflict,True,0.69302607,12757,conflict,1.0,1.0
relation_g002_competition_balanced,2,competition_balanced,competition,North,South,fixed_permutation,112919,4882,False,-1.8425293,-0.796875,conflict,conflict,True,0.6926711,13747,,,
relation_g002_direct_conflict,2,direct_conflict,competition,North,South,fixed_permutation,112919,4882,False,-1.9591064,-2.703125,conflict,conflict,True,0.6930511,12179,,,
relation_g002_equal_evidence,2,equal_evidence,competition,North,South,fixed_permutation,112919,4787,False,-2.1818848,0.03125,conflict,clean,False,0.6922357,33639,,,
relation_g002_exception_override,2,exception_override,closure,North,South,fixed_permutation,112919,4882,False,-1.755127,-4.296875,conflict,conflict,True,0.692961,14000,conflict,1.0,1.0
relation_g002_irrelevant,2,irrelevant,stable,North,South,fixed_permutation,112919,4882,False,-2.1091309,-1.484375,conflict,conflict,True,0.6927563,11600,clean,0.0,0.0
relation_g002_paraphrase,2,paraphrase,stable,North,South,fixed_permutation,112919,4787,False,-1.9702148,2.921875,conflict,clean,False,0.6883681,34841,clean,0.0,1.0
relation_g002_rename,2,rename,stable,North,South,fixed_permutation,112919,4787,False,-1.8912354,0.53125,conflict,clean,False,0.68796927,37392,clean,0.0,1.0
relation_g002_source_claim,2,source_claim,source_ambiguity,North,South,fixed_permutation,112919,4882,False,-2.1645508,-1.609375,conflict,conflict,True,0.69263375,11230,,,
relation_g002_weak_distractor,2,weak_distractor,stable_shift,North,South,fixed_permutation,112919,4882,False,-1.9553223,-0.65625,conflict,conflict,True,0.6929407,12110,clean,0.0,0.0
relation_g015_clean,15,clean,stable,East,West,fixed_permutation,220,4312,False,5.921875,-1.25,clean,conflict,False,0.6926453,35331,clean,1.0,0.0
relation_g015_closure_override,15,closure_override,closure,East,West,fixed_permutation,112919,4312,False,6.4921875,-3.640625,clean,conflict,False,0.69244194,45770,conflict,0.0,1.0
relation_g015_closure_update,15,closure_update,closure,East,West,fixed_permutation,112919,4312,False,6.330078,-5.4375,clean,conflict,False,0.69276184,41904,conflict,0.0,1.0
relation_g015_competition_balanced,15,competition_balanced,competition,East,West,fixed_permutation,112919,4312,False,6.513672,-2.1875,clean,conflict,False,0.6924075,49010,,,
relation_g015_direct_conflict,15,direct_conflict,competition,East,West,fixed_permutation,112919,4312,False,6.2285156,-4.8125,clean,conflict,False,0.69277954,39075,,,
relation_g015_equal_evidence,15,equal_evidence,competition,East,West,fixed_permutation,220,6326,False,5.8378906,0.59375,clean,clean,True,0.6921989,1010,,,
relation_g015_exception_override,15,exception_override,closure,East,West,fixed_permutation,112919,4312,False,6.4785156,-3.375,clean,conflict,False,0.69235784,44956,conflict,0.0,1.0
relation_g015_irrelevant,15,irrelevant,stable,East,West,fixed_permutation,112919,4312,False,6.3535156,-2.828125,clean,conflict,False,0.6925366,39335,clean,1.0,0.0
relation_g015_paraphrase,15,paraphrase,stable,East,West,fixed_permutation,112919,6326,False,6.4570312,2.015625,clean,clean,True,0.6868271,819,clean,1.0,1.0
relation_g015_rename,15,rename,stable,East,West,fixed_permutation,112919,6326,False,6.470703,1.53125,clean,clean,True,0.6890707,844,clean,1.0,1.0
relation_g015_source_claim,15,source_claim,source_ambiguity,East,West,fixed_permutation,220,4312,False,5.03125,-2.328125,clean,conflict,False,0.6921934,25409,,,
relation_g015_weak_distractor,15,weak_distractor,stable_shift,East,West,fixed_permutation,112919,4312,False,6.3828125,-2.171875,clean,conflict,False,0.6925359,42304,clean,1.0,0.0
relation_g023_clean,23,clean,stable,Gold,Iron,fixed_permutation,112919,7421,False,-0.24511719,1.0,conflict,clean,False,0.692613,3424,clean,0.0,1.0
relation_g023_closure_override,23,closure_override,closure,Gold,Iron,fixed_permutation,112919,16570,False,-0.2626953,-7.203125,conflict,conflict,True,0.6928673,3790,conflict,1.0,1.0
relation_g023_closure_update,23,closure_update,closure,Gold,Iron,fixed_permutation,112919,16570,False,-0.29101562,-6.703125,conflict,conflict,True,0.69288874,3258,conflict,1.0,1.0
relation_g023_competition_balanced,23,competition_balanced,competition,Gold,Iron,fixed_permutation,112919,16570,False,-0.38671875,-1.9375,conflict,conflict,True,0.6925405,3660,,,
relation_g023_direct_conflict,23,direct_conflict,competition,Gold,Iron,fixed_permutation,112919,16570,False,-0.2841797,-6.421875,conflict,conflict,True,0.6928506,2784,,,
relation_g023_equal_evidence,23,equal_evidence,competition,Gold,Iron,fixed_permutation,112919,16570,False,-0.3095703,-1.734375,conflict,conflict,True,0.69173646,3245,,,
relation_g023_exception_override,23,exception_override,closure,Gold,Iron,fixed_permutation,112919,16570,False,-0.22949219,-6.46875,conflict,conflict,True,0.69283855,3761,conflict,1.0,1.0
relation_g023_irrelevant,23,irrelevant,stable,Gold,Iron,fixed_permutation,112919,16570,False,-0.23632812,-1.484375,conflict,conflict,True,0.6925561,3219,clean,0.0,0.0
relation_g023_paraphrase,23,paraphrase,stable,Gold,Iron,fixed_permutation,112919,7421,False,-0.22558594,3.46875,conflict,clean,False,0.6867063,4130,clean,0.0,1.0
relation_g023_rename,23,rename,stable,Gold,Iron,fixed_permutation,112919,7421,False,-0.23925781,1.890625,conflict,clean,False,0.6856035,4787,clean,0.0,1.0
relation_g023_source_claim,23,source_claim,source_ambiguity,Gold,Iron,fixed_permutation,112919,16570,False,-0.42871094,-2.078125,conflict,conflict,True,0.6908674,2704,,,
relation_g023_weak_distractor,23,weak_distractor,stable_shift,Gold,Iron,fixed_permutation,112919,16570,False,-0.22167969,-2.234375,conflict,conflict,True,0.6927784,3187,clean,0.0,0.0
