prompt_id,graph_id,entity_id,relation_id,condition,condition_class,mechanism,clean_label,conflict_label,aux_label,text,R_L18,R_L19,R_L20,R_L21,R_L22,R_L23,dR_L18,dR_L19,dR_L20,dR_L21,dR_L22,dR_L23,DeltaU
g000_closure_override,0,0,0,closure_override,structure_changing,closure,Red,Blue,Green,"You are given a rule system.
General rule: items that belongs to Bela receive label Red.
Override rule: in this case, items that belongs to Bela receive label Blue.
Fact: Ava belongs to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",-23.620733,-33.473366,-25.217499,-17.679615,-31.445774,1.1241074,-25.10406,-31.652905,-39.322166,-37.50028,-48.70279,-65.98948,-92.94218
g000_exception_override,0,0,0,exception_override,structure_changing,closure,Red,Blue,Green,"You are given a rule system.
General rule: items connected to Bela use label Red.
Exception: Ava is a special case and uses label Blue.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",-23.768614,-39.546303,-28.037558,-20.640854,-32.442383,-6.460449,-25.25194,-37.72584,-42.142227,-40.461517,-49.699398,-73.574036,-101.67961
g001_clean,1,0,1,clean,clean,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",12.862419,16.6576,26.423208,40.733147,72.493744,104.3025,0.0,0.0,0.0,0.0,0.0,0.0,12.397655
g001_rename,1,0,1,rename,relation_preserving,stable,Green,Yellow,North,"Consider a tiny mapping network.
Link one: Ava is assigned to Bela.
Link two: Bela maps to Green.
Choose the label reached from Ava: Green or Yellow.
One word answer:",9.493373,23.433083,31.477856,41.235744,77.47186,108.14811,-3.3690462,6.775482,5.0546474,0.5025978,4.978119,3.8456116,20.694273
g001_permuted,1,0,1,permuted,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 2: Bela maps to Green.
Fact 1: Ava is assigned to Bela.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",14.849627,16.817932,27.741043,41.553505,73.404335,106.03195,1.9872074,0.16033173,1.3178349,0.8203583,0.9105911,1.729454,15.092088
g001_redundant,1,0,1,redundant,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",6.1747646,8.652706,21.705643,36.924244,67.56062,99.975266,-6.6876545,-8.004894,-4.7175655,-3.8089027,-4.9331207,-4.3272324,0.13239574
g001_irrelevant,1,0,1,irrelevant,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Irrelevant fact: Cora is associated with North.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",13.909863,20.156733,33.847744,46.078484,81.05615,112.3049,1.0474443,3.4991322,7.4245358,5.345337,8.562408,8.002403,27.379757
g001_paraphrase,1,0,1,paraphrase,relation_preserving,stable,Green,Yellow,North,"In this example, Ava reaches Bela.
The destination connected to Bela is Green.
Based on those two links, select the label for Ava: Green or Yellow.
Answer:",2.2345362,-3.1682796,11.726662,29.630493,55.183346,91.991974,-10.627883,-19.82588,-14.696547,-11.1026535,-17.310398,-12.310524,-21.991879
g001_weak_distractor,1,0,1,weak_distractor,structure_changing,stable_shift,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Weak note: some unrelated source mentions Yellow, but does not update the graph.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",13.974903,19.551851,34.03795,46.20917,79.600784,111.46275,1.112484,2.8942509,7.6147404,5.4760246,7.1070404,7.1602554,26.140968
g001_competition_balanced,1,0,1,competition_balanced,structure_changing,competition,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Competing fact: Ava is also associated with Yellow.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",6.5634003,12.537132,29.24553,43.42543,82.29582,114.74315,-6.299019,-4.120468,2.822321,2.6922836,9.802078,10.440651,22.232231
g001_direct_conflict,1,0,1,direct_conflict,structure_changing,competition,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Direct conflicting fact: Ava maps to Yellow.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",4.422542,10.661401,24.039972,37.70947,69.645065,103.644684,-8.439877,-5.9961996,-2.383236,-3.0236778,-2.8486786,-0.657814,4.6216226
g001_closure_update,1,0,1,closure_update,structure_changing,closure,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Old record: Bela maps to Green.
Updated record: Bela maps to Yellow, not Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",-1.1163573,-5.9597263,8.426764,22.447166,59.921745,95.22435,-13.978777,-22.617327,-17.996445,-18.28598,-12.571999,-9.078148,-23.678833
g001_closure_override,1,0,1,closure_override,structure_changing,closure,Green,Yellow,North,"You are given a rule system.
General rule: items that is assigned to Bela receive label Green.
Override rule: in this case, items that is assigned to Bela receive label Yellow.
Fact: Ava is assigned to Bela.
Question: Which label applies to Ava: Green or Yellow?
Answer with exactly one word:",-12.924385,-19.894337,-13.5462475,3.6629438,31.203274,68.049835,-25.786804,-36.551937,-39.969456,-37.0702,-41.29047,-36.252663,-75.78024
g001_exception_override,1,0,1,exception_override,structure_changing,closure,Green,Yellow,North,"You are given a rule system.
General rule: items connected to Bela use label Green.
Exception: Ava is a special case and uses label Yellow.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Green or Yellow?
Answer with exactly one word:",-21.441309,-33.32576,-27.506235,-10.303403,10.256405,43.232456,-34.303726,-49.98336,-53.929443,-51.03655,-62.23734,-61.07004,-116.66595
g002_clean,2,0,2,clean,clean,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",10.488707,3.9237537,17.214466,23.014565,15.343811,13.337936,0.0,0.0,0.0,0.0,0.0,0.0,12.397655
g002_rename,2,0,2,rename,relation_preserving,stable,North,South,East,"Consider a tiny mapping network.
Link one: Ava is part of Bela.
Link two: Bela points to North.
Choose the label reached from Ava: North or South.
One word answer:",10.584469,15.30532,29.937685,32.338234,34.53961,31.138954,0.09576225,11.381566,12.723219,9.323669,19.1958,17.801018,43.972786
g002_permuted,2,0,2,permuted,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 2: Bela points to North.
Fact 1: Ava is part of Bela.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",16.116169,10.255329,26.09713,31.942245,28.265984,28.032883,5.6274624,6.3315754,8.882664,8.927681,12.922173,14.694946,36.968502
g002_redundant,2,0,2,redundant,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",10.167387,3.612833,20.36531,25.434551,18.347397,17.345818,-0.32131958,-0.31092072,3.1508446,2.4199867,3.0035858,4.007881,18.03957
g002_irrelevant,2,0,2,irrelevant,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Irrelevant fact: Cora is associated with East.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",16.006176,9.521057,27.298634,33.74869,28.791931,26.560593,5.5174694,5.5973034,10.0841675,10.734127,13.44812,13.222656,37.40531
g002_paraphrase,2,0,2,paraphrase,relation_preserving,stable,North,South,East,"In this example, Ava reaches Bela.
The destination connected to Bela is North.
Based on those two links, select the label for Ava: North or South.
Answer:",-0.087638855,-8.277666,-3.961935,-1.7721367,-12.352386,-13.561127,-10.576345,-12.20142,-21.176401,-24.786701,-27.696198,-26.899063,-40.189655
g002_weak_distractor,2,0,2,weak_distractor,structure_changing,stable_shift,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Weak note: some unrelated source mentions South, but does not update the graph.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",19.809235,18.366348,33.85977,38.125282,34.48842,33.735916,9.320528,14.442595,16.645306,15.110718,19.144608,20.39798,52.14046
g002_competition_balanced,2,0,2,competition_balanced,structure_changing,competition,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Competing fact: Ava is also associated with South.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",3.717104,-0.31020927,13.988983,17.856922,14.306641,13.33905,-6.7716026,-4.233963,-3.225483,-5.1576424,-1.0371704,0.0011138916,5.6725106
g002_direct_conflict,2,0,2,direct_conflict,structure_changing,competition,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Direct conflicting fact: Ava points to South.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",7.7325535,3.0444565,17.826988,21.684925,10.500275,9.195206,-2.756153,-0.87929726,0.6125221,-1.3296394,-4.8435364,-4.1427307,6.625877
g002_closure_update,2,0,2,closure_update,structure_changing,closure,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Old record: Bela points to North.
Updated record: Bela points to South, not North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",9.726466,3.0845718,14.434078,19.052946,19.674614,18.244751,-0.7622404,-0.8391819,-2.7803879,-3.9616184,4.330803,4.9068146,14.029064
g002_closure_override,2,0,2,closure_override,structure_changing,closure,North,South,East,"You are given a rule system.
General rule: items that is part of Bela receive label North.
Override rule: in this case, items that is part of Bela receive label South.
Fact: Ava is part of Bela.
Question: Which label applies to Ava: North or South?
Answer with exactly one word:",-7.2810383,-13.287001,-12.44331,-7.514576,-8.75856,-10.927475,-17.769745,-17.210754,-29.657776,-30.52914,-24.102371,-24.265411,-45.89871
g002_exception_override,2,0,2,exception_override,structure_changing,closure,North,South,East,"You are given a rule system.
General rule: items connected to Bela use label North.
Exception: Ava is a special case and uses label South.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: North or South?
Answer with exactly one word:",-5.517477,-14.679676,-8.143532,-3.7135468,-7.3794403,-10.802597,-16.006184,-18.60343,-25.357998,-26.728111,-22.723251,-24.140533,-41.982796
g003_clean,3,0,3,clean,clean,stable,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",12.143608,4.7518215,8.508183,9.130894,11.20076,2.5656967,0.0,0.0,0.0,0.0,0.0,0.0,12.397655
g003_rename,3,0,3,rename,relation_preserving,stable,East,West,Copper,"Consider a tiny mapping network.
Link one: Ava is grouped under Bela.
Link two: Bela has label East.
Choose the label reached from Ava: East or West.
One word answer:",8.958804,6.644451,12.109407,13.2070465,17.96154,9.7547455,-3.184804,1.8926296,3.601225,4.076153,6.7607803,7.189049,22.532114
g003_permuted,3,0,3,permuted,relation_preserving,stable,East,West,Copper,"You are given a small relation graph.
Fact 2: Bela has label East.
Fact 1: Ava is grouped under Bela.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",15.285828,2.145794,10.110451,11.125153,13.3101425,6.1124496,3.1422195,-2.6060276,1.6022682,1.9942589,2.1093826,3.546753,16.54224
g003_redundant,3,0,3,redundant,relation_preserving,stable,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",12.213243,2.795847,8.036781,8.2138405,8.191521,1.1953888,0.06963444,-1.9559746,-0.4714012,-0.9170532,-3.0092392,-1.3703079,8.966615
g003_irrelevant,3,0,3,irrelevant,relation_preserving,stable,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Irrelevant fact: Cora is associated with Copper.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",17.554201,10.094112,17.257725,17.833885,22.855042,15.287491,5.410593,5.342291,8.749542,8.7029915,11.654282,12.721794,34.789043
g003_paraphrase,3,0,3,paraphrase,relation_preserving,stable,East,West,Copper,"In this example, Ava reaches Bela.
The destination connected to Bela is East.
Based on those two links, select the label for Ava: East or West.
Answer:",-0.34394598,-8.418413,-5.0356255,-7.2517776,-11.721878,-22.395523,-12.487555,-13.170235,-13.543808,-16.382671,-22.922638,-24.96122,-31.123684
g003_weak_distractor,3,0,3,weak_distractor,structure_changing,stable_shift,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Weak note: some unrelated source mentions West, but does not update the graph.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",17.33646,11.846689,18.884657,18.68782,23.38366,15.0418625,5.192852,7.0948677,10.376474,9.556927,12.182899,12.476166,36.462303
g003_competition_balanced,3,0,3,competition_balanced,structure_changing,competition,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Competing fact: Ava is also associated with West.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",14.173763,8.561533,12.872238,13.279293,20.779938,12.669769,2.0301552,3.8097115,4.3640556,4.1483994,9.579178,10.104073,27.588064
g003_direct_conflict,3,0,3,direct_conflict,structure_changing,competition,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Direct conflicting fact: Ava has label West.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",12.130875,7.6903133,12.750542,12.473631,14.979301,5.2694397,-0.0127334595,2.9384918,4.242359,3.3427372,3.7785416,2.703743,19.71862
g003_closure_update,3,0,3,closure_update,structure_changing,closure,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Old record: Bela has label East.
Updated record: Bela has label West, not East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",11.163668,0.8293152,4.724737,4.782772,13.049652,4.132599,-0.9799404,-3.9225063,-3.7834454,-4.3481216,1.8488922,1.5669022,9.412945
g003_closure_override,3,0,3,closure_override,structure_changing,closure,East,West,Copper,"You are given a rule system.
General rule: items that is grouped under Bela receive label East.
Override rule: in this case, items that is grouped under Bela receive label West.
Fact: Ava is grouped under Bela.
Question: Which label applies to Ava: East or West?
Answer with exactly one word:",-1.1376429,-10.710585,-14.867998,-14.198341,-16.056465,-26.686218,-13.281251,-15.462406,-23.37618,-23.329235,-27.257225,-29.251915,-43.173084
g003_exception_override,3,0,3,exception_override,structure_changing,closure,East,West,Copper,"You are given a rule system.
General rule: items connected to Bela use label East.
Exception: Ava is a special case and uses label West.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: East or West?
Answer with exactly one word:",3.3461895,-9.767193,-11.180641,-11.58976,-14.253418,-25.12844,-8.797419,-14.519014,-19.688824,-20.720654,-25.454178,-27.694138,-37.64628
g004_clean,4,1,0,clean,clean,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",6.229304,2.7944727,2.735712,-4.696844,9.819229,-24.848417,0.0,0.0,0.0,0.0,0.0,0.0,12.397655
g004_rename,4,1,0,rename,relation_preserving,stable,Copper,Silver,Gold,"Consider a tiny mapping network.
Link one: Darin belongs to Elo.
Link two: Elo is located at Copper.
Choose the label reached from Darin: Copper or Silver.
One word answer:",10.849349,13.450944,11.359777,7.2956495,22.830725,-19.277199,4.620045,10.656471,8.624065,11.992494,13.011496,5.5712185,34.641365
g004_permuted,4,1,0,permuted,relation_preserving,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 2: Elo is located at Copper.
Fact 1: Darin belongs to Elo.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",4.486245,-2.4682255,-0.49210167,-7.3408966,7.8109207,-29.383593,-1.7430587,-5.262698,-3.2278137,-2.6440525,-2.0083084,-4.5351753,4.578089
g004_redundant,4,1,0,redundant,relation_preserving,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Repeated confirmation: Darin still goes through Elo.
Repeated confirmation: Elo still points to Copper.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",2.0611415,-2.7802296,-6.394541,-12.722531,1.0377121,-31.84486,-4.1681623,-5.5747023,-9.130253,-8.025687,-8.781517,-6.996443,-5.2837725
g004_irrelevant,4,1,0,irrelevant,relation_preserving,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Irrelevant fact: Faye is associated with Gold.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",10.582172,10.0443945,16.431149,7.9843025,24.319798,-15.406906,4.3528686,7.249922,13.6954365,12.681147,14.500568,9.441511,38.528877
g004_paraphrase,4,1,0,paraphrase,relation_preserving,stable,Copper,Silver,Gold,"In this example, Darin reaches Elo.
The destination connected to Elo is Copper.
Based on those two links, select the label for Darin: Copper or Silver.
Answer:",-2.9539242,-8.998842,-12.077578,-18.18542,-8.228071,-44.927895,-9.183228,-11.793315,-14.81329,-13.488575,-18.0473,-20.079477,-24.334545
g004_weak_distractor,4,1,0,weak_distractor,structure_changing,stable_shift,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Weak note: some unrelated source mentions Silver, but does not update the graph.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",12.880891,12.982669,21.284292,11.535699,32.821785,-7.030796,6.651587,10.188196,18.54858,16.232544,23.002556,17.817621,52.01776
g004_competition_balanced,4,1,0,competition_balanced,structure_changing,competition,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Competing fact: Darin is also associated with Silver.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",11.274015,6.546977,11.40493,1.9629049,26.858269,-11.595911,5.0447116,3.7525043,8.669218,6.659749,17.03904,13.252506,36.400875
g004_direct_conflict,4,1,0,direct_conflict,structure_changing,competition,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Direct conflicting fact: Darin is located at Silver.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",9.383459,8.909468,8.062807,-1.2695684,19.219307,-19.05383,3.1541553,6.114995,5.327095,3.4272757,9.400078,5.794588,26.414131
g004_closure_update,4,1,0,closure_update,structure_changing,closure,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Old record: Elo is located at Copper.
Updated record: Elo is located at Silver, not Copper.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",3.834855,-10.663114,-4.202221,-11.706442,11.63932,-26.702866,-2.3944488,-13.457586,-6.937933,-7.009598,1.8200912,-1.8544483,1.8578873
g004_closure_override,4,1,0,closure_override,structure_changing,closure,Copper,Silver,Gold,"You are given a rule system.
General rule: items that belongs to Elo receive label Copper.
Override rule: in this case, items that belongs to Elo receive label Silver.
Fact: Darin belongs to Elo.
Question: Which label applies to Darin: Copper or Silver?
Answer with exactly one word:",-14.478613,-28.411434,-40.004612,-45.476006,-46.60933,-72.726036,-20.707916,-31.205906,-42.740326,-40.77916,-56.42856,-47.877617,-89.198586
g004_exception_override,4,1,0,exception_override,structure_changing,closure,Copper,Silver,Gold,"You are given a rule system.
General rule: items connected to Elo use label Copper.
Exception: Darin is a special case and uses label Silver.
Fact: Darin is connected to Elo.
Question: Which label applies to Darin: Copper or Silver?
Answer with exactly one word:",-12.288024,-27.062449,-32.136917,-37.57145,-36.84599,-66.496,-18.517328,-29.856922,-34.872627,-32.874603,-46.66522,-41.647583,-73.80009
g005_clean,5,1,1,clean,clean,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",29.523594,41.622845,49.2225,61.10275,75.15508,104.63461,0.0,0.0,0.0,0.0,0.0,0.0,12.397655
g005_rename,5,1,1,rename,relation_preserving,stable,Gold,Iron,Red,"Consider a tiny mapping network.
Link one: Darin is assigned to Elo.
Link two: Elo maps to Gold.
Choose the label reached from Darin: Gold or Iron.
One word answer:",28.345387,44.601845,48.291664,56.36553,76.38168,106.838196,-1.1782074,2.979,-0.9308357,-4.737221,1.2266006,2.2035828,12.678014
g005_permuted,5,1,1,permuted,relation_preserving,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 2: Elo maps to Gold.
Fact 1: Darin is assigned to Elo.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",30.693386,48.885433,51.7685,64.76546,78.16203,109.125916,1.1697922,7.2625885,2.5460014,3.6627083,3.0069504,4.4913025,21.364395
g005_redundant,5,1,1,redundant,relation_preserving,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Repeated confirmation: Darin still goes through Elo.
Repeated confirmation: Elo still points to Gold.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",26.778175,33.847824,42.385353,53.863922,67.85864,98.4366,-2.7454185,-7.7750206,-6.8371468,-7.2388268,-7.29644,-6.1980133,-3.293664
g005_irrelevant,5,1,1,irrelevant,relation_preserving,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Irrelevant fact: Faye is associated with Red.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",28.758907,43.949806,53.67085,64.44936,77.54349,105.70001,-0.7646866,2.3269615,4.448349,3.3466148,2.3884048,1.0653992,17.882698
g005_paraphrase,5,1,1,paraphrase,relation_preserving,stable,Gold,Iron,Red,"In this example, Darin reaches Elo.
The destination connected to Elo is Gold.
Based on those two links, select the label for Darin: Gold or Iron.
Answer:",24.594425,22.770027,26.315792,39.82189,54.668686,90.59526,-4.9291687,-18.852818,-22.906708,-21.280857,-20.486397,-14.039352,-30.221825
g005_weak_distractor,5,1,1,weak_distractor,structure_changing,stable_shift,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Weak note: some unrelated source mentions Iron, but does not update the graph.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",29.616598,43.328392,55.69586,65.724594,80.95263,110.72092,0.09300423,1.7055473,6.473362,4.6218452,5.7975464,6.0863037,23.50515
g005_competition_balanced,5,1,1,competition_balanced,structure_changing,competition,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Competing fact: Darin is also associated with Iron.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",22.674843,32.136223,39.218216,51.164314,60.318367,91.94822,-6.848751,-9.486622,-10.004284,-9.938435,-14.836716,-12.686394,-14.292321
