prompt_id,graph_id,entity_id,relation_id,condition,condition_class,mechanism,clean_label,conflict_label,aux_label,text,R_L19,R_L20,R_L21,R_L22,R_L23,R_L24,R_L25,dR_L19,dR_L20,dR_L21,dR_L22,dR_L23,dR_L24,dR_L25,DeltaU
g000_closure_override,0,0,0,closure_override,structure_changing,closure,Red,Blue,Green,"You are given a rule system.
General rule: items that belongs to Bela receive label Red.
Override rule: in this case, items that belongs to Bela receive label Blue.
Fact: Ava belongs to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",2.016311,1.4619606,1.818963,-1.0003343,-2.1484098,-3.483057,0.52430344,0.77586746,0.21235883,0.08960724,-3.873014,-4.9792547,-5.54939,-5.7858295,-7.236882
g000_exception_override,0,0,0,exception_override,structure_changing,closure,Red,Blue,Green,"You are given a rule system.
General rule: items connected to Bela use label Red.
Exception: Ava is a special case and uses label Blue.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",2.0259175,1.5083381,2.1583066,-0.6717777,-2.3323407,-2.7999601,0.6973705,0.78547406,0.25873637,0.4289508,-3.5444574,-5.1631856,-4.866293,-5.6127625,-6.6750126
g001_clean,1,0,1,clean,clean,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",-0.946128,-0.47399223,0.44381022,1.2874398,3.4999623,3.4400036,4.486873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8346574
g001_rename,1,0,1,rename,relation_preserving,stable,Green,Yellow,North,"Consider a tiny mapping network.
Link one: Ava is assigned to Bela.
Link two: Bela maps to Green.
Choose the label reached from Ava: Green or Yellow.
One word answer:",-0.028337717,-0.1031633,1.1413229,2.3398747,4.495121,5.2218513,6.3133183,0.9177903,0.37082893,0.6975126,1.0524349,0.9951587,1.7818477,1.8264451,5.8017874
g001_permuted,1,0,1,permuted,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 2: Bela maps to Green.
Fact 1: Ava is assigned to Bela.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",-1.1816232,-0.6958059,0.32853103,0.5224829,3.010691,3.3811245,4.6436872,-0.23549521,-0.22181368,-0.1152792,-0.76495695,-0.4892714,-0.058879137,0.1568141,2.3157506
g001_redundant,1,0,1,redundant,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",-1.0297201,-0.83956873,-0.021277308,2.1296647,4.2875357,4.4703517,5.7203083,-0.08359206,-0.3655765,-0.46508753,0.84222484,0.78757334,1.0303481,1.2334352,4.705982
g001_irrelevant,1,0,1,irrelevant,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Irrelevant fact: Cora is associated with North.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",-0.97965294,-0.73344,-0.26438904,-0.056138992,2.5760489,2.7370124,3.7914705,-0.03352493,-0.25944775,-0.70819926,-1.3435788,-0.9239135,-0.70299125,-0.6954026,1.0167723
g001_paraphrase,1,0,1,paraphrase,relation_preserving,stable,Green,Yellow,North,"In this example, Ava reaches Bela.
The destination connected to Bela is Green.
Based on those two links, select the label for Ava: Green or Yellow.
Answer:",-0.041746378,-0.20633966,0.38639277,2.7663784,5.60786,7.362768,7.4430814,0.90438163,0.26765257,-0.057417452,1.4789386,2.1078978,3.9227645,2.9562082,8.2587805
g001_weak_distractor,1,0,1,weak_distractor,structure_changing,stable_shift,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Weak note: some unrelated source mentions Yellow, but does not update the graph.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",-1.0919542,-1.0281676,-0.035426736,0.1437614,2.537731,2.5527377,4.647552,-0.14582622,-0.5541754,-0.47923696,-1.1436784,-0.9622314,-0.8872659,0.16067886,1.4021738
g001_competition_balanced,1,0,1,competition_balanced,structure_changing,competition,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Competing fact: Ava is also associated with Yellow.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",-1.2373574,-1.2263598,-0.28999418,-1.2901549,1.2109144,1.6273756,3.293786,-0.29122937,-0.7523676,-0.7338044,-2.5775948,-2.289048,-1.812628,-1.1930871,-1.0666537
g001_direct_conflict,1,0,1,direct_conflict,structure_changing,competition,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Direct conflicting fact: Ava maps to Yellow.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",-1.0603794,-1.4080117,-0.3413903,-1.7281473,0.08275151,0.09481335,2.4386692,-0.114251375,-0.93401945,-0.78520054,-3.015587,-3.4172108,-3.3451903,-2.048204,-3.1288846
g001_closure_update,1,0,1,closure_update,structure_changing,closure,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Old record: Bela maps to Green.
Updated record: Bela maps to Yellow, not Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",-1.0805229,-1.6356039,-0.678248,-1.5055594,0.5752387,0.6125717,1.5829616,-0.13439488,-1.1616117,-1.1220582,-2.7929993,-2.9247236,-2.827432,-2.9039116,-2.9806798
g001_closure_override,1,0,1,closure_override,structure_changing,closure,Green,Yellow,North,"You are given a rule system.
General rule: items that is assigned to Bela receive label Green.
Override rule: in this case, items that is assigned to Bela receive label Yellow.
Fact: Ava is assigned to Bela.
Question: Which label applies to Ava: Green or Yellow?
Answer with exactly one word:",-1.1311204,-1.212784,-0.2715981,-0.4946053,1.1777277,0.43965054,2.203524,-0.18499243,-0.7387918,-0.7154083,-1.7820451,-2.3222346,-3.000353,-2.283349,-2.017793
g001_exception_override,1,0,1,exception_override,structure_changing,closure,Green,Yellow,North,"You are given a rule system.
General rule: items connected to Bela use label Green.
Exception: Ava is a special case and uses label Yellow.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Green or Yellow?
Answer with exactly one word:",-1.0261846,-1.0548948,-0.50615215,-0.60021186,1.0608144,1.8790464,2.8902464,-0.08005655,-0.5809026,-0.9499624,-1.8876517,-2.439148,-1.5609572,-1.5966268,-0.9320986
g002_clean,2,0,2,clean,clean,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",-0.3385933,1.5293833,1.8409436,-0.76314163,-0.25067997,-0.26840782,-1.3867569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8346574
g002_rename,2,0,2,rename,relation_preserving,stable,North,South,East,"Consider a tiny mapping network.
Link one: Ava is part of Bela.
Link two: Bela points to North.
Choose the label reached from Ava: North or South.
One word answer:",-0.005150795,1.7982619,1.5537329,1.852294,2.2553873,2.1113358,1.3742065,0.3334425,0.26887858,-0.2872107,2.6154356,2.5060673,2.3797436,2.7609634,7.859604
g002_permuted,2,0,2,permuted,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 2: Bela points to North.
Fact 1: Ava is part of Bela.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",-0.103866994,1.4923279,1.2755504,-1.6944342,-1.3414383,-1.1449966,-2.1856518,0.23472631,-0.037055373,-0.5653932,-0.93129253,-1.0907583,-0.8765888,-0.7988949,0.9749061
g002_redundant,2,0,2,redundant,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",-0.2924046,1.0696499,1.3266304,-1.4777184,-0.8323021,-0.6488724,-1.7444668,0.046188712,-0.45973337,-0.5143132,-0.7145767,-0.5816221,-0.38046455,-0.35770988,1.7939596
g002_irrelevant,2,0,2,irrelevant,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Irrelevant fact: Cora is associated with East.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",-0.39663202,1.5161188,1.515775,-1.4554977,-1.0966072,-0.66080093,-1.5794106,-0.05803871,-0.013264537,-0.3251686,-0.6923561,-0.84592724,-0.3923931,-0.19265366,1.7963897
g002_paraphrase,2,0,2,paraphrase,relation_preserving,stable,North,South,East,"In this example, Ava reaches Bela.
The destination connected to Bela is North.
Based on those two links, select the label for Ava: North or South.
Answer:",-0.8645009,0.025267601,0.82880545,3.1599207,3.616372,4.1387615,3.0112858,-0.5259076,-1.5041157,-1.0121381,3.9230623,3.867052,4.4071693,4.3980427,10.849584
g002_weak_distractor,2,0,2,weak_distractor,structure_changing,stable_shift,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Weak note: some unrelated source mentions South, but does not update the graph.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",-0.27076963,0.7448642,1.0858579,-1.266367,-0.8462162,-0.82826805,-1.8462582,0.06782368,-0.7845191,-0.7550857,-0.5032253,-0.59553623,-0.5598602,-0.45950127,1.6698998
g002_competition_balanced,2,0,2,competition_balanced,structure_changing,competition,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Competing fact: Ava is also associated with South.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",-0.3600026,0.0402143,0.27814865,-2.969407,-2.6329927,-2.196432,-3.626608,-0.021409303,-1.489169,-1.5627949,-2.2062654,-2.3823128,-1.9280243,-2.239851,-1.6850455
g002_direct_conflict,2,0,2,direct_conflict,structure_changing,competition,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Direct conflicting fact: Ava points to South.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",-0.75644165,0.04106152,0.35731053,-2.7843962,-2.928566,-3.269724,-4.710121,-0.41784835,-1.4883218,-1.483633,-2.0212545,-2.677886,-3.001316,-3.3233643,-2.934603
g002_closure_update,2,0,2,closure_update,structure_changing,closure,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Old record: Bela points to North.
Updated record: Bela points to South, not North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",-0.64271915,-0.83427787,-1.0425022,-4.432047,-4.3276567,-4.1676197,-5.845175,-0.30412585,-2.3636613,-2.8834457,-3.6689053,-4.076977,-3.899212,-4.458418,-5.539072
g002_closure_override,2,0,2,closure_override,structure_changing,closure,North,South,East,"You are given a rule system.
General rule: items that is part of Bela receive label North.
Override rule: in this case, items that is part of Bela receive label South.
Fact: Ava is part of Bela.
Question: Which label applies to Ava: North or South?
Answer with exactly one word:",-0.6238146,-0.520962,-1.5822488,-4.440957,-4.667941,-4.4803944,-6.4506054,-0.28522128,-2.0503454,-3.4231925,-3.6778154,-4.417261,-4.2119865,-5.0638485,-6.226037
g002_exception_override,2,0,2,exception_override,structure_changing,closure,North,South,East,"You are given a rule system.
General rule: items connected to Bela use label North.
Exception: Ava is a special case and uses label South.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: North or South?
Answer with exactly one word:",-0.47487524,0.017721891,-0.8663194,-3.7285395,-4.561054,-4.2969246,-6.102661,-0.13628194,-1.5116614,-2.707263,-2.9653978,-4.3103743,-4.028517,-4.715904,-5.509102
g003_clean,3,0,3,clean,clean,stable,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",1.1516416,1.4576356,3.1876066,3.350461,4.5471263,5.7176847,8.859455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8346574
g003_rename,3,0,3,rename,relation_preserving,stable,East,West,Copper,"Consider a tiny mapping network.
Link one: Ava is grouped under Bela.
Link two: Bela has label East.
Choose the label reached from Ava: East or West.
One word answer:",0.9425596,1.9700936,3.5848541,4.4213605,5.2051444,6.9067717,10.333185,-0.209082,0.51245797,0.39724755,1.0708995,0.6580181,1.1890869,1.4737301,5.081706
g003_permuted,3,0,3,permuted,relation_preserving,stable,East,West,Copper,"You are given a small relation graph.
Fact 2: Bela has label East.
Fact 1: Ava is grouped under Bela.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",1.0902708,1.471864,3.2719674,2.5501413,3.2116356,4.641962,8.275098,-0.06137085,0.014228344,0.08436084,-0.8003197,-1.3354907,-1.0757227,-0.58435726,0.9573239
g003_redundant,3,0,3,redundant,relation_preserving,stable,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",1.1835784,1.2847793,2.8329654,4.980884,6.0295343,7.4144306,10.569816,0.031936765,-0.17285633,-0.3546412,1.6304231,1.482408,1.6967459,1.7103605,6.0067205
g003_irrelevant,3,0,3,irrelevant,relation_preserving,stable,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Irrelevant fact: Cora is associated with Copper.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",1.3392696,1.7908852,3.5046616,4.203633,5.148905,6.3199043,9.562241,0.18762803,0.33324957,0.317055,0.8531718,0.6017785,0.6022196,0.7027855,4.2220707
g003_paraphrase,3,0,3,paraphrase,relation_preserving,stable,East,West,Copper,"In this example, Ava reaches Bela.
The destination connected to Bela is East.
Based on those two links, select the label for Ava: East or West.
Answer:",1.9834733,2.3907464,3.3988485,6.4050975,8.228561,10.305011,13.850977,0.8318317,0.9331107,0.21124196,3.0546365,3.681435,4.587326,4.991522,11.123159
g003_weak_distractor,3,0,3,weak_distractor,structure_changing,stable_shift,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Weak note: some unrelated source mentions West, but does not update the graph.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",1.0094628,0.86391735,1.9164785,2.8740158,4.554722,6.741477,9.567183,-0.14217877,-0.5937183,-1.271128,-0.4764452,0.007595539,1.0237923,0.70772743,3.4545925
g003_competition_balanced,3,0,3,competition_balanced,structure_changing,competition,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Competing fact: Ava is also associated with West.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",1.0888643,0.29850924,1.5268853,1.0415583,2.814252,5.0673656,7.639326,-0.06277728,-1.1591264,-1.6607213,-2.3089027,-1.7328744,-0.6503191,-1.220129,-0.13248444
g003_direct_conflict,3,0,3,direct_conflict,structure_changing,competition,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Direct conflicting fact: Ava has label West.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",0.7364991,0.28122485,1.5574074,0.6346235,1.4381981,3.5357656,6.538,-0.41514254,-1.1764108,-1.6301992,-2.7158375,-3.1089282,-2.181919,-2.321455,-2.4177287
g003_closure_update,3,0,3,closure_update,structure_changing,closure,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Old record: Bela has label East.
Updated record: Bela has label West, not East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",0.6704845,0.033401966,0.4387858,-1.176055,-0.41880894,0.945281,3.9418736,-0.48115712,-1.4242337,-2.7488208,-4.526516,-4.965935,-4.7724037,-4.9175816,-6.9774094
g003_closure_override,3,0,3,closure_override,structure_changing,closure,East,West,Copper,"You are given a rule system.
General rule: items that is grouped under Bela receive label East.
Override rule: in this case, items that is grouped under Bela receive label West.
Fact: Ava is grouped under Bela.
Question: Which label applies to Ava: East or West?
Answer with exactly one word:",0.73536736,-0.00698328,0.9334631,0.34121275,0.8644686,2.5293465,5.403612,-0.41627425,-1.4646189,-2.2541435,-3.0092483,-3.6826577,-3.1883383,-3.455843,-4.0511513
g003_exception_override,3,0,3,exception_override,structure_changing,closure,East,West,Copper,"You are given a rule system.
General rule: items connected to Bela use label East.
Exception: Ava is a special case and uses label West.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: East or West?
Answer with exactly one word:",0.65731347,0.41194868,1.619936,1.280803,0.92187023,2.4852295,5.0944643,-0.49432814,-1.045687,-1.5676706,-2.069658,-3.625256,-3.2324553,-3.7649908,-3.7509296
g004_clean,4,1,0,clean,clean,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",-0.29050517,0.052077293,-0.075399876,-2.3515837,-1.925672,-1.0222635,-5.2539907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8346574
g004_rename,4,1,0,rename,relation_preserving,stable,Copper,Silver,Gold,"Consider a tiny mapping network.
Link one: Darin belongs to Elo.
Link two: Elo is located at Copper.
Choose the label reached from Darin: Copper or Silver.
One word answer:",-1.2676549,-1.0289456,-1.3464377,-1.8895679,-2.288835,-1.3358912,-3.3768473,-0.9771497,-1.0810229,-1.2710378,0.46201587,-0.363163,-0.31362772,1.8771434,3.4039998
g004_permuted,4,1,0,permuted,relation_preserving,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 2: Elo is located at Copper.
Fact 1: Darin belongs to Elo.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",-0.1926372,0.51675737,0.02209127,-2.7024233,-2.1227903,-0.4743557,-5.031873,0.097867966,0.46468008,0.097491145,-0.3508396,-0.19711828,0.5479078,0.22211742,3.0776825
g004_redundant,4,1,0,redundant,relation_preserving,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Repeated confirmation: Darin still goes through Elo.
Repeated confirmation: Elo still points to Copper.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",-0.4677558,0.5573242,-0.15562534,-0.58830667,-0.0958302,1.1247749,-2.5547101,-0.17725062,0.5052469,-0.08022547,1.763277,1.8298419,2.1470385,2.6992805,7.058202
g004_irrelevant,4,1,0,irrelevant,relation_preserving,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Irrelevant fact: Faye is associated with Gold.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",-0.9919636,-0.48233306,0.16609442,-1.9451624,-0.7509074,-0.9349718,-5.0241814,-0.70145845,-0.53441036,0.2414943,0.4064213,1.1747646,0.08729172,0.22980928,3.703467
g004_paraphrase,4,1,0,paraphrase,relation_preserving,stable,Copper,Silver,Gold,"In this example, Darin reaches Elo.
The destination connected to Elo is Copper.
Based on those two links, select the label for Darin: Copper or Silver.
Answer:",-3.3589725,-2.9930198,-2.6065485,-1.7465273,0.68734336,2.752293,-0.98677397,-3.0684674,-3.045097,-2.5311487,0.6050564,2.6130154,3.7745566,4.2672167,8.228137
g004_weak_distractor,4,1,0,weak_distractor,structure_changing,stable_shift,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Weak note: some unrelated source mentions Silver, but does not update the graph.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",-0.49034595,0.2727872,-0.037402153,-0.46545592,0.54072237,0.5881367,-3.0765347,-0.19984078,0.22070992,0.037997723,1.8861278,2.4663944,1.6104002,2.177456,6.825964
g004_competition_balanced,4,1,0,competition_balanced,structure_changing,competition,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Competing fact: Darin is also associated with Silver.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",-1.0448163,-0.29090428,-0.35125363,-4.400524,-3.4946299,-2.7878366,-6.373611,-0.7543111,-0.34298158,-0.27585375,-2.0489404,-1.5689578,-1.765573,-1.1196203,-0.38702345
g004_direct_conflict,4,1,0,direct_conflict,structure_changing,competition,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Direct conflicting fact: Darin is located at Silver.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",-1.2267131,-0.45036185,-0.55578864,-4.855828,-4.70354,-4.6261334,-7.2455473,-0.9362079,-0.50243914,-0.48038876,-2.504244,-2.7778678,-3.60387,-1.9915566,-2.701638
g004_closure_update,4,1,0,closure_update,structure_changing,closure,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Old record: Elo is located at Copper.
Updated record: Elo is located at Silver, not Copper.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",-1.0437903,-0.7412352,-0.63483715,-5.7363725,-6.3957314,-6.686134,-8.64253,-0.75328517,-0.7933125,-0.5594373,-3.3847888,-4.4700594,-5.6638703,-3.3885398,-5.8029003
g004_closure_override,4,1,0,closure_override,structure_changing,closure,Copper,Silver,Gold,"You are given a rule system.
General rule: items that belongs to Elo receive label Copper.
Override rule: in this case, items that belongs to Elo receive label Silver.
Fact: Darin belongs to Elo.
Question: Which label applies to Darin: Copper or Silver?
Answer with exactly one word:",-0.9331889,-0.91398865,-0.466985,-5.385477,-7.9810467,-8.863065,-10.502541,-0.64268374,-0.96606594,-0.3915851,-3.0338933,-6.0553746,-7.8408012,-5.24855,-8.646753
g004_exception_override,4,1,0,exception_override,structure_changing,closure,Copper,Silver,Gold,"You are given a rule system.
General rule: items connected to Elo use label Copper.
Exception: Darin is a special case and uses label Silver.
Fact: Darin is connected to Elo.
Question: Which label applies to Darin: Copper or Silver?
Answer with exactly one word:",-0.83281326,-0.7072102,-0.43719935,-5.30018,-7.499387,-7.932152,-9.680576,-0.5423081,-0.7592875,-0.36179948,-2.9485962,-5.5737147,-6.9098883,-4.4265857,-7.399661
g005_clean,5,1,1,clean,clean,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",3.3925347,2.2942734,0.72282743,2.7807293,2.863675,3.1967335,2.5330718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8346574
g005_rename,5,1,1,rename,relation_preserving,stable,Gold,Iron,Red,"Consider a tiny mapping network.
Link one: Darin is assigned to Elo.
Link two: Elo maps to Gold.
Choose the label reached from Darin: Gold or Iron.
One word answer:",2.639837,1.9555057,1.5156916,3.2224925,4.599125,5.0675755,2.8989904,-0.7526977,-0.33876765,0.7928642,0.44176316,1.7354498,1.870842,0.36591864,5.165522
