"role","staged_file","source_path","source_sha256","staged_sha256","rows","bytes"
"S12 qwen audit","asa_qwen_asa8d_real_policy_actions.csv","[local provenance path redacted]","18ACD905121FB1C837EDF453C12C0786B0CA2612FE42594441EC6B4AD1A8C45B","18ACD905121FB1C837EDF453C12C0786B0CA2612FE42594441EC6B4AD1A8C45B","1450","87167"
"S12 qwen audit","asa_qwen_asa8d_policy_train_grid_labels.csv","[local provenance path redacted]","D7F46833AA469D89D24B13E63B92156EF8C4A8B44799617FA9588DD1BA1883E0","D7F46833AA469D89D24B13E63B92156EF8C4A8B44799617FA9588DD1BA1883E0","670","45849"
"S12 qwen audit","asa_qwen_asa8d_split.csv","[local provenance path redacted]","48B8ABFF0119F3469A404A82FC8AC4CC2E480EA4004C8EAE65B2586D150217E0","48B8ABFF0119F3469A404A82FC8AC4CC2E480EA4004C8EAE65B2586D150217E0","960","49771"
"S12 qwen audit","asa_qwen_asa8d_probe_audit.csv","[local provenance path redacted]","648C21DEF5B86F1B5572E30089A394BFD4DB76E132D82E7E572A635E75C0562E","648C21DEF5B86F1B5572E30089A394BFD4DB76E132D82E7E572A635E75C0562E","10","758"
"S12 qwen audit","asa_qwen_asa8d_operator_audit.csv","[local provenance path redacted]","B38370C10AEB15FDAC1AF6A3234D7254B15842873AF481106F2DE9B26B3A6FB8","B38370C10AEB15FDAC1AF6A3234D7254B15842873AF481106F2DE9B26B3A6FB8","10","845"
"S11 llama family evaluation","gv4_llama_family_prediction_eval.csv","[local provenance path redacted]","3DD4F20FF1988093FC7673009016B8B87D608DE92B7AE92A22E7D7F0B8D4D202","3DD4F20FF1988093FC7673009016B8B87D608DE92B7AE92A22E7D7F0B8D4D202","16","5098"
"S11 llama correction/rotation evaluation","gv4b_llama_correction_rotation_eval.csv","[local provenance path redacted]","231CC25EE8EEC6304188CCBD91D55463ED246A6A5EA504E17968000F6987E90C","231CC25EE8EEC6304188CCBD91D55463ED246A6A5EA504E17968000F6987E90C","80","20793"
"S12 llama audit","asa_llama_asa8d_shuffle_validation.csv","[local provenance path redacted]","E01A92892BB7AA59596771EF5AEC51CC2B4D5144CE8A45139A0F4430096946B1","E01A92892BB7AA59596771EF5AEC51CC2B4D5144CE8A45139A0F4430096946B1","8","836"
"S12 llama audit","asa_llama_asa8d_specificity_summary.csv","[local provenance path redacted]","77755C32008E259288D81CF481E540D4AF296C5E44A67719667335BC91922366","77755C32008E259288D81CF481E540D4AF296C5E44A67719667335BC91922366","157","26072"
"S12 llama audit","asa_llama_asa8d_real_policy_actions.csv","[local provenance path redacted]","8177ED2A705B00F221F1CDB8D06D28CE48B7937D611F8B3CF39F949397DAE1D0","8177ED2A705B00F221F1CDB8D06D28CE48B7937D611F8B3CF39F949397DAE1D0","1160","69665"
"S12 llama audit","asa_llama_asa8d_policy_train_grid_labels.csv","[local provenance path redacted]","E0B2CBF9F8437BD5F00032F682842BB5DB4B1C40A67429F7EFB79270B0937352","E0B2CBF9F8437BD5F00032F682842BB5DB4B1C40A67429F7EFB79270B0937352","670","58846"
"S12 llama audit","asa_llama_asa8d_split.csv","[local provenance path redacted]","48B8ABFF0119F3469A404A82FC8AC4CC2E480EA4004C8EAE65B2586D150217E0","48B8ABFF0119F3469A404A82FC8AC4CC2E480EA4004C8EAE65B2586D150217E0","960","49771"
"S12 llama audit","asa_llama_asa8d_probe_audit.csv","[local provenance path redacted]","991FDAF2CA7FC04FF097B1FE81BE54400C228E017BCB2ABCA6C0797F4E39255F","991FDAF2CA7FC04FF097B1FE81BE54400C228E017BCB2ABCA6C0797F4E39255F","10","764"
"S12 llama audit","asa_llama_asa8d_operator_audit.csv","[local provenance path redacted]","4FD4313100B0F31384C7D9F388CC6E3F2B1E85E91EEB89E14338BF1978D3ED73","4FD4313100B0F31384C7D9F388CC6E3F2B1E85E91EEB89E14338BF1978D3ED73","8","693"
"S11 gemma family evaluation","gv4_gemma_family_prediction_eval.csv","[local provenance path redacted]","049786482F5CCAB724F0EA03D91DAD17369A65D0881B4662526EFA3E751BF7D1","049786482F5CCAB724F0EA03D91DAD17369A65D0881B4662526EFA3E751BF7D1","16","5044"
"S11 gemma correction/rotation evaluation","gv4b_gemma_correction_rotation_eval.csv","[local provenance path redacted]","6C318C02860C950F4D7D84CB9F9ED3946B17523E17599647E152810BBB34FB27","6C318C02860C950F4D7D84CB9F9ED3946B17523E17599647E152810BBB34FB27","80","20573"
"S12 gemma audit","asa_gemma_asa8d_shuffle_validation.csv","[local provenance path redacted]","95BF1FFBD6F21C1F38A7DB112F89828D62B30250ED89007D7292EBDBA845F689","95BF1FFBD6F21C1F38A7DB112F89828D62B30250ED89007D7292EBDBA845F689","8","796"
"S12 gemma audit","asa_gemma_asa8d_specificity_summary.csv","[local provenance path redacted]","3E7ECAFBF56D955EDEEC95BBA3D1235B73089F488AF73244D4B2E7F79F351071","3E7ECAFBF56D955EDEEC95BBA3D1235B73089F488AF73244D4B2E7F79F351071","157","24678"
"S12 gemma audit","asa_gemma_asa8d_real_policy_actions.csv","[local provenance path redacted]","A1C9821008557A3DDCBECA61EB374155F5633BA5190CDC4F744646456D79DB4E","A1C9821008557A3DDCBECA61EB374155F5633BA5190CDC4F744646456D79DB4E","1450","87332"
"S12 gemma audit","asa_gemma_asa8d_policy_train_grid_labels.csv","[local provenance path redacted]","10528770F7156279EFD8E814D5CEBA417C3FFA007F10FAA58394A1CC27720EEB","10528770F7156279EFD8E814D5CEBA417C3FFA007F10FAA58394A1CC27720EEB","670","45731"
"S12 gemma audit","asa_gemma_asa8d_split.csv","[local provenance path redacted]","48B8ABFF0119F3469A404A82FC8AC4CC2E480EA4004C8EAE65B2586D150217E0","48B8ABFF0119F3469A404A82FC8AC4CC2E480EA4004C8EAE65B2586D150217E0","960","49771"
"S12 gemma audit","asa_gemma_asa8d_probe_audit.csv","[local provenance path redacted]","F76B4EF09B23A6937F522C322F8210A1BEA7235D44D18399372AD206481E421D","F76B4EF09B23A6937F522C322F8210A1BEA7235D44D18399372AD206481E421D","10","757"
"S12 gemma audit","asa_gemma_asa8d_operator_audit.csv","[local provenance path redacted]","08473526C9255C2123BAD2F3445BE964D0B51E0483707B3B95089C3B51FBD358","08473526C9255C2123BAD2F3445BE964D0B51E0483707B3B95089C3B51FBD358","10","848"
