prompt_id,graph_id,condition,mechanism,control,clean_label,conflict_label,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin,null_id,null_seed,strict_conflict_to_clean
g031_closure_update,31,closure_update,closure,shuffle_matched_000,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-1.984375,0,1042,False
g031_closure_override,31,closure_override,closure,shuffle_matched_000,Green,Yellow,7840,25462,7840, Green,clean,1,2,0.609375,0,1042,True
g031_exception_override,31,exception_override,closure,shuffle_matched_000,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-2.453125,0,1042,False
g033_closure_update,33,closure_update,closure,shuffle_matched_000,East,West,6326,4312,4312, West,conflict,2,1,-1.703125,0,1042,False
g033_closure_override,33,closure_override,closure,shuffle_matched_000,East,West,6326,4312,6326, East,clean,1,2,0.4375,0,1042,True
g033_exception_override,33,exception_override,closure,shuffle_matched_000,East,West,6326,4312,6326, East,clean,1,2,0.78125,0,1042,True
g039_closure_update,39,closure_update,closure,shuffle_matched_000,East,West,6326,4312,4312, West,conflict,2,1,-0.96875,0,1042,False
g039_closure_override,39,closure_override,closure,shuffle_matched_000,East,West,6326,4312,6326, East,clean,1,2,1.0,0,1042,True
g039_exception_override,39,exception_override,closure,shuffle_matched_000,East,West,6326,4312,6326, East,clean,1,2,0.3125,0,1042,True
g040_closure_update,40,closure_update,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-3.140625,0,1042,False
g040_closure_override,40,closure_override,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.84375,0,1042,False
g040_exception_override,40,exception_override,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.171875,0,1042,False
g042_closure_update,42,closure_update,closure,shuffle_matched_000,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-2.5,0,1042,False
g042_closure_override,42,closure_override,closure,shuffle_matched_000,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-1.0,0,1042,False
g042_exception_override,42,exception_override,closure,shuffle_matched_000,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.328125,0,1042,False
g045_closure_update,45,closure_update,closure,shuffle_matched_000,East,West,6326,4312,4312, West,conflict,2,1,-1.578125,0,1042,False
g045_closure_override,45,closure_override,closure,shuffle_matched_000,East,West,6326,4312,4312, West,conflict,2,1,-1.828125,0,1042,False
g045_exception_override,45,exception_override,closure,shuffle_matched_000,East,West,6326,4312,6326, East,clean,1,2,1.015625,0,1042,True
g053_closure_update,53,closure_update,closure,shuffle_matched_000,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-4.015625,0,1042,False
g053_closure_override,53,closure_override,closure,shuffle_matched_000,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-0.5625,0,1042,False
g053_exception_override,53,exception_override,closure,shuffle_matched_000,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-0.453125,0,1042,False
g064_closure_update,64,closure_update,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.15625,0,1042,False
g064_closure_override,64,closure_override,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.65625,0,1042,False
g064_exception_override,64,exception_override,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.15625,0,1042,False
g067_closure_update,67,closure_update,closure,shuffle_matched_000,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-2.515625,0,1042,False
g067_closure_override,67,closure_override,closure,shuffle_matched_000,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-0.09375,0,1042,False
g067_exception_override,67,exception_override,closure,shuffle_matched_000,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-2.046875,0,1042,False
g068_closure_update,68,closure_update,closure,shuffle_matched_000,North,South,4787,4882,4882, South,conflict,2,1,-1.96875,0,1042,False
g068_closure_override,68,closure_override,closure,shuffle_matched_000,North,South,4787,4882,4882, South,conflict,2,1,-1.4375,0,1042,False
g068_exception_override,68,exception_override,closure,shuffle_matched_000,North,South,4787,4882,4882, South,conflict,2,1,-0.453125,0,1042,False
g069_closure_update,69,closure_update,closure,shuffle_matched_000,East,West,6326,4312,4312, West,conflict,2,1,-1.859375,0,1042,False
g069_closure_override,69,closure_override,closure,shuffle_matched_000,East,West,6326,4312,6326, East,clean,1,2,0.421875,0,1042,True
g069_exception_override,69,exception_override,closure,shuffle_matched_000,East,West,6326,4312,6326, East,clean,1,2,0.625,0,1042,True
g073_closure_update,73,closure_update,closure,shuffle_matched_000,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-2.546875,0,1042,False
g073_closure_override,73,closure_override,closure,shuffle_matched_000,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-0.03125,0,1042,False
g073_exception_override,73,exception_override,closure,shuffle_matched_000,Green,Yellow,7840,25462,7840, Green,clean,1,2,0.71875,0,1042,True
g077_closure_update,77,closure_update,closure,shuffle_matched_000,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-4.96875,0,1042,False
g077_closure_override,77,closure_override,closure,shuffle_matched_000,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-1.640625,0,1042,False
g077_exception_override,77,exception_override,closure,shuffle_matched_000,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-1.171875,0,1042,False
g079_closure_update,79,closure_update,closure,shuffle_matched_000,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-1.046875,0,1042,False
g079_closure_override,79,closure_override,closure,shuffle_matched_000,Green,Yellow,7840,25462,7840, Green,clean,1,2,0.8125,0,1042,True
g079_exception_override,79,exception_override,closure,shuffle_matched_000,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-2.859375,0,1042,False
g080_closure_update,80,closure_update,closure,shuffle_matched_000,North,South,4787,4882,4882, South,conflict,2,1,-2.328125,0,1042,False
g080_closure_override,80,closure_override,closure,shuffle_matched_000,North,South,4787,4882,4882, South,conflict,2,1,-1.171875,0,1042,False
g080_exception_override,80,exception_override,closure,shuffle_matched_000,North,South,4787,4882,4882, South,conflict,2,1,-0.171875,0,1042,False
g085_closure_update,85,closure_update,closure,shuffle_matched_000,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-2.125,0,1042,False
g085_closure_override,85,closure_override,closure,shuffle_matched_000,Green,Yellow,7840,25462,7840, Green,clean,1,2,0.15625,0,1042,True
g085_exception_override,85,exception_override,closure,shuffle_matched_000,Green,Yellow,7840,25462,7840, Green,clean,1,2,0.796875,0,1042,True
g088_closure_update,88,closure_update,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.515625,0,1042,False
g088_closure_override,88,closure_override,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.28125,0,1042,False
g088_exception_override,88,exception_override,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-0.90625,0,1042,False
g094_closure_update,94,closure_update,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.046875,0,1042,False
g094_closure_override,94,closure_override,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.546875,0,1042,False
g094_exception_override,94,exception_override,closure,shuffle_matched_000,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.390625,0,1042,False
g000_closure_update,0,closure_update,closure,shuffle_matched_001,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-2.3125,1,1043,False
g000_closure_override,0,closure_override,closure,shuffle_matched_001,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-1.34375,1,1043,False
g000_exception_override,0,exception_override,closure,shuffle_matched_001,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.578125,1,1043,False
g004_closure_update,4,closure_update,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.78125,1,1043,False
g004_closure_override,4,closure_override,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.953125,1,1043,False
g004_exception_override,4,exception_override,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.25,1,1043,False
g009_closure_update,9,closure_update,closure,shuffle_matched_001,East,West,6326,4312,4312, West,conflict,2,1,-0.75,1,1043,False
g009_closure_override,9,closure_override,closure,shuffle_matched_001,East,West,6326,4312,6326, East,clean,1,2,1.15625,1,1043,True
g009_exception_override,9,exception_override,closure,shuffle_matched_001,East,West,6326,4312,6326, East,clean,1,2,0.34375,1,1043,True
g010_closure_update,10,closure_update,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-3.6875,1,1043,False
g010_closure_override,10,closure_override,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.484375,1,1043,False
g010_exception_override,10,exception_override,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.828125,1,1043,False
g011_closure_update,11,closure_update,closure,shuffle_matched_001,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-2.40625,1,1043,False
g011_closure_override,11,closure_override,closure,shuffle_matched_001,Gold,Iron,7421,16570,7421, Gold,clean,1,2,0.859375,1,1043,True
g011_exception_override,11,exception_override,closure,shuffle_matched_001,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-0.109375,1,1043,False
g012_closure_update,12,closure_update,closure,shuffle_matched_001,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-2.3125,1,1043,False
g012_closure_override,12,closure_override,closure,shuffle_matched_001,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-1.09375,1,1043,False
g012_exception_override,12,exception_override,closure,shuffle_matched_001,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.84375,1,1043,False
g015_closure_update,15,closure_update,closure,shuffle_matched_001,East,West,6326,4312,4312, West,conflict,2,1,-1.984375,1,1043,False
g015_closure_override,15,closure_override,closure,shuffle_matched_001,East,West,6326,4312,6326, East,clean,1,2,0.03125,1,1043,True
g015_exception_override,15,exception_override,closure,shuffle_matched_001,East,West,6326,4312,4312, West,conflict,1,1,0.0,1,1043,False
g018_closure_update,18,closure_update,closure,shuffle_matched_001,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-2.546875,1,1043,False
g018_closure_override,18,closure_override,closure,shuffle_matched_001,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.921875,1,1043,False
g018_exception_override,18,exception_override,closure,shuffle_matched_001,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.46875,1,1043,False
g022_closure_update,22,closure_update,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.15625,1,1043,False
g022_closure_override,22,closure_override,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-3.40625,1,1043,False
g022_exception_override,22,exception_override,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.9375,1,1043,False
g026_closure_update,26,closure_update,closure,shuffle_matched_001,North,South,4787,4882,4882, South,conflict,2,1,-1.765625,1,1043,False
g026_closure_override,26,closure_override,closure,shuffle_matched_001,North,South,4787,4882,4882, South,conflict,2,1,-1.453125,1,1043,False
g026_exception_override,26,exception_override,closure,shuffle_matched_001,North,South,4787,4882,4787, North,clean,1,2,0.015625,1,1043,True
g030_closure_update,30,closure_update,closure,shuffle_matched_001,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-2.796875,1,1043,False
g030_closure_override,30,closure_override,closure,shuffle_matched_001,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.859375,1,1043,False
g030_exception_override,30,exception_override,closure,shuffle_matched_001,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-2.21875,1,1043,False
g031_closure_update,31,closure_update,closure,shuffle_matched_001,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-2.140625,1,1043,False
g031_closure_override,31,closure_override,closure,shuffle_matched_001,Green,Yellow,7840,25462,7840, Green,clean,1,2,0.265625,1,1043,True
g031_exception_override,31,exception_override,closure,shuffle_matched_001,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-2.453125,1,1043,False
g033_closure_update,33,closure_update,closure,shuffle_matched_001,East,West,6326,4312,4312, West,conflict,2,1,-1.46875,1,1043,False
g033_closure_override,33,closure_override,closure,shuffle_matched_001,East,West,6326,4312,6326, East,clean,1,2,0.4375,1,1043,True
g033_exception_override,33,exception_override,closure,shuffle_matched_001,East,West,6326,4312,6326, East,clean,1,2,0.046875,1,1043,True
g039_closure_update,39,closure_update,closure,shuffle_matched_001,East,West,6326,4312,4312, West,conflict,2,1,-1.328125,1,1043,False
g039_closure_override,39,closure_override,closure,shuffle_matched_001,East,West,6326,4312,6326, East,clean,1,2,1.328125,1,1043,True
g039_exception_override,39,exception_override,closure,shuffle_matched_001,East,West,6326,4312,6326, East,clean,1,2,0.359375,1,1043,True
g040_closure_update,40,closure_update,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.4375,1,1043,False
g040_closure_override,40,closure_override,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.078125,1,1043,False
g040_exception_override,40,exception_override,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-0.984375,1,1043,False
g042_closure_update,42,closure_update,closure,shuffle_matched_001,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-1.84375,1,1043,False
g042_closure_override,42,closure_override,closure,shuffle_matched_001,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.984375,1,1043,False
g042_exception_override,42,exception_override,closure,shuffle_matched_001,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.1875,1,1043,False
g045_closure_update,45,closure_update,closure,shuffle_matched_001,East,West,6326,4312,4312, West,conflict,2,1,-2.203125,1,1043,False
g045_closure_override,45,closure_override,closure,shuffle_matched_001,East,West,6326,4312,6326, East,clean,1,2,0.375,1,1043,True
g045_exception_override,45,exception_override,closure,shuffle_matched_001,East,West,6326,4312,6326, East,clean,1,2,0.5625,1,1043,True
g053_closure_update,53,closure_update,closure,shuffle_matched_001,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-3.03125,1,1043,False
g053_closure_override,53,closure_override,closure,shuffle_matched_001,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-0.640625,1,1043,False
g053_exception_override,53,exception_override,closure,shuffle_matched_001,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-1.5,1,1043,False
g064_closure_update,64,closure_update,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.71875,1,1043,False
g064_closure_override,64,closure_override,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.65625,1,1043,False
g064_exception_override,64,exception_override,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.15625,1,1043,False
g067_closure_update,67,closure_update,closure,shuffle_matched_001,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-2.234375,1,1043,False
g067_closure_override,67,closure_override,closure,shuffle_matched_001,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-0.046875,1,1043,False
g067_exception_override,67,exception_override,closure,shuffle_matched_001,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-2.046875,1,1043,False
g068_closure_update,68,closure_update,closure,shuffle_matched_001,North,South,4787,4882,4882, South,conflict,2,1,-2.34375,1,1043,False
g068_closure_override,68,closure_override,closure,shuffle_matched_001,North,South,4787,4882,4882, South,conflict,2,1,-1.4375,1,1043,False
g068_exception_override,68,exception_override,closure,shuffle_matched_001,North,South,4787,4882,4882, South,conflict,2,1,-0.453125,1,1043,False
g069_closure_update,69,closure_update,closure,shuffle_matched_001,East,West,6326,4312,4312, West,conflict,2,1,-1.296875,1,1043,False
g069_closure_override,69,closure_override,closure,shuffle_matched_001,East,West,6326,4312,4312, West,conflict,2,1,-1.421875,1,1043,False
g069_exception_override,69,exception_override,closure,shuffle_matched_001,East,West,6326,4312,6326, East,clean,1,2,0.890625,1,1043,True
g073_closure_update,73,closure_update,closure,shuffle_matched_001,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-2.5,1,1043,False
g073_closure_override,73,closure_override,closure,shuffle_matched_001,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-0.03125,1,1043,False
g073_exception_override,73,exception_override,closure,shuffle_matched_001,Green,Yellow,7840,25462,7840, Green,clean,1,2,0.71875,1,1043,True
g077_closure_update,77,closure_update,closure,shuffle_matched_001,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-4.96875,1,1043,False
g077_closure_override,77,closure_override,closure,shuffle_matched_001,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-1.703125,1,1043,False
g077_exception_override,77,exception_override,closure,shuffle_matched_001,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-1.375,1,1043,False
g079_closure_update,79,closure_update,closure,shuffle_matched_001,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-1.03125,1,1043,False
g079_closure_override,79,closure_override,closure,shuffle_matched_001,Green,Yellow,7840,25462,7840, Green,clean,1,2,0.328125,1,1043,True
g079_exception_override,79,exception_override,closure,shuffle_matched_001,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-2.859375,1,1043,False
g080_closure_update,80,closure_update,closure,shuffle_matched_001,North,South,4787,4882,4882, South,conflict,2,1,-1.890625,1,1043,False
g080_closure_override,80,closure_override,closure,shuffle_matched_001,North,South,4787,4882,4882, South,conflict,2,1,-1.171875,1,1043,False
g080_exception_override,80,exception_override,closure,shuffle_matched_001,North,South,4787,4882,4787, North,clean,1,2,0.109375,1,1043,True
g085_closure_update,85,closure_update,closure,shuffle_matched_001,Green,Yellow,7840,25462,25462, Yellow,conflict,2,1,-2.125,1,1043,False
g085_closure_override,85,closure_override,closure,shuffle_matched_001,Green,Yellow,7840,25462,7840, Green,clean,1,2,0.15625,1,1043,True
g085_exception_override,85,exception_override,closure,shuffle_matched_001,Green,Yellow,7840,25462,7840, Green,clean,1,2,0.796875,1,1043,True
g088_closure_update,88,closure_update,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.0,1,1043,False
g088_closure_override,88,closure_override,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.28125,1,1043,False
g088_exception_override,88,exception_override,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.125,1,1043,False
g094_closure_update,94,closure_update,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.046875,1,1043,False
g094_closure_override,94,closure_override,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.25,1,1043,False
g094_exception_override,94,exception_override,closure,shuffle_matched_001,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.4375,1,1043,False
g000_closure_update,0,closure_update,closure,shuffle_matched_002,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-2.3125,2,1044,False
g000_closure_override,0,closure_override,closure,shuffle_matched_002,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-3.296875,2,1044,False
g000_exception_override,0,exception_override,closure,shuffle_matched_002,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.59375,2,1044,False
g004_closure_update,4,closure_update,closure,shuffle_matched_002,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.734375,2,1044,False
g004_closure_override,4,closure_override,closure,shuffle_matched_002,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.046875,2,1044,False
g004_exception_override,4,exception_override,closure,shuffle_matched_002,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.078125,2,1044,False
g009_closure_update,9,closure_update,closure,shuffle_matched_002,East,West,6326,4312,4312, West,conflict,2,1,-0.921875,2,1044,False
g009_closure_override,9,closure_override,closure,shuffle_matched_002,East,West,6326,4312,6326, East,clean,1,2,1.15625,2,1044,True
g009_exception_override,9,exception_override,closure,shuffle_matched_002,East,West,6326,4312,6326, East,clean,1,2,0.6875,2,1044,True
g010_closure_update,10,closure_update,closure,shuffle_matched_002,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.765625,2,1044,False
g010_closure_override,10,closure_override,closure,shuffle_matched_002,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.875,2,1044,False
g010_exception_override,10,exception_override,closure,shuffle_matched_002,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.046875,2,1044,False
g011_closure_update,11,closure_update,closure,shuffle_matched_002,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-1.171875,2,1044,False
g011_closure_override,11,closure_override,closure,shuffle_matched_002,Gold,Iron,7421,16570,7421, Gold,clean,1,2,0.625,2,1044,True
g011_exception_override,11,exception_override,closure,shuffle_matched_002,Gold,Iron,7421,16570,16570, Iron,conflict,2,1,-0.25,2,1044,False
g012_closure_update,12,closure_update,closure,shuffle_matched_002,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-2.53125,2,1044,False
g012_closure_override,12,closure_override,closure,shuffle_matched_002,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-1.09375,2,1044,False
g012_exception_override,12,exception_override,closure,shuffle_matched_002,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.671875,2,1044,False
g015_closure_update,15,closure_update,closure,shuffle_matched_002,East,West,6326,4312,4312, West,conflict,2,1,-1.609375,2,1044,False
g015_closure_override,15,closure_override,closure,shuffle_matched_002,East,West,6326,4312,6326, East,clean,1,2,0.03125,2,1044,True
g015_exception_override,15,exception_override,closure,shuffle_matched_002,East,West,6326,4312,6326, East,clean,1,2,0.046875,2,1044,True
g018_closure_update,18,closure_update,closure,shuffle_matched_002,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-2.953125,2,1044,False
g018_closure_override,18,closure_override,closure,shuffle_matched_002,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.921875,2,1044,False
g018_exception_override,18,exception_override,closure,shuffle_matched_002,Red,Blue,3731,8697,8697, Blue,conflict,2,1,-0.46875,2,1044,False
g022_closure_update,22,closure_update,closure,shuffle_matched_002,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.796875,2,1044,False
g022_closure_override,22,closure_override,closure,shuffle_matched_002,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-2.859375,2,1044,False
g022_exception_override,22,exception_override,closure,shuffle_matched_002,Copper,Silver,42540,14997,14997, Silver,conflict,2,1,-1.953125,2,1044,False
g026_closure_update,26,closure_update,closure,shuffle_matched_002,North,South,4787,4882,4882, South,conflict,2,1,-1.765625,2,1044,False
g026_closure_override,26,closure_override,closure,shuffle_matched_002,North,South,4787,4882,4882, South,conflict,2,1,-1.453125,2,1044,False
g026_exception_override,26,exception_override,closure,shuffle_matched_002,North,South,4787,4882,4882, South,conflict,2,1,-0.421875,2,1044,False
