prompt_id,graph_id,entity_id,relation_id,condition,condition_class,mechanism,clean_label,conflict_label,aux_label,text,split,R_L11,dR_L11,R_L12,dR_L12,R_L13,dR_L13,R_L14,dR_L14,DeltaU
g000_closure_override,0,0,0,closure_override,structure_changing,closure,Red,Blue,Green,"You are given a rule system.
General rule: items that belongs to Bela receive label Red.
Override rule: in this case, items that belongs to Bela receive label Blue.
Fact: Ava belongs to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",discovery,0.1151413,0.08352346,-0.0191506,0.09204005,-0.069467634,-0.002991289,0.50844586,-0.29515517,-0.153386
g000_exception_override,0,0,0,exception_override,structure_changing,closure,Red,Blue,Green,"You are given a rule system.
General rule: items connected to Bela use label Red.
Exception: Ava is a special case and uses label Blue.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",discovery,0.019346036,-0.012271807,-0.12494299,-0.013752341,-0.17782119,-0.111344844,0.3428874,-0.46071362,-0.3927342
g001_clean,1,0,1,clean,clean,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,0.58548826,0.0,0.5237769,0.0,0.49339747,0.0,0.8297616,0.0,0.022258822
g001_rename,1,0,1,rename,relation_preserving,stable,Green,Yellow,North,"Consider a tiny mapping network.
Link one: Ava is assigned to Bela.
Link two: Bela maps to Green.
Choose the label reached from Ava: Green or Yellow.
One word answer:",discovery,0.37349606,-0.2119922,0.44933906,-0.07443783,0.40743488,-0.08596259,0.62887716,-0.20088446,-0.25117522
g001_permuted,1,0,1,permuted,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 2: Bela maps to Green.
Fact 1: Ava is assigned to Bela.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,0.6051203,0.019632041,0.5950184,0.0712415,0.544943,0.0515455,0.6205578,-0.20920384,-0.08431238
g001_redundant,1,0,1,redundant,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,0.5613126,-0.024175644,0.529691,0.005914092,0.52196443,0.028566957,0.8724754,0.04271376,0.064821176
g001_irrelevant,1,0,1,irrelevant,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Irrelevant fact: Cora is associated with North.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,0.5970973,0.011609018,0.606565,0.08278811,0.6149587,0.12156123,0.9624195,0.13265789,0.21388416
g001_paraphrase,1,0,1,paraphrase,relation_preserving,stable,Green,Yellow,North,"In this example, Ava reaches Bela.
The destination connected to Bela is Green.
Based on those two links, select the label for Ava: Green or Yellow.
Answer:",discovery,0.4663959,-0.119092345,0.62807375,0.10429686,0.5993864,0.10598892,0.858974,0.029212356,0.10235706
g001_weak_distractor,1,0,1,weak_distractor,structure_changing,stable_shift,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Weak note: some unrelated source mentions Yellow, but does not update the graph.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,0.59366775,0.008179486,0.56613016,0.042353272,0.50676423,0.013366759,0.8083744,-0.02138722,0.028988466
g001_competition_balanced,1,0,1,competition_balanced,structure_changing,competition,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Competing fact: Ava is also associated with Yellow.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,0.51277125,-0.07271701,0.50251824,-0.021258652,0.4237409,-0.06965658,0.50592875,-0.32383287,-0.28513443
g001_direct_conflict,1,0,1,direct_conflict,structure_changing,competition,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Direct conflicting fact: Ava maps to Yellow.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,0.55285263,-0.03263563,0.5363946,0.012617707,0.4778157,-0.015581787,0.7008314,-0.12893021,-0.087880746
g001_closure_update,1,0,1,closure_update,structure_changing,closure,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Old record: Bela maps to Green.
Updated record: Bela maps to Yellow, not Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,0.37982056,-0.2056677,0.39524138,-0.12853551,0.34753194,-0.14586553,0.39935136,-0.43041027,-0.47348544
g001_closure_override,1,0,1,closure_override,structure_changing,closure,Green,Yellow,North,"You are given a rule system.
General rule: items that is assigned to Bela receive label Green.
Override rule: in this case, items that is assigned to Bela receive label Yellow.
Fact: Ava is assigned to Bela.
Question: Which label applies to Ava: Green or Yellow?
Answer with exactly one word:",discovery,0.5903144,0.0048261285,0.5470301,0.023253202,0.48221037,-0.011187106,0.4346968,-0.39506483,-0.2774587
g001_exception_override,1,0,1,exception_override,structure_changing,closure,Green,Yellow,North,"You are given a rule system.
General rule: items connected to Bela use label Green.
Exception: Ava is a special case and uses label Yellow.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Green or Yellow?
Answer with exactly one word:",discovery,0.54243964,-0.04304862,0.55453205,0.030755162,0.5459694,0.052571952,0.28092718,-0.54883444,-0.37445536
g002_clean,2,0,2,clean,clean,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,0.2635853,0.0,0.30601805,0.0,0.42859054,0.0,0.73260903,0.0,0.022258822
g002_rename,2,0,2,rename,relation_preserving,stable,North,South,East,"Consider a tiny mapping network.
Link one: Ava is part of Bela.
Link two: Bela points to North.
Choose the label reached from Ava: North or South.
One word answer:",discovery,0.42237675,0.15879145,0.38669726,0.08067921,0.47741288,0.048822343,0.8805456,0.14793658,0.22642171
g002_permuted,2,0,2,permuted,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 2: Bela points to North.
Fact 1: Ava is part of Bela.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,0.22899398,-0.034591317,0.27210847,-0.03390959,0.44349468,0.014904141,0.57614684,-0.15646219,-0.11127077
g002_redundant,2,0,2,redundant,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,0.25165743,-0.011927873,0.26693964,-0.039078414,0.3873052,-0.041285336,0.689204,-0.043405056,-0.047346007
g002_irrelevant,2,0,2,irrelevant,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Irrelevant fact: Cora is associated with East.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,0.27273333,0.0091480315,0.33193532,0.025917262,0.51733184,0.0887413,0.83805037,0.10544133,0.15686265
g002_paraphrase,2,0,2,paraphrase,relation_preserving,stable,North,South,East,"In this example, Ava reaches Bela.
The destination connected to Bela is North.
Based on those two links, select the label for Ava: North or South.
Answer:",discovery,0.24241057,-0.021174729,0.27894324,-0.027074814,0.30163878,-0.12695175,0.7946656,0.06205654,-0.0051308237
g002_weak_distractor,2,0,2,weak_distractor,structure_changing,stable_shift,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Weak note: some unrelated source mentions South, but does not update the graph.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,0.37133545,0.10775015,0.36756653,0.06154847,0.48094016,0.052349627,0.72192335,-0.010685682,0.08693874
g002_competition_balanced,2,0,2,competition_balanced,structure_changing,competition,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Competing fact: Ava is also associated with South.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,0.19825085,-0.065334454,0.23614168,-0.06987637,0.32543242,-0.10315812,0.46763468,-0.26497436,-0.27100924
g002_direct_conflict,2,0,2,direct_conflict,structure_changing,competition,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Direct conflicting fact: Ava points to South.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,0.19989097,-0.06369433,0.2251569,-0.08086115,0.33838063,-0.0902099,0.5356233,-0.19698572,-0.21601509
g002_closure_update,2,0,2,closure_update,structure_changing,closure,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Old record: Bela points to North.
Updated record: Bela points to South, not North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,0.115346596,-0.1482387,0.14260098,-0.16341707,0.20659637,-0.22199416,0.3743465,-0.35826254,-0.45234287
g002_closure_override,2,0,2,closure_override,structure_changing,closure,North,South,East,"You are given a rule system.
General rule: items that is part of Bela receive label North.
Override rule: in this case, items that is part of Bela receive label South.
Fact: Ava is part of Bela.
Question: Which label applies to Ava: North or South?
Answer with exactly one word:",discovery,0.28264838,0.019063085,0.31037807,0.00436002,0.39032188,-0.038268656,0.48525763,-0.24735141,-0.17990123
g002_exception_override,2,0,2,exception_override,structure_changing,closure,North,South,East,"You are given a rule system.
General rule: items connected to Bela use label North.
Exception: Ava is a special case and uses label South.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: North or South?
Answer with exactly one word:",discovery,0.21964854,-0.04393676,0.21404251,-0.09197554,0.24788862,-0.18070191,0.35091877,-0.38169026,-0.4001123
g003_clean,3,0,3,clean,clean,stable,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery,0.095522724,0.0,0.12005459,0.0,0.091199726,0.0,-0.22952104,0.0,0.022258822
g003_rename,3,0,3,rename,relation_preserving,stable,East,West,Copper,"Consider a tiny mapping network.
Link one: Ava is grouped under Bela.
Link two: Bela has label East.
Choose the label reached from Ava: East or West.
One word answer:",discovery,0.23496127,0.13943854,0.2094623,0.08940771,0.23614496,0.14494523,0.15481305,0.3843341,0.45220366
g003_permuted,3,0,3,permuted,relation_preserving,stable,East,West,Copper,"You are given a small relation graph.
Fact 2: Bela has label East.
Fact 1: Ava is grouped under Bela.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery,0.16797839,0.07245567,0.24504267,0.12498808,0.21590012,0.1247004,-0.16401267,0.065508366,0.19344985
g003_redundant,3,0,3,redundant,relation_preserving,stable,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery,0.19410066,0.09857794,0.21053103,0.09047644,0.24928404,0.15808432,-0.0012202263,0.22830081,0.3288452
g003_irrelevant,3,0,3,irrelevant,relation_preserving,stable,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Irrelevant fact: Cora is associated with Copper.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery,0.13929625,0.043773524,0.13543895,0.015384361,0.11535829,0.024158567,-0.18448663,0.04503441,0.08450725
g003_paraphrase,3,0,3,paraphrase,relation_preserving,stable,East,West,Copper,"In this example, Ava reaches Bela.
The destination connected to Bela is East.
Based on those two links, select the label for Ava: East or West.
Answer:",discovery,0.25610673,0.160584,0.36349082,0.24343623,0.436932,0.34573227,0.34204578,0.5715668,0.75073165
g003_weak_distractor,3,0,3,weak_distractor,structure_changing,stable_shift,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Weak note: some unrelated source mentions West, but does not update the graph.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery,0.24595028,0.15042755,0.3645106,0.24445601,0.35713845,0.26593873,-0.107239604,0.12228143,0.3652246
g003_competition_balanced,3,0,3,competition_balanced,structure_changing,competition,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Competing fact: Ava is also associated with West.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery,0.17255828,0.077035554,0.23076855,0.11071396,0.20531666,0.11411694,-0.18473828,0.044782758,0.16861671
g003_direct_conflict,3,0,3,direct_conflict,structure_changing,competition,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Direct conflicting fact: Ava has label West.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery,0.18666658,0.091143854,0.26925611,0.14920153,0.26933172,0.178132,-0.05821085,0.17131019,0.3132704
g003_closure_update,3,0,3,closure_update,structure_changing,closure,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Old record: Bela has label East.
Updated record: Bela has label West, not East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery,0.07298924,-0.022533484,0.15870872,0.038654134,0.06428757,-0.026912153,-0.26811433,-0.038593292,-0.012249794
g003_closure_override,3,0,3,closure_override,structure_changing,closure,East,West,Copper,"You are given a rule system.
General rule: items that is grouped under Bela receive label East.
Override rule: in this case, items that is grouped under Bela receive label West.
Fact: Ava is grouped under Bela.
Question: Which label applies to Ava: East or West?
Answer with exactly one word:",discovery,0.15098731,0.055464588,0.27214116,0.15208657,0.24353606,0.15233633,-0.14483547,0.084685564,0.22664237
g003_exception_override,3,0,3,exception_override,structure_changing,closure,East,West,Copper,"You are given a rule system.
General rule: items connected to Bela use label East.
Exception: Ava is a special case and uses label West.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: East or West?
Answer with exactly one word:",discovery,0.15163982,0.056117095,0.22358486,0.10353027,0.15940213,0.068202406,-0.28760242,-0.05808139,0.06003533
g004_clean,4,1,0,clean,clean,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery,0.016627371,0.0,0.14957237,0.0,0.24098998,0.0,-0.6841155,0.0,0.022258822
g004_rename,4,1,0,rename,relation_preserving,stable,Copper,Silver,Gold,"Consider a tiny mapping network.
Link one: Darin belongs to Elo.
Link two: Elo is located at Copper.
Choose the label reached from Darin: Copper or Silver.
One word answer:",discovery,0.014966272,-0.0016610995,0.14356911,-0.0060032606,0.20469457,-0.036295414,-0.61271656,0.07139897,0.05736265
g004_permuted,4,1,0,permuted,relation_preserving,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 2: Elo is located at Copper.
Fact 1: Darin belongs to Elo.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery,0.014032066,-0.0025953054,0.16669965,0.017127275,0.31441617,0.07342619,-0.6963295,-0.012213945,0.053169683
g004_redundant,4,1,0,redundant,relation_preserving,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Repeated confirmation: Darin still goes through Elo.
Repeated confirmation: Elo still points to Copper.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery,0.057534844,0.040907472,0.22344309,0.07387072,0.3327856,0.09179562,-0.65101755,0.033097982,0.1272603
g004_irrelevant,4,1,0,irrelevant,relation_preserving,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Irrelevant fact: Faye is associated with Gold.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery,-0.01733534,-0.03396271,0.1853658,0.035793424,0.28521073,0.044220746,-0.6044487,0.07966685,0.108716145
g004_paraphrase,4,1,0,paraphrase,relation_preserving,stable,Copper,Silver,Gold,"In this example, Darin reaches Elo.
The destination connected to Elo is Copper.
Based on those two links, select the label for Darin: Copper or Silver.
Answer:",discovery,0.11826672,0.101639345,0.22682852,0.07725614,0.33262384,0.09163386,-0.6043792,0.07973635,0.17913774
g004_weak_distractor,4,1,0,weak_distractor,structure_changing,stable_shift,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Weak note: some unrelated source mentions Silver, but does not update the graph.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery,0.048358582,0.03173121,0.26115862,0.11158624,0.33159405,0.09060407,-0.66011107,0.02400446,0.13062647
g004_competition_balanced,4,1,0,competition_balanced,structure_changing,competition,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Competing fact: Darin is also associated with Silver.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery,-0.0088505,-0.025477871,0.14958736,1.4990568e-05,0.20678627,-0.03420371,-0.8545556,-0.17044008,-0.13130093
g004_direct_conflict,4,1,0,direct_conflict,structure_changing,competition,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Direct conflicting fact: Darin is located at Silver.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery,0.030690312,0.014062941,0.19459307,0.0450207,0.2758363,0.034846306,-0.6840298,8.571148e-05,0.05809786
g004_closure_update,4,1,0,closure_update,structure_changing,closure,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Old record: Elo is located at Copper.
Updated record: Elo is located at Silver, not Copper.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery,-0.007462859,-0.02409023,0.09671444,-0.052857935,0.085422754,-0.15556723,-1.050243,-0.3661275,-0.35764033
g004_closure_override,4,1,0,closure_override,structure_changing,closure,Copper,Silver,Gold,"You are given a rule system.
General rule: items that belongs to Elo receive label Copper.
Override rule: in this case, items that belongs to Elo receive label Silver.
Fact: Darin belongs to Elo.
Question: Which label applies to Darin: Copper or Silver?
Answer with exactly one word:",discovery,-0.00806395,-0.024691321,0.12680432,-0.02276805,0.18713117,-0.053858817,-1.0016185,-0.31750298,-0.26147804
g004_exception_override,4,1,0,exception_override,structure_changing,closure,Copper,Silver,Gold,"You are given a rule system.
General rule: items connected to Elo use label Copper.
Exception: Darin is a special case and uses label Silver.
Fact: Darin is connected to Elo.
Question: Which label applies to Darin: Copper or Silver?
Answer with exactly one word:",discovery,0.102129236,0.085501865,0.23036852,0.08079615,0.32477546,0.083785474,-0.99763983,-0.3135243,-0.12964113
g005_clean,5,1,1,clean,clean,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery,0.1744175,0.0,-0.23467949,0.0,0.18041849,0.0,1.3710579,0.0,0.022258822
g005_rename,5,1,1,rename,relation_preserving,stable,Gold,Iron,Red,"Consider a tiny mapping network.
Link one: Darin is assigned to Elo.
Link two: Elo maps to Gold.
Choose the label reached from Darin: Gold or Iron.
One word answer:",discovery,0.18077548,0.0063579828,-0.28839204,-0.053712547,0.1839999,0.0035814047,1.582683,0.2116251,0.1694428
g005_permuted,5,1,1,permuted,relation_preserving,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 2: Elo maps to Gold.
Fact 1: Darin is assigned to Elo.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery,0.21290725,0.03848976,-0.196212,0.038467497,0.16686457,-0.013553917,1.3632976,-0.0077602863,0.032736864
g005_redundant,5,1,1,redundant,relation_preserving,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Repeated confirmation: Darin still goes through Elo.
Repeated confirmation: Elo still points to Gold.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery,0.12169746,-0.052720033,-0.3127627,-0.07808322,0.012657404,-0.16776109,1.2253532,-0.14570463,-0.20984374
g005_irrelevant,5,1,1,irrelevant,relation_preserving,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Irrelevant fact: Faye is associated with Red.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery,0.3068315,0.13241401,-0.13882846,0.095851034,0.24531555,0.06489706,1.4737008,0.102642894,0.19807628
g005_paraphrase,5,1,1,paraphrase,relation_preserving,stable,Gold,Iron,Red,"In this example, Darin reaches Elo.
The destination connected to Elo is Gold.
Based on those two links, select the label for Darin: Gold or Iron.
Answer:",discovery,0.3509113,0.1764938,-0.06863712,0.16604237,0.22399276,0.043574274,1.5126212,0.1415633,0.25319916
g005_weak_distractor,5,1,1,weak_distractor,structure_changing,stable_shift,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Weak note: some unrelated source mentions Iron, but does not update the graph.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery,0.18906122,0.014643729,-0.13193563,0.102743864,0.21020925,0.02979076,1.4324939,0.061436057,0.123165354
g005_competition_balanced,5,1,1,competition_balanced,structure_changing,competition,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Competing fact: Darin is also associated with Iron.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery,0.24593395,0.071516454,-0.09647167,0.13820782,0.23138338,0.050964892,1.4042406,0.03318274,0.13788758
g005_direct_conflict,5,1,1,direct_conflict,structure_changing,competition,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Direct conflicting fact: Darin maps to Iron.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery,0.21552268,0.04110518,-0.08017032,0.15450917,0.23906809,0.0586496,1.5120543,0.14099646,0.22265188
g005_closure_update,5,1,1,closure_update,structure_changing,closure,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Old record: Elo maps to Gold.
Updated record: Elo maps to Iron, not Gold.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery,0.17515984,0.00074234605,-0.26112336,-0.026443869,0.0067849755,-0.17363352,1.0063105,-0.3647474,-0.34985018
g005_closure_override,5,1,1,closure_override,structure_changing,closure,Gold,Iron,Red,"You are given a rule system.
General rule: items that is assigned to Elo receive label Gold.
Override rule: in this case, items that is assigned to Elo receive label Iron.
Fact: Darin is assigned to Elo.
Question: Which label applies to Darin: Gold or Iron?
Answer with exactly one word:",discovery,0.23750454,0.063087046,-0.10891777,0.12576172,0.1722585,-0.008159995,1.2926333,-0.07842457,0.017525602
g005_exception_override,5,1,1,exception_override,structure_changing,closure,Gold,Iron,Red,"You are given a rule system.
General rule: items connected to Elo use label Gold.
Exception: Darin is a special case and uses label Iron.
Fact: Darin is connected to Elo.
Question: Which label applies to Darin: Gold or Iron?
Answer with exactly one word:",discovery,0.25002506,0.07560757,-0.11190203,0.12277746,0.2327025,0.052284002,1.2770227,-0.09403515,0.036331445
