prompt_id,graph_id,entity_id,relation_id,condition,condition_class,mechanism,clean_label,conflict_label,aux_label,text,split
g000_exception_override,0,0,0,exception_override,structure_changing,closure,Red,Blue,Green,"You are given a rule system.
General rule: items connected to Bela use label Red.
Exception: Ava is a special case and uses label Blue.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",discovery
g001_clean,1,0,1,clean,clean,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery
g001_rename,1,0,1,rename,relation_preserving,stable,Green,Yellow,North,"Consider a tiny mapping network.
Link one: Ava is assigned to Bela.
Link two: Bela maps to Green.
Choose the label reached from Ava: Green or Yellow.
One word answer:",discovery
g001_permuted,1,0,1,permuted,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 2: Bela maps to Green.
Fact 1: Ava is assigned to Bela.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery
g001_redundant,1,0,1,redundant,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery
g001_irrelevant,1,0,1,irrelevant,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Irrelevant fact: Cora is associated with North.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery
g001_paraphrase,1,0,1,paraphrase,relation_preserving,stable,Green,Yellow,North,"In this example, Ava reaches Bela.
The destination connected to Bela is Green.
Based on those two links, select the label for Ava: Green or Yellow.
Answer:",discovery
g001_weak_distractor,1,0,1,weak_distractor,structure_changing,stable_shift,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Weak note: some unrelated source mentions Yellow, but does not update the graph.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery
g001_competition_balanced,1,0,1,competition_balanced,structure_changing,competition,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Competing fact: Ava is also associated with Yellow.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery
g001_direct_conflict,1,0,1,direct_conflict,structure_changing,competition,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Direct conflicting fact: Ava maps to Yellow.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery
g001_closure_update,1,0,1,closure_update,structure_changing,closure,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Old record: Bela maps to Green.
Updated record: Bela maps to Yellow, not Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery
g001_closure_override,1,0,1,closure_override,structure_changing,closure,Green,Yellow,North,"You are given a rule system.
General rule: items that is assigned to Bela receive label Green.
Override rule: in this case, items that is assigned to Bela receive label Yellow.
Fact: Ava is assigned to Bela.
Question: Which label applies to Ava: Green or Yellow?
Answer with exactly one word:",discovery
g001_exception_override,1,0,1,exception_override,structure_changing,closure,Green,Yellow,North,"You are given a rule system.
General rule: items connected to Bela use label Green.
Exception: Ava is a special case and uses label Yellow.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Green or Yellow?
Answer with exactly one word:",discovery
g002_clean,2,0,2,clean,clean,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery
g002_rename,2,0,2,rename,relation_preserving,stable,North,South,East,"Consider a tiny mapping network.
Link one: Ava is part of Bela.
Link two: Bela points to North.
Choose the label reached from Ava: North or South.
One word answer:",discovery
g002_permuted,2,0,2,permuted,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 2: Bela points to North.
Fact 1: Ava is part of Bela.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery
g002_redundant,2,0,2,redundant,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery
g002_irrelevant,2,0,2,irrelevant,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Irrelevant fact: Cora is associated with East.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery
g002_paraphrase,2,0,2,paraphrase,relation_preserving,stable,North,South,East,"In this example, Ava reaches Bela.
The destination connected to Bela is North.
Based on those two links, select the label for Ava: North or South.
Answer:",discovery
g002_weak_distractor,2,0,2,weak_distractor,structure_changing,stable_shift,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Weak note: some unrelated source mentions South, but does not update the graph.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery
g002_competition_balanced,2,0,2,competition_balanced,structure_changing,competition,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Competing fact: Ava is also associated with South.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery
g002_direct_conflict,2,0,2,direct_conflict,structure_changing,competition,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Direct conflicting fact: Ava points to South.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery
g002_closure_update,2,0,2,closure_update,structure_changing,closure,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Old record: Bela points to North.
Updated record: Bela points to South, not North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery
g002_closure_override,2,0,2,closure_override,structure_changing,closure,North,South,East,"You are given a rule system.
General rule: items that is part of Bela receive label North.
Override rule: in this case, items that is part of Bela receive label South.
Fact: Ava is part of Bela.
Question: Which label applies to Ava: North or South?
Answer with exactly one word:",discovery
g002_exception_override,2,0,2,exception_override,structure_changing,closure,North,South,East,"You are given a rule system.
General rule: items connected to Bela use label North.
Exception: Ava is a special case and uses label South.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: North or South?
Answer with exactly one word:",discovery
g003_clean,3,0,3,clean,clean,stable,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery
g003_rename,3,0,3,rename,relation_preserving,stable,East,West,Copper,"Consider a tiny mapping network.
Link one: Ava is grouped under Bela.
Link two: Bela has label East.
Choose the label reached from Ava: East or West.
One word answer:",discovery
g003_permuted,3,0,3,permuted,relation_preserving,stable,East,West,Copper,"You are given a small relation graph.
Fact 2: Bela has label East.
Fact 1: Ava is grouped under Bela.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery
g003_redundant,3,0,3,redundant,relation_preserving,stable,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery
g003_irrelevant,3,0,3,irrelevant,relation_preserving,stable,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Irrelevant fact: Cora is associated with Copper.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery
g003_paraphrase,3,0,3,paraphrase,relation_preserving,stable,East,West,Copper,"In this example, Ava reaches Bela.
The destination connected to Bela is East.
Based on those two links, select the label for Ava: East or West.
Answer:",discovery
g003_weak_distractor,3,0,3,weak_distractor,structure_changing,stable_shift,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Weak note: some unrelated source mentions West, but does not update the graph.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery
g003_competition_balanced,3,0,3,competition_balanced,structure_changing,competition,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Competing fact: Ava is also associated with West.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery
g003_direct_conflict,3,0,3,direct_conflict,structure_changing,competition,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Direct conflicting fact: Ava has label West.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery
g003_closure_update,3,0,3,closure_update,structure_changing,closure,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Old record: Bela has label East.
Updated record: Bela has label West, not East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery
g003_closure_override,3,0,3,closure_override,structure_changing,closure,East,West,Copper,"You are given a rule system.
General rule: items that is grouped under Bela receive label East.
Override rule: in this case, items that is grouped under Bela receive label West.
Fact: Ava is grouped under Bela.
Question: Which label applies to Ava: East or West?
Answer with exactly one word:",discovery
g003_exception_override,3,0,3,exception_override,structure_changing,closure,East,West,Copper,"You are given a rule system.
General rule: items connected to Bela use label East.
Exception: Ava is a special case and uses label West.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: East or West?
Answer with exactly one word:",discovery
g004_clean,4,1,0,clean,clean,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery
g004_rename,4,1,0,rename,relation_preserving,stable,Copper,Silver,Gold,"Consider a tiny mapping network.
Link one: Darin belongs to Elo.
Link two: Elo is located at Copper.
Choose the label reached from Darin: Copper or Silver.
One word answer:",discovery
g004_permuted,4,1,0,permuted,relation_preserving,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 2: Elo is located at Copper.
Fact 1: Darin belongs to Elo.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery
g004_redundant,4,1,0,redundant,relation_preserving,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Repeated confirmation: Darin still goes through Elo.
Repeated confirmation: Elo still points to Copper.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery
g004_irrelevant,4,1,0,irrelevant,relation_preserving,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Irrelevant fact: Faye is associated with Gold.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery
g004_paraphrase,4,1,0,paraphrase,relation_preserving,stable,Copper,Silver,Gold,"In this example, Darin reaches Elo.
The destination connected to Elo is Copper.
Based on those two links, select the label for Darin: Copper or Silver.
Answer:",discovery
g004_weak_distractor,4,1,0,weak_distractor,structure_changing,stable_shift,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Weak note: some unrelated source mentions Silver, but does not update the graph.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery
g004_competition_balanced,4,1,0,competition_balanced,structure_changing,competition,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Competing fact: Darin is also associated with Silver.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery
g004_direct_conflict,4,1,0,direct_conflict,structure_changing,competition,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Direct conflicting fact: Darin is located at Silver.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery
g004_closure_update,4,1,0,closure_update,structure_changing,closure,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Old record: Elo is located at Copper.
Updated record: Elo is located at Silver, not Copper.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery
g004_closure_override,4,1,0,closure_override,structure_changing,closure,Copper,Silver,Gold,"You are given a rule system.
General rule: items that belongs to Elo receive label Copper.
Override rule: in this case, items that belongs to Elo receive label Silver.
Fact: Darin belongs to Elo.
Question: Which label applies to Darin: Copper or Silver?
Answer with exactly one word:",discovery
g004_exception_override,4,1,0,exception_override,structure_changing,closure,Copper,Silver,Gold,"You are given a rule system.
General rule: items connected to Elo use label Copper.
Exception: Darin is a special case and uses label Silver.
Fact: Darin is connected to Elo.
Question: Which label applies to Darin: Copper or Silver?
Answer with exactly one word:",discovery
g005_clean,5,1,1,clean,clean,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery
g005_rename,5,1,1,rename,relation_preserving,stable,Gold,Iron,Red,"Consider a tiny mapping network.
Link one: Darin is assigned to Elo.
Link two: Elo maps to Gold.
Choose the label reached from Darin: Gold or Iron.
One word answer:",discovery
g005_permuted,5,1,1,permuted,relation_preserving,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 2: Elo maps to Gold.
Fact 1: Darin is assigned to Elo.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery
g005_redundant,5,1,1,redundant,relation_preserving,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Repeated confirmation: Darin still goes through Elo.
Repeated confirmation: Elo still points to Gold.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery
g005_irrelevant,5,1,1,irrelevant,relation_preserving,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Irrelevant fact: Faye is associated with Red.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery
g005_paraphrase,5,1,1,paraphrase,relation_preserving,stable,Gold,Iron,Red,"In this example, Darin reaches Elo.
The destination connected to Elo is Gold.
Based on those two links, select the label for Darin: Gold or Iron.
Answer:",discovery
g005_weak_distractor,5,1,1,weak_distractor,structure_changing,stable_shift,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Weak note: some unrelated source mentions Iron, but does not update the graph.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery
g005_competition_balanced,5,1,1,competition_balanced,structure_changing,competition,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Competing fact: Darin is also associated with Iron.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery
g005_direct_conflict,5,1,1,direct_conflict,structure_changing,competition,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Direct conflicting fact: Darin maps to Iron.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery
g005_closure_update,5,1,1,closure_update,structure_changing,closure,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Old record: Elo maps to Gold.
Updated record: Elo maps to Iron, not Gold.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery
g005_closure_override,5,1,1,closure_override,structure_changing,closure,Gold,Iron,Red,"You are given a rule system.
General rule: items that is assigned to Elo receive label Gold.
Override rule: in this case, items that is assigned to Elo receive label Iron.
Fact: Darin is assigned to Elo.
Question: Which label applies to Darin: Gold or Iron?
Answer with exactly one word:",discovery
g005_exception_override,5,1,1,exception_override,structure_changing,closure,Gold,Iron,Red,"You are given a rule system.
General rule: items connected to Elo use label Gold.
Exception: Darin is a special case and uses label Iron.
Fact: Darin is connected to Elo.
Question: Which label applies to Darin: Gold or Iron?
Answer with exactly one word:",discovery
g006_clean,6,1,2,clean,clean,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Darin is part of Elo.
Fact 2: Elo points to Red.
Question: Which label is associated with Darin: Red or Blue?
Answer with exactly one word:",discovery
g006_rename,6,1,2,rename,relation_preserving,stable,Red,Blue,Green,"Consider a tiny mapping network.
Link one: Darin is part of Elo.
Link two: Elo points to Red.
Choose the label reached from Darin: Red or Blue.
One word answer:",discovery
g006_permuted,6,1,2,permuted,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 2: Elo points to Red.
Fact 1: Darin is part of Elo.
Question: Which label is associated with Darin: Red or Blue?
Answer with exactly one word:",discovery
g006_redundant,6,1,2,redundant,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Darin is part of Elo.
Fact 2: Elo points to Red.
Repeated confirmation: Darin still goes through Elo.
Repeated confirmation: Elo still points to Red.
Question: Which label is associated with Darin: Red or Blue?
Answer with exactly one word:",discovery
g006_irrelevant,6,1,2,irrelevant,relation_preserving,stable,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Darin is part of Elo.
Fact 2: Elo points to Red.
Irrelevant fact: Faye is associated with Green.
Question: Which label is associated with Darin: Red or Blue?
Answer with exactly one word:",discovery
g006_paraphrase,6,1,2,paraphrase,relation_preserving,stable,Red,Blue,Green,"In this example, Darin reaches Elo.
The destination connected to Elo is Red.
Based on those two links, select the label for Darin: Red or Blue.
Answer:",discovery
g006_weak_distractor,6,1,2,weak_distractor,structure_changing,stable_shift,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Darin is part of Elo.
Fact 2: Elo points to Red.
Weak note: some unrelated source mentions Blue, but does not update the graph.
Question: Which label is associated with Darin: Red or Blue?
Answer with exactly one word:",discovery
g006_competition_balanced,6,1,2,competition_balanced,structure_changing,competition,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Darin is part of Elo.
Fact 2: Elo points to Red.
Competing fact: Darin is also associated with Blue.
Question: Which label is associated with Darin: Red or Blue?
Answer with exactly one word:",discovery
g006_direct_conflict,6,1,2,direct_conflict,structure_changing,competition,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Darin is part of Elo.
Fact 2: Elo points to Red.
Direct conflicting fact: Darin points to Blue.
Question: Which label is associated with Darin: Red or Blue?
Answer with exactly one word:",discovery
g006_closure_update,6,1,2,closure_update,structure_changing,closure,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Darin is part of Elo.
Old record: Elo points to Red.
Updated record: Elo points to Blue, not Red.
Question: Which label is associated with Darin: Red or Blue?
Answer with exactly one word:",discovery
g006_closure_override,6,1,2,closure_override,structure_changing,closure,Red,Blue,Green,"You are given a rule system.
General rule: items that is part of Elo receive label Red.
Override rule: in this case, items that is part of Elo receive label Blue.
Fact: Darin is part of Elo.
Question: Which label applies to Darin: Red or Blue?
Answer with exactly one word:",discovery
g006_exception_override,6,1,2,exception_override,structure_changing,closure,Red,Blue,Green,"You are given a rule system.
General rule: items connected to Elo use label Red.
Exception: Darin is a special case and uses label Blue.
Fact: Darin is connected to Elo.
Question: Which label applies to Darin: Red or Blue?
Answer with exactly one word:",discovery
g007_clean,7,1,3,clean,clean,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Darin is grouped under Elo.
Fact 2: Elo has label Green.
Question: Which label is associated with Darin: Green or Yellow?
Answer with exactly one word:",discovery
g007_rename,7,1,3,rename,relation_preserving,stable,Green,Yellow,North,"Consider a tiny mapping network.
Link one: Darin is grouped under Elo.
Link two: Elo has label Green.
Choose the label reached from Darin: Green or Yellow.
One word answer:",discovery
g007_permuted,7,1,3,permuted,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 2: Elo has label Green.
Fact 1: Darin is grouped under Elo.
Question: Which label is associated with Darin: Green or Yellow?
Answer with exactly one word:",discovery
g007_redundant,7,1,3,redundant,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Darin is grouped under Elo.
Fact 2: Elo has label Green.
Repeated confirmation: Darin still goes through Elo.
Repeated confirmation: Elo still points to Green.
Question: Which label is associated with Darin: Green or Yellow?
Answer with exactly one word:",discovery
g007_irrelevant,7,1,3,irrelevant,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Darin is grouped under Elo.
Fact 2: Elo has label Green.
Irrelevant fact: Faye is associated with North.
Question: Which label is associated with Darin: Green or Yellow?
Answer with exactly one word:",discovery
g007_paraphrase,7,1,3,paraphrase,relation_preserving,stable,Green,Yellow,North,"In this example, Darin reaches Elo.
The destination connected to Elo is Green.
Based on those two links, select the label for Darin: Green or Yellow.
Answer:",discovery
g007_weak_distractor,7,1,3,weak_distractor,structure_changing,stable_shift,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Darin is grouped under Elo.
Fact 2: Elo has label Green.
Weak note: some unrelated source mentions Yellow, but does not update the graph.
Question: Which label is associated with Darin: Green or Yellow?
Answer with exactly one word:",discovery
g007_competition_balanced,7,1,3,competition_balanced,structure_changing,competition,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Darin is grouped under Elo.
Fact 2: Elo has label Green.
Competing fact: Darin is also associated with Yellow.
Question: Which label is associated with Darin: Green or Yellow?
Answer with exactly one word:",discovery
g007_direct_conflict,7,1,3,direct_conflict,structure_changing,competition,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Darin is grouped under Elo.
Fact 2: Elo has label Green.
Direct conflicting fact: Darin has label Yellow.
Question: Which label is associated with Darin: Green or Yellow?
Answer with exactly one word:",discovery
g007_closure_update,7,1,3,closure_update,structure_changing,closure,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Darin is grouped under Elo.
Old record: Elo has label Green.
Updated record: Elo has label Yellow, not Green.
Question: Which label is associated with Darin: Green or Yellow?
Answer with exactly one word:",discovery
g007_closure_override,7,1,3,closure_override,structure_changing,closure,Green,Yellow,North,"You are given a rule system.
General rule: items that is grouped under Elo receive label Green.
Override rule: in this case, items that is grouped under Elo receive label Yellow.
Fact: Darin is grouped under Elo.
Question: Which label applies to Darin: Green or Yellow?
Answer with exactly one word:",discovery
g007_exception_override,7,1,3,exception_override,structure_changing,closure,Green,Yellow,North,"You are given a rule system.
General rule: items connected to Elo use label Green.
Exception: Darin is a special case and uses label Yellow.
Fact: Darin is connected to Elo.
Question: Which label applies to Darin: Green or Yellow?
Answer with exactly one word:",discovery
g008_clean,8,2,0,clean,clean,stable,North,South,East,"You are given a small relation graph.
Fact 1: Galen belongs to Hera.
Fact 2: Hera is located at North.
Question: Which label is associated with Galen: North or South?
Answer with exactly one word:",discovery
g008_rename,8,2,0,rename,relation_preserving,stable,North,South,East,"Consider a tiny mapping network.
Link one: Galen belongs to Hera.
Link two: Hera is located at North.
Choose the label reached from Galen: North or South.
One word answer:",discovery
g008_permuted,8,2,0,permuted,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 2: Hera is located at North.
Fact 1: Galen belongs to Hera.
Question: Which label is associated with Galen: North or South?
Answer with exactly one word:",discovery
g008_redundant,8,2,0,redundant,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 1: Galen belongs to Hera.
Fact 2: Hera is located at North.
Repeated confirmation: Galen still goes through Hera.
Repeated confirmation: Hera still points to North.
Question: Which label is associated with Galen: North or South?
Answer with exactly one word:",discovery
g008_irrelevant,8,2,0,irrelevant,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 1: Galen belongs to Hera.
Fact 2: Hera is located at North.
Irrelevant fact: Ivo is associated with East.
Question: Which label is associated with Galen: North or South?
Answer with exactly one word:",discovery
g008_paraphrase,8,2,0,paraphrase,relation_preserving,stable,North,South,East,"In this example, Galen reaches Hera.
The destination connected to Hera is North.
Based on those two links, select the label for Galen: North or South.
Answer:",discovery
g008_weak_distractor,8,2,0,weak_distractor,structure_changing,stable_shift,North,South,East,"You are given a small relation graph.
Fact 1: Galen belongs to Hera.
Fact 2: Hera is located at North.
Weak note: some unrelated source mentions South, but does not update the graph.
Question: Which label is associated with Galen: North or South?
Answer with exactly one word:",discovery
g008_competition_balanced,8,2,0,competition_balanced,structure_changing,competition,North,South,East,"You are given a small relation graph.
Fact 1: Galen belongs to Hera.
Fact 2: Hera is located at North.
Competing fact: Galen is also associated with South.
Question: Which label is associated with Galen: North or South?
Answer with exactly one word:",discovery
