prompt_id,graph_id,entity_id,relation_id,condition,condition_class,mechanism,clean_label,conflict_label,aux_label,text,split,R_L18,dR_L18,R_L19,dR_L19,R_L20,dR_L20,R_L21,dR_L21,R_L22,dR_L22,R_L23,dR_L23,DeltaU
g000_closure_override,0,0,0,closure_override,structure_changing,closure,Red,Blue,Green,"You are given a rule system.
General rule: items that belongs to Bela receive label Red.
Override rule: in this case, items that belongs to Bela receive label Blue.
Fact: Ava belongs to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",discovery,-23.620733,-25.10406,-33.473366,-31.652905,-25.217499,-39.322166,-17.679615,-37.50028,-31.445774,-48.70279,1.1241074,-65.98948,-92.94218
g000_exception_override,0,0,0,exception_override,structure_changing,closure,Red,Blue,Green,"You are given a rule system.
General rule: items connected to Bela use label Red.
Exception: Ava is a special case and uses label Blue.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Red or Blue?
Answer with exactly one word:",discovery,-23.768614,-25.25194,-39.546303,-37.72584,-28.037558,-42.142227,-20.640854,-40.461517,-32.442383,-49.699398,-6.460449,-73.574036,-101.67961
g001_clean,1,0,1,clean,clean,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,12.862419,0.0,16.6576,0.0,26.423208,0.0,40.733147,0.0,72.493744,0.0,104.3025,0.0,12.397655
g001_rename,1,0,1,rename,relation_preserving,stable,Green,Yellow,North,"Consider a tiny mapping network.
Link one: Ava is assigned to Bela.
Link two: Bela maps to Green.
Choose the label reached from Ava: Green or Yellow.
One word answer:",discovery,9.493373,-3.3690462,23.433083,6.775482,31.477856,5.0546474,41.235744,0.5025978,77.47186,4.978119,108.14811,3.8456116,20.694273
g001_permuted,1,0,1,permuted,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 2: Bela maps to Green.
Fact 1: Ava is assigned to Bela.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,14.849627,1.9872074,16.817932,0.16033173,27.741043,1.3178349,41.553505,0.8203583,73.404335,0.9105911,106.03195,1.729454,15.092088
g001_redundant,1,0,1,redundant,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,6.1747646,-6.6876545,8.652706,-8.004894,21.705643,-4.7175655,36.924244,-3.8089027,67.56062,-4.9331207,99.975266,-4.3272324,0.13239574
g001_irrelevant,1,0,1,irrelevant,relation_preserving,stable,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Irrelevant fact: Cora is associated with North.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,13.909863,1.0474443,20.156733,3.4991322,33.847744,7.4245358,46.078484,5.345337,81.05615,8.562408,112.3049,8.002403,27.379757
g001_paraphrase,1,0,1,paraphrase,relation_preserving,stable,Green,Yellow,North,"In this example, Ava reaches Bela.
The destination connected to Bela is Green.
Based on those two links, select the label for Ava: Green or Yellow.
Answer:",discovery,2.2345362,-10.627883,-3.1682796,-19.82588,11.726662,-14.696547,29.630493,-11.1026535,55.183346,-17.310398,91.991974,-12.310524,-21.991879
g001_weak_distractor,1,0,1,weak_distractor,structure_changing,stable_shift,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Weak note: some unrelated source mentions Yellow, but does not update the graph.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,13.974903,1.112484,19.551851,2.8942509,34.03795,7.6147404,46.20917,5.4760246,79.600784,7.1070404,111.46275,7.1602554,26.140968
g001_competition_balanced,1,0,1,competition_balanced,structure_changing,competition,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Competing fact: Ava is also associated with Yellow.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,6.5634003,-6.299019,12.537132,-4.120468,29.24553,2.822321,43.42543,2.6922836,82.29582,9.802078,114.74315,10.440651,22.232231
g001_direct_conflict,1,0,1,direct_conflict,structure_changing,competition,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Direct conflicting fact: Ava maps to Yellow.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,4.422542,-8.439877,10.661401,-5.9961996,24.039972,-2.383236,37.70947,-3.0236778,69.645065,-2.8486786,103.644684,-0.657814,4.6216226
g001_closure_update,1,0,1,closure_update,structure_changing,closure,Green,Yellow,North,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Old record: Bela maps to Green.
Updated record: Bela maps to Yellow, not Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",discovery,-1.1163573,-13.978777,-5.9597263,-22.617327,8.426764,-17.996445,22.447166,-18.28598,59.921745,-12.571999,95.22435,-9.078148,-23.678833
g001_closure_override,1,0,1,closure_override,structure_changing,closure,Green,Yellow,North,"You are given a rule system.
General rule: items that is assigned to Bela receive label Green.
Override rule: in this case, items that is assigned to Bela receive label Yellow.
Fact: Ava is assigned to Bela.
Question: Which label applies to Ava: Green or Yellow?
Answer with exactly one word:",discovery,-12.924385,-25.786804,-19.894337,-36.551937,-13.5462475,-39.969456,3.6629438,-37.0702,31.203274,-41.29047,68.049835,-36.252663,-75.78024
g001_exception_override,1,0,1,exception_override,structure_changing,closure,Green,Yellow,North,"You are given a rule system.
General rule: items connected to Bela use label Green.
Exception: Ava is a special case and uses label Yellow.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Green or Yellow?
Answer with exactly one word:",discovery,-21.441309,-34.303726,-33.32576,-49.98336,-27.506235,-53.929443,-10.303403,-51.03655,10.256405,-62.23734,43.232456,-61.07004,-116.66595
g002_clean,2,0,2,clean,clean,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,10.488707,0.0,3.9237537,0.0,17.214466,0.0,23.014565,0.0,15.343811,0.0,13.337936,0.0,12.397655
g002_rename,2,0,2,rename,relation_preserving,stable,North,South,East,"Consider a tiny mapping network.
Link one: Ava is part of Bela.
Link two: Bela points to North.
Choose the label reached from Ava: North or South.
One word answer:",discovery,10.584469,0.09576225,15.30532,11.381566,29.937685,12.723219,32.338234,9.323669,34.53961,19.1958,31.138954,17.801018,43.972786
g002_permuted,2,0,2,permuted,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 2: Bela points to North.
Fact 1: Ava is part of Bela.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,16.116169,5.6274624,10.255329,6.3315754,26.09713,8.882664,31.942245,8.927681,28.265984,12.922173,28.032883,14.694946,36.968502
g002_redundant,2,0,2,redundant,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,10.167387,-0.32131958,3.612833,-0.31092072,20.36531,3.1508446,25.434551,2.4199867,18.347397,3.0035858,17.345818,4.007881,18.03957
g002_irrelevant,2,0,2,irrelevant,relation_preserving,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Irrelevant fact: Cora is associated with East.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,16.006176,5.5174694,9.521057,5.5973034,27.298634,10.0841675,33.74869,10.734127,28.791931,13.44812,26.560593,13.222656,37.40531
g002_paraphrase,2,0,2,paraphrase,relation_preserving,stable,North,South,East,"In this example, Ava reaches Bela.
The destination connected to Bela is North.
Based on those two links, select the label for Ava: North or South.
Answer:",discovery,-0.087638855,-10.576345,-8.277666,-12.20142,-3.961935,-21.176401,-1.7721367,-24.786701,-12.352386,-27.696198,-13.561127,-26.899063,-40.189655
g002_weak_distractor,2,0,2,weak_distractor,structure_changing,stable_shift,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Weak note: some unrelated source mentions South, but does not update the graph.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,19.809235,9.320528,18.366348,14.442595,33.85977,16.645306,38.125282,15.110718,34.48842,19.144608,33.735916,20.39798,52.14046
g002_competition_balanced,2,0,2,competition_balanced,structure_changing,competition,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Competing fact: Ava is also associated with South.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,3.717104,-6.7716026,-0.31020927,-4.233963,13.988983,-3.225483,17.856922,-5.1576424,14.306641,-1.0371704,13.33905,0.0011138916,5.6725106
g002_direct_conflict,2,0,2,direct_conflict,structure_changing,competition,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Direct conflicting fact: Ava points to South.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,7.7325535,-2.756153,3.0444565,-0.87929726,17.826988,0.6125221,21.684925,-1.3296394,10.500275,-4.8435364,9.195206,-4.1427307,6.625877
g002_closure_update,2,0,2,closure_update,structure_changing,closure,North,South,East,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Old record: Bela points to North.
Updated record: Bela points to South, not North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",discovery,9.726466,-0.7622404,3.0845718,-0.8391819,14.434078,-2.7803879,19.052946,-3.9616184,19.674614,4.330803,18.244751,4.9068146,14.029064
g002_closure_override,2,0,2,closure_override,structure_changing,closure,North,South,East,"You are given a rule system.
General rule: items that is part of Bela receive label North.
Override rule: in this case, items that is part of Bela receive label South.
Fact: Ava is part of Bela.
Question: Which label applies to Ava: North or South?
Answer with exactly one word:",discovery,-7.2810383,-17.769745,-13.287001,-17.210754,-12.44331,-29.657776,-7.514576,-30.52914,-8.75856,-24.102371,-10.927475,-24.265411,-45.89871
g002_exception_override,2,0,2,exception_override,structure_changing,closure,North,South,East,"You are given a rule system.
General rule: items connected to Bela use label North.
Exception: Ava is a special case and uses label South.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: North or South?
Answer with exactly one word:",discovery,-5.517477,-16.006184,-14.679676,-18.60343,-8.143532,-25.357998,-3.7135468,-26.728111,-7.3794403,-22.723251,-10.802597,-24.140533,-41.982796
g003_clean,3,0,3,clean,clean,stable,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery,12.143608,0.0,4.7518215,0.0,8.508183,0.0,9.130894,0.0,11.20076,0.0,2.5656967,0.0,12.397655
g003_rename,3,0,3,rename,relation_preserving,stable,East,West,Copper,"Consider a tiny mapping network.
Link one: Ava is grouped under Bela.
Link two: Bela has label East.
Choose the label reached from Ava: East or West.
One word answer:",discovery,8.958804,-3.184804,6.644451,1.8926296,12.109407,3.601225,13.2070465,4.076153,17.96154,6.7607803,9.7547455,7.189049,22.532114
g003_permuted,3,0,3,permuted,relation_preserving,stable,East,West,Copper,"You are given a small relation graph.
Fact 2: Bela has label East.
Fact 1: Ava is grouped under Bela.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery,15.285828,3.1422195,2.145794,-2.6060276,10.110451,1.6022682,11.125153,1.9942589,13.3101425,2.1093826,6.1124496,3.546753,16.54224
g003_redundant,3,0,3,redundant,relation_preserving,stable,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Repeated confirmation: Ava still goes through Bela.
Repeated confirmation: Bela still points to East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery,12.213243,0.06963444,2.795847,-1.9559746,8.036781,-0.4714012,8.2138405,-0.9170532,8.191521,-3.0092392,1.1953888,-1.3703079,8.966615
g003_irrelevant,3,0,3,irrelevant,relation_preserving,stable,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Irrelevant fact: Cora is associated with Copper.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery,17.554201,5.410593,10.094112,5.342291,17.257725,8.749542,17.833885,8.7029915,22.855042,11.654282,15.287491,12.721794,34.789043
g003_paraphrase,3,0,3,paraphrase,relation_preserving,stable,East,West,Copper,"In this example, Ava reaches Bela.
The destination connected to Bela is East.
Based on those two links, select the label for Ava: East or West.
Answer:",discovery,-0.34394598,-12.487555,-8.418413,-13.170235,-5.0356255,-13.543808,-7.2517776,-16.382671,-11.721878,-22.922638,-22.395523,-24.96122,-31.123684
g003_weak_distractor,3,0,3,weak_distractor,structure_changing,stable_shift,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Weak note: some unrelated source mentions West, but does not update the graph.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery,17.33646,5.192852,11.846689,7.0948677,18.884657,10.376474,18.68782,9.556927,23.38366,12.182899,15.0418625,12.476166,36.462303
g003_competition_balanced,3,0,3,competition_balanced,structure_changing,competition,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Competing fact: Ava is also associated with West.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery,14.173763,2.0301552,8.561533,3.8097115,12.872238,4.3640556,13.279293,4.1483994,20.779938,9.579178,12.669769,10.104073,27.588064
g003_direct_conflict,3,0,3,direct_conflict,structure_changing,competition,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Direct conflicting fact: Ava has label West.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery,12.130875,-0.0127334595,7.6903133,2.9384918,12.750542,4.242359,12.473631,3.3427372,14.979301,3.7785416,5.2694397,2.703743,19.71862
g003_closure_update,3,0,3,closure_update,structure_changing,closure,East,West,Copper,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Old record: Bela has label East.
Updated record: Bela has label West, not East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",discovery,11.163668,-0.9799404,0.8293152,-3.9225063,4.724737,-3.7834454,4.782772,-4.3481216,13.049652,1.8488922,4.132599,1.5669022,9.412945
g003_closure_override,3,0,3,closure_override,structure_changing,closure,East,West,Copper,"You are given a rule system.
General rule: items that is grouped under Bela receive label East.
Override rule: in this case, items that is grouped under Bela receive label West.
Fact: Ava is grouped under Bela.
Question: Which label applies to Ava: East or West?
Answer with exactly one word:",discovery,-1.1376429,-13.281251,-10.710585,-15.462406,-14.867998,-23.37618,-14.198341,-23.329235,-16.056465,-27.257225,-26.686218,-29.251915,-43.173084
g003_exception_override,3,0,3,exception_override,structure_changing,closure,East,West,Copper,"You are given a rule system.
General rule: items connected to Bela use label East.
Exception: Ava is a special case and uses label West.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: East or West?
Answer with exactly one word:",discovery,3.3461895,-8.797419,-9.767193,-14.519014,-11.180641,-19.688824,-11.58976,-20.720654,-14.253418,-25.454178,-25.12844,-27.694138,-37.64628
g004_clean,4,1,0,clean,clean,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery,6.229304,0.0,2.7944727,0.0,2.735712,0.0,-4.696844,0.0,9.819229,0.0,-24.848417,0.0,12.397655
g004_rename,4,1,0,rename,relation_preserving,stable,Copper,Silver,Gold,"Consider a tiny mapping network.
Link one: Darin belongs to Elo.
Link two: Elo is located at Copper.
Choose the label reached from Darin: Copper or Silver.
One word answer:",discovery,10.849349,4.620045,13.450944,10.656471,11.359777,8.624065,7.2956495,11.992494,22.830725,13.011496,-19.277199,5.5712185,34.641365
g004_permuted,4,1,0,permuted,relation_preserving,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 2: Elo is located at Copper.
Fact 1: Darin belongs to Elo.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery,4.486245,-1.7430587,-2.4682255,-5.262698,-0.49210167,-3.2278137,-7.3408966,-2.6440525,7.8109207,-2.0083084,-29.383593,-4.5351753,4.578089
g004_redundant,4,1,0,redundant,relation_preserving,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Repeated confirmation: Darin still goes through Elo.
Repeated confirmation: Elo still points to Copper.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery,2.0611415,-4.1681623,-2.7802296,-5.5747023,-6.394541,-9.130253,-12.722531,-8.025687,1.0377121,-8.781517,-31.84486,-6.996443,-5.2837725
g004_irrelevant,4,1,0,irrelevant,relation_preserving,stable,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Irrelevant fact: Faye is associated with Gold.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery,10.582172,4.3528686,10.0443945,7.249922,16.431149,13.6954365,7.9843025,12.681147,24.319798,14.500568,-15.406906,9.441511,38.528877
g004_paraphrase,4,1,0,paraphrase,relation_preserving,stable,Copper,Silver,Gold,"In this example, Darin reaches Elo.
The destination connected to Elo is Copper.
Based on those two links, select the label for Darin: Copper or Silver.
Answer:",discovery,-2.9539242,-9.183228,-8.998842,-11.793315,-12.077578,-14.81329,-18.18542,-13.488575,-8.228071,-18.0473,-44.927895,-20.079477,-24.334545
g004_weak_distractor,4,1,0,weak_distractor,structure_changing,stable_shift,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Weak note: some unrelated source mentions Silver, but does not update the graph.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery,12.880891,6.651587,12.982669,10.188196,21.284292,18.54858,11.535699,16.232544,32.821785,23.002556,-7.030796,17.817621,52.01776
g004_competition_balanced,4,1,0,competition_balanced,structure_changing,competition,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Competing fact: Darin is also associated with Silver.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery,11.274015,5.0447116,6.546977,3.7525043,11.40493,8.669218,1.9629049,6.659749,26.858269,17.03904,-11.595911,13.252506,36.400875
g004_direct_conflict,4,1,0,direct_conflict,structure_changing,competition,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Fact 2: Elo is located at Copper.
Direct conflicting fact: Darin is located at Silver.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery,9.383459,3.1541553,8.909468,6.114995,8.062807,5.327095,-1.2695684,3.4272757,19.219307,9.400078,-19.05383,5.794588,26.414131
g004_closure_update,4,1,0,closure_update,structure_changing,closure,Copper,Silver,Gold,"You are given a small relation graph.
Fact 1: Darin belongs to Elo.
Old record: Elo is located at Copper.
Updated record: Elo is located at Silver, not Copper.
Question: Which label is associated with Darin: Copper or Silver?
Answer with exactly one word:",discovery,3.834855,-2.3944488,-10.663114,-13.457586,-4.202221,-6.937933,-11.706442,-7.009598,11.63932,1.8200912,-26.702866,-1.8544483,1.8578873
g004_closure_override,4,1,0,closure_override,structure_changing,closure,Copper,Silver,Gold,"You are given a rule system.
General rule: items that belongs to Elo receive label Copper.
Override rule: in this case, items that belongs to Elo receive label Silver.
Fact: Darin belongs to Elo.
Question: Which label applies to Darin: Copper or Silver?
Answer with exactly one word:",discovery,-14.478613,-20.707916,-28.411434,-31.205906,-40.004612,-42.740326,-45.476006,-40.77916,-46.60933,-56.42856,-72.726036,-47.877617,-89.198586
g004_exception_override,4,1,0,exception_override,structure_changing,closure,Copper,Silver,Gold,"You are given a rule system.
General rule: items connected to Elo use label Copper.
Exception: Darin is a special case and uses label Silver.
Fact: Darin is connected to Elo.
Question: Which label applies to Darin: Copper or Silver?
Answer with exactly one word:",discovery,-12.288024,-18.517328,-27.062449,-29.856922,-32.136917,-34.872627,-37.57145,-32.874603,-36.84599,-46.66522,-66.496,-41.647583,-73.80009
g005_clean,5,1,1,clean,clean,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery,29.523594,0.0,41.622845,0.0,49.2225,0.0,61.10275,0.0,75.15508,0.0,104.63461,0.0,12.397655
g005_rename,5,1,1,rename,relation_preserving,stable,Gold,Iron,Red,"Consider a tiny mapping network.
Link one: Darin is assigned to Elo.
Link two: Elo maps to Gold.
Choose the label reached from Darin: Gold or Iron.
One word answer:",discovery,28.345387,-1.1782074,44.601845,2.979,48.291664,-0.9308357,56.36553,-4.737221,76.38168,1.2266006,106.838196,2.2035828,12.678014
g005_permuted,5,1,1,permuted,relation_preserving,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 2: Elo maps to Gold.
Fact 1: Darin is assigned to Elo.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery,30.693386,1.1697922,48.885433,7.2625885,51.7685,2.5460014,64.76546,3.6627083,78.16203,3.0069504,109.125916,4.4913025,21.364395
g005_redundant,5,1,1,redundant,relation_preserving,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Repeated confirmation: Darin still goes through Elo.
Repeated confirmation: Elo still points to Gold.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery,26.778175,-2.7454185,33.847824,-7.7750206,42.385353,-6.8371468,53.863922,-7.2388268,67.85864,-7.29644,98.4366,-6.1980133,-3.293664
g005_irrelevant,5,1,1,irrelevant,relation_preserving,stable,Gold,Iron,Red,"You are given a small relation graph.
Fact 1: Darin is assigned to Elo.
Fact 2: Elo maps to Gold.
Irrelevant fact: Faye is associated with Red.
Question: Which label is associated with Darin: Gold or Iron?
Answer with exactly one word:",discovery,28.758907,-0.7646866,43.949806,2.3269615,53.67085,4.448349,64.44936,3.3466148,77.54349,2.3884048,105.70001,1.0653992,17.882698
g005_paraphrase,5,1,1,paraphrase,relation_preserving,stable,Gold,Iron,Red,"In this example, Darin reaches Elo.
The destination connected to Elo is Gold.
Based on those two links, select the label for Darin: Gold or Iron.
Answer:",discovery,24.594425,-4.9291687,22.770027,-18.852818,26.315792,-22.906708,39.82189,-21.280857,54.668686,-20.486397,90.59526,-14.039352,-30.221825
