"prompt_id","group_id","graph_id","condition","mechanism","mechanism_y","phase_y"
"opa1a_cm_g002_irrelevant","2","2","irrelevant","stable","0","0"
"opa1a_cm_g002_weak_distractor","2","2","weak_distractor","stable_shift","0","0"
"opa1a_cm_g002_competition_balanced","2","2","competition_balanced","competition","1","1"
"opa1a_cm_g002_direct_conflict","2","2","direct_conflict","competition","1","1"
"opa1a_cm_g002_closure_update","2","2","closure_update","closure","2","2"
"opa1a_cm_g002_closure_override","2","2","closure_override","closure","2","2"
"opa1a_cm_g002_exception_override","2","2","exception_override","closure","2","2"
"opa1a_cm_g002_source_claim","2","2","source_claim","source_ambiguity","1","1"
"opa1a_cm_g002_equal_evidence","2","2","equal_evidence","competition","1","1"
"opa1a_cm_g003_clean","3","3","clean","stable","0","0"
"opa1a_cm_g003_rename","3","3","rename","stable","0","0"
"opa1a_cm_g003_paraphrase","3","3","paraphrase","stable","0","0"
"opa1a_cm_g003_irrelevant","3","3","irrelevant","stable","0","0"
"opa1a_cm_g003_weak_distractor","3","3","weak_distractor","stable_shift","0","0"
"opa1a_cm_g003_competition_balanced","3","3","competition_balanced","competition","1","1"
"opa1a_cm_g003_direct_conflict","3","3","direct_conflict","competition","1","1"
"opa1a_cm_g003_closure_update","3","3","closure_update","closure","2","2"
"opa1a_cm_g003_closure_override","3","3","closure_override","closure","2","2"
"opa1a_cm_g003_exception_override","3","3","exception_override","closure","2","2"
"opa1a_cm_g003_source_claim","3","3","source_claim","source_ambiguity","1","1"
"opa1a_cm_g003_equal_evidence","3","3","equal_evidence","competition","1","1"
"opa1a_cm_g004_clean","4","4","clean","stable","0","0"
"opa1a_cm_g004_rename","4","4","rename","stable","0","0"
"opa1a_cm_g004_paraphrase","4","4","paraphrase","stable","0","0"
"opa1a_cm_g004_irrelevant","4","4","irrelevant","stable","0","0"
"opa1a_cm_g004_weak_distractor","4","4","weak_distractor","stable_shift","0","0"
"opa1a_cm_g004_competition_balanced","4","4","competition_balanced","competition","1","1"
"opa1a_cm_g004_direct_conflict","4","4","direct_conflict","competition","1","1"
"opa1a_cm_g004_closure_update","4","4","closure_update","closure","2","2"
"opa1a_cm_g004_closure_override","4","4","closure_override","closure","2","2"
"opa1a_cm_g004_exception_override","4","4","exception_override","closure","2","2"
"opa1a_cm_g004_source_claim","4","4","source_claim","source_ambiguity","1","1"
"opa1a_cm_g004_equal_evidence","4","4","equal_evidence","competition","1","1"
"opa1a_cm_g005_clean","5","5","clean","stable","0","0"
"opa1a_cm_g005_rename","5","5","rename","stable","0","0"
"opa1a_cm_g005_paraphrase","5","5","paraphrase","stable","0","0"
"opa1a_cm_g005_irrelevant","5","5","irrelevant","stable","0","0"
"opa1a_cm_g005_weak_distractor","5","5","weak_distractor","stable_shift","0","0"
"opa1a_cm_g005_competition_balanced","5","5","competition_balanced","competition","1","1"
"opa1a_cm_g005_direct_conflict","5","5","direct_conflict","competition","1","1"
"opa1a_cm_g005_closure_update","5","5","closure_update","closure","2","2"
"opa1a_cm_g005_closure_override","5","5","closure_override","closure","2","2"
"opa1a_cm_g005_exception_override","5","5","exception_override","closure","2","2"
"opa1a_cm_g005_source_claim","5","5","source_claim","source_ambiguity","1","1"
"opa1a_cm_g005_equal_evidence","5","5","equal_evidence","competition","1","1"
"opa1a_cm_g006_clean","6","6","clean","stable","0","0"
"opa1a_cm_g006_rename","6","6","rename","stable","0","0"
"opa1a_cm_g006_paraphrase","6","6","paraphrase","stable","0","0"
"opa1a_cm_g006_irrelevant","6","6","irrelevant","stable","0","0"
"opa1a_cm_g006_weak_distractor","6","6","weak_distractor","stable_shift","0","0"
"opa1a_cm_g006_competition_balanced","6","6","competition_balanced","competition","1","1"
"opa1a_cm_g006_direct_conflict","6","6","direct_conflict","competition","1","1"
"opa1a_cm_g006_closure_update","6","6","closure_update","closure","2","2"
"opa1a_cm_g006_closure_override","6","6","closure_override","closure","2","2"
"opa1a_cm_g006_exception_override","6","6","exception_override","closure","2","2"
"opa1a_cm_g006_source_claim","6","6","source_claim","source_ambiguity","1","1"
"opa1a_cm_g006_equal_evidence","6","6","equal_evidence","competition","1","1"
"opa1a_cm_g007_clean","7","7","clean","stable","0","0"
"opa1a_cm_g007_rename","7","7","rename","stable","0","0"
"opa1a_cm_g007_paraphrase","7","7","paraphrase","stable","0","0"
"opa1a_cm_g007_irrelevant","7","7","irrelevant","stable","0","0"
"opa1a_cm_g007_weak_distractor","7","7","weak_distractor","stable_shift","0","0"
"opa1a_cm_g007_competition_balanced","7","7","competition_balanced","competition","1","1"
"opa1a_cm_g007_direct_conflict","7","7","direct_conflict","competition","1","1"
"opa1a_cm_g007_closure_update","7","7","closure_update","closure","2","2"
"opa1a_cm_g007_closure_override","7","7","closure_override","closure","2","2"
"opa1a_cm_g007_exception_override","7","7","exception_override","closure","2","2"
"opa1a_cm_g007_source_claim","7","7","source_claim","source_ambiguity","1","1"
"opa1a_cm_g007_equal_evidence","7","7","equal_evidence","competition","1","1"
"opa1a_cm_g008_clean","8","8","clean","stable","0","0"
"opa1a_cm_g008_rename","8","8","rename","stable","0","0"
"opa1a_cm_g008_paraphrase","8","8","paraphrase","stable","0","0"
"opa1a_cm_g008_irrelevant","8","8","irrelevant","stable","0","0"
"opa1a_cm_g008_weak_distractor","8","8","weak_distractor","stable_shift","0","0"
"opa1a_cm_g008_competition_balanced","8","8","competition_balanced","competition","1","1"
"opa1a_cm_g008_direct_conflict","8","8","direct_conflict","competition","1","1"
"opa1a_cm_g008_closure_update","8","8","closure_update","closure","2","2"
"opa1a_cm_g008_closure_override","8","8","closure_override","closure","2","2"
"opa1a_cm_g008_exception_override","8","8","exception_override","closure","2","2"
"opa1a_cm_g008_source_claim","8","8","source_claim","source_ambiguity","1","1"
"opa1a_cm_g008_equal_evidence","8","8","equal_evidence","competition","1","1"
"opa1a_cm_g009_clean","9","9","clean","stable","0","0"
"opa1a_cm_g009_rename","9","9","rename","stable","0","0"
"opa1a_cm_g009_paraphrase","9","9","paraphrase","stable","0","0"
"opa1a_cm_g009_irrelevant","9","9","irrelevant","stable","0","0"
"opa1a_cm_g009_weak_distractor","9","9","weak_distractor","stable_shift","0","0"
"opa1a_cm_g009_competition_balanced","9","9","competition_balanced","competition","1","1"
"opa1a_cm_g009_direct_conflict","9","9","direct_conflict","competition","1","1"
"opa1a_cm_g009_closure_update","9","9","closure_update","closure","2","2"
"opa1a_cm_g009_closure_override","9","9","closure_override","closure","2","2"
"opa1a_cm_g009_exception_override","9","9","exception_override","closure","2","2"
"opa1a_cm_g009_source_claim","9","9","source_claim","source_ambiguity","1","1"
"opa1a_cm_g009_equal_evidence","9","9","equal_evidence","competition","1","1"
"opa1a_cm_g010_clean","10","10","clean","stable","0","0"
"opa1a_cm_g010_rename","10","10","rename","stable","0","0"
"opa1a_cm_g010_paraphrase","10","10","paraphrase","stable","0","0"
"opa1a_cm_g010_irrelevant","10","10","irrelevant","stable","0","0"
"opa1a_cm_g010_weak_distractor","10","10","weak_distractor","stable_shift","0","0"
"opa1a_cm_g010_competition_balanced","10","10","competition_balanced","competition","1","1"
"opa1a_cm_g010_direct_conflict","10","10","direct_conflict","competition","1","1"
"opa1a_cm_g010_closure_update","10","10","closure_update","closure","2","2"
"opa1a_cm_g010_closure_override","10","10","closure_override","closure","2","2"
"opa1a_cm_g010_exception_override","10","10","exception_override","closure","2","2"
"opa1a_cm_g010_source_claim","10","10","source_claim","source_ambiguity","1","1"
"opa1a_cm_g010_equal_evidence","10","10","equal_evidence","competition","1","1"
"opa1a_cm_g011_clean","11","11","clean","stable","0","0"
"opa1a_cm_g011_rename","11","11","rename","stable","0","0"
"opa1a_cm_g011_paraphrase","11","11","paraphrase","stable","0","0"
"opa1a_cm_g011_irrelevant","11","11","irrelevant","stable","0","0"
"opa1a_cm_g011_weak_distractor","11","11","weak_distractor","stable_shift","0","0"
"opa1a_cm_g011_competition_balanced","11","11","competition_balanced","competition","1","1"
"opa1a_cm_g011_direct_conflict","11","11","direct_conflict","competition","1","1"
"opa1a_cm_g011_closure_update","11","11","closure_update","closure","2","2"
"opa1a_cm_g011_closure_override","11","11","closure_override","closure","2","2"
"opa1a_cm_g011_exception_override","11","11","exception_override","closure","2","2"
"opa1a_cm_g011_source_claim","11","11","source_claim","source_ambiguity","1","1"
"opa1a_cm_g011_equal_evidence","11","11","equal_evidence","competition","1","1"
"opa1a_cm_g012_clean","12","12","clean","stable","0","0"
"opa1a_cm_g012_rename","12","12","rename","stable","0","0"
"opa1a_cm_g012_paraphrase","12","12","paraphrase","stable","0","0"
"opa1a_cm_g012_irrelevant","12","12","irrelevant","stable","0","0"
"opa1a_cm_g012_weak_distractor","12","12","weak_distractor","stable_shift","0","0"
"opa1a_cm_g012_competition_balanced","12","12","competition_balanced","competition","1","1"
"opa1a_cm_g012_direct_conflict","12","12","direct_conflict","competition","1","1"
"opa1a_cm_g012_closure_update","12","12","closure_update","closure","2","2"
"opa1a_cm_g012_closure_override","12","12","closure_override","closure","2","2"
"opa1a_cm_g012_exception_override","12","12","exception_override","closure","2","2"
"opa1a_cm_g012_source_claim","12","12","source_claim","source_ambiguity","1","1"
"opa1a_cm_g012_equal_evidence","12","12","equal_evidence","competition","1","1"
"opa1a_cm_g013_clean","13","13","clean","stable","0","0"
"opa1a_cm_g013_rename","13","13","rename","stable","0","0"
"opa1a_cm_g013_paraphrase","13","13","paraphrase","stable","0","0"
"opa1a_cm_g013_irrelevant","13","13","irrelevant","stable","0","0"
"opa1a_cm_g013_weak_distractor","13","13","weak_distractor","stable_shift","0","0"
"opa1a_cm_g013_competition_balanced","13","13","competition_balanced","competition","1","1"
"opa1a_cm_g013_direct_conflict","13","13","direct_conflict","competition","1","1"
"opa1a_cm_g013_closure_update","13","13","closure_update","closure","2","2"
"opa1a_cm_g013_closure_override","13","13","closure_override","closure","2","2"
"opa1a_cm_g013_exception_override","13","13","exception_override","closure","2","2"
"opa1a_cm_g013_source_claim","13","13","source_claim","source_ambiguity","1","1"
"opa1a_cm_g013_equal_evidence","13","13","equal_evidence","competition","1","1"
"opa1a_cm_g014_clean","14","14","clean","stable","0","0"
"opa1a_cm_g014_rename","14","14","rename","stable","0","0"
"opa1a_cm_g014_paraphrase","14","14","paraphrase","stable","0","0"
"opa1a_cm_g014_irrelevant","14","14","irrelevant","stable","0","0"
"opa1a_cm_g014_weak_distractor","14","14","weak_distractor","stable_shift","0","0"
"opa1a_cm_g014_competition_balanced","14","14","competition_balanced","competition","1","1"
"opa1a_cm_g014_direct_conflict","14","14","direct_conflict","competition","1","1"
"opa1a_cm_g014_closure_update","14","14","closure_update","closure","2","2"
"opa1a_cm_g014_closure_override","14","14","closure_override","closure","2","2"
"opa1a_cm_g014_exception_override","14","14","exception_override","closure","2","2"
"opa1a_cm_g014_source_claim","14","14","source_claim","source_ambiguity","1","1"
"opa1a_cm_g014_equal_evidence","14","14","equal_evidence","competition","1","1"
"opa1a_cm_g015_clean","15","15","clean","stable","0","0"
"opa1a_cm_g015_rename","15","15","rename","stable","0","0"
"opa1a_cm_g015_paraphrase","15","15","paraphrase","stable","0","0"
"opa1a_cm_g015_irrelevant","15","15","irrelevant","stable","0","0"
"opa1a_cm_g015_weak_distractor","15","15","weak_distractor","stable_shift","0","0"
"opa1a_cm_g015_competition_balanced","15","15","competition_balanced","competition","1","1"
"opa1a_cm_g015_direct_conflict","15","15","direct_conflict","competition","1","1"
"opa1a_cm_g015_closure_update","15","15","closure_update","closure","2","2"
"opa1a_cm_g015_closure_override","15","15","closure_override","closure","2","2"
"opa1a_cm_g015_exception_override","15","15","exception_override","closure","2","2"
"opa1a_cm_g015_source_claim","15","15","source_claim","source_ambiguity","1","1"
"opa1a_cm_g015_equal_evidence","15","15","equal_evidence","competition","1","1"
"opa1a_cm_g016_clean","16","16","clean","stable","0","0"
"opa1a_cm_g016_rename","16","16","rename","stable","0","0"
"opa1a_cm_g016_paraphrase","16","16","paraphrase","stable","0","0"
"opa1a_cm_g016_irrelevant","16","16","irrelevant","stable","0","0"
"opa1a_cm_g016_weak_distractor","16","16","weak_distractor","stable_shift","0","0"
"opa1a_cm_g016_competition_balanced","16","16","competition_balanced","competition","1","1"
