prompt_id,graph_id,condition,clean_candidate,conflict_candidate,prompt_file,text
ng03_irrelevant,3,irrelevant,Ruby,Jade,inputs\prompts\ng03_irrelevant.txt,"You are given a small relation graph.
Fact 1: Jessa is linked onward to Korin.
Fact 2: Korin is registered under Ruby.
Irrelevant fact: Luma is associated with Coral.
Question: Which label is associated with Jessa: Ruby or Jade?
Answer with exactly one word:"
ng03_weak_distractor,3,weak_distractor,Ruby,Jade,inputs\prompts\ng03_weak_distractor.txt,"You are given a small relation graph.
Fact 1: Jessa is linked onward to Korin.
Fact 2: Korin is registered under Ruby.
Weak note: an unrelated source mentions Jade, but does not update the graph.
Question: Which label is associated with Jessa: Ruby or Jade?
Answer with exactly one word:"
ng03_competition_balanced,3,competition_balanced,Ruby,Jade,inputs\prompts\ng03_competition_balanced.txt,"You are given a small relation graph.
Fact 1: Jessa is linked onward to Korin.
Fact 2: Korin is registered under Ruby.
Competing fact: Jessa is also associated with Jade.
Question: Which label is associated with Jessa: Ruby or Jade?
Answer with exactly one word:"
ng03_direct_conflict,3,direct_conflict,Ruby,Jade,inputs\prompts\ng03_direct_conflict.txt,"You are given a small relation graph.
Fact 1: Jessa is linked onward to Korin.
Fact 2: Korin is registered under Ruby.
Direct conflicting fact: Jessa is registered under Jade.
Question: Which label is associated with Jessa: Ruby or Jade?
Answer with exactly one word:"
ng03_closure_update,3,closure_update,Ruby,Jade,inputs\prompts\ng03_closure_update.txt,"You are given a small relation graph.
Fact 1: Jessa is linked onward to Korin.
Old record: Korin is registered under Ruby.
Updated record: Korin is registered under Jade, not Ruby.
Question: Which label is associated with Jessa: Ruby or Jade?
Answer with exactly one word:"
ng03_closure_override,3,closure_override,Ruby,Jade,inputs\prompts\ng03_closure_override.txt,"You are given a rule system.
General rule: items that is linked onward to Korin receive label Ruby.
Override rule: in this case, items that is linked onward to Korin receive label Jade.
Fact: Jessa is linked onward to Korin.
Question: Which label is associated with Jessa: Ruby or Jade?
Answer with exactly one word:"
ng03_exception_override,3,exception_override,Ruby,Jade,inputs\prompts\ng03_exception_override.txt,"You are given a rule system.
General rule: items connected to Korin use label Ruby.
Exception: Jessa is a special case and uses label Jade.
Fact: Jessa is connected to Korin.
Question: Which label is associated with Jessa: Ruby or Jade?
Answer with exactly one word:"
ng04_clean,4,clean,Coral,Lilac,inputs\prompts\ng04_clean.txt,"You are given a small relation graph.
Fact 1: Marek passes by Neris.
Fact 2: Neris is filed at Coral.
Question: Which label is associated with Marek: Coral or Lilac?
Answer with exactly one word:"
ng04_permuted,4,permuted,Coral,Lilac,inputs\prompts\ng04_permuted.txt,"You are given a small relation graph.
Fact 2: Neris is filed at Coral.
Fact 1: Marek passes by Neris.
Question: Which label is associated with Marek: Coral or Lilac?
Answer with exactly one word:"
ng04_redundant,4,redundant,Coral,Lilac,inputs\prompts\ng04_redundant.txt,"You are given a small relation graph.
Fact 1: Marek passes by Neris.
Fact 2: Neris is filed at Coral.
Repeated confirmation: Marek still goes through Neris.
Repeated confirmation: Neris still points to Coral.
Question: Which label is associated with Marek: Coral or Lilac?
Answer with exactly one word:"
ng04_irrelevant,4,irrelevant,Coral,Lilac,inputs\prompts\ng04_irrelevant.txt,"You are given a small relation graph.
Fact 1: Marek passes by Neris.
Fact 2: Neris is filed at Coral.
Irrelevant fact: Olan is associated with Mint.
Question: Which label is associated with Marek: Coral or Lilac?
Answer with exactly one word:"
ng04_weak_distractor,4,weak_distractor,Coral,Lilac,inputs\prompts\ng04_weak_distractor.txt,"You are given a small relation graph.
Fact 1: Marek passes by Neris.
Fact 2: Neris is filed at Coral.
Weak note: an unrelated source mentions Lilac, but does not update the graph.
Question: Which label is associated with Marek: Coral or Lilac?
Answer with exactly one word:"
ng04_competition_balanced,4,competition_balanced,Coral,Lilac,inputs\prompts\ng04_competition_balanced.txt,"You are given a small relation graph.
Fact 1: Marek passes by Neris.
Fact 2: Neris is filed at Coral.
Competing fact: Marek is also associated with Lilac.
Question: Which label is associated with Marek: Coral or Lilac?
Answer with exactly one word:"
ng04_direct_conflict,4,direct_conflict,Coral,Lilac,inputs\prompts\ng04_direct_conflict.txt,"You are given a small relation graph.
Fact 1: Marek passes by Neris.
Fact 2: Neris is filed at Coral.
Direct conflicting fact: Marek is filed at Lilac.
Question: Which label is associated with Marek: Coral or Lilac?
Answer with exactly one word:"
ng04_closure_update,4,closure_update,Coral,Lilac,inputs\prompts\ng04_closure_update.txt,"You are given a small relation graph.
Fact 1: Marek passes by Neris.
Old record: Neris is filed at Coral.
Updated record: Neris is filed at Lilac, not Coral.
Question: Which label is associated with Marek: Coral or Lilac?
Answer with exactly one word:"
ng04_closure_override,4,closure_override,Coral,Lilac,inputs\prompts\ng04_closure_override.txt,"You are given a rule system.
General rule: items that passes by Neris receive label Coral.
Override rule: in this case, items that passes by Neris receive label Lilac.
Fact: Marek passes by Neris.
Question: Which label is associated with Marek: Coral or Lilac?
Answer with exactly one word:"
ng04_exception_override,4,exception_override,Coral,Lilac,inputs\prompts\ng04_exception_override.txt,"You are given a rule system.
General rule: items connected to Neris use label Coral.
Exception: Marek is a special case and uses label Lilac.
Fact: Marek is connected to Neris.
Question: Which label is associated with Marek: Coral or Lilac?
Answer with exactly one word:"
ng05_clean,5,clean,Mint,Plum,inputs\prompts\ng05_clean.txt,"You are given a small relation graph.
Fact 1: Pella is traced to Quade.
Fact 2: Quade is assigned marker Mint.
Question: Which label is associated with Pella: Mint or Plum?
Answer with exactly one word:"
ng05_permuted,5,permuted,Mint,Plum,inputs\prompts\ng05_permuted.txt,"You are given a small relation graph.
Fact 2: Quade is assigned marker Mint.
Fact 1: Pella is traced to Quade.
Question: Which label is associated with Pella: Mint or Plum?
Answer with exactly one word:"
ng05_redundant,5,redundant,Mint,Plum,inputs\prompts\ng05_redundant.txt,"You are given a small relation graph.
Fact 1: Pella is traced to Quade.
Fact 2: Quade is assigned marker Mint.
Repeated confirmation: Pella still goes through Quade.
Repeated confirmation: Quade still points to Mint.
Question: Which label is associated with Pella: Mint or Plum?
Answer with exactly one word:"
ng05_irrelevant,5,irrelevant,Mint,Plum,inputs\prompts\ng05_irrelevant.txt,"You are given a small relation graph.
Fact 1: Pella is traced to Quade.
Fact 2: Quade is assigned marker Mint.
Irrelevant fact: Rumi is associated with Cyan.
Question: Which label is associated with Pella: Mint or Plum?
Answer with exactly one word:"
ng05_weak_distractor,5,weak_distractor,Mint,Plum,inputs\prompts\ng05_weak_distractor.txt,"You are given a small relation graph.
Fact 1: Pella is traced to Quade.
Fact 2: Quade is assigned marker Mint.
Weak note: an unrelated source mentions Plum, but does not update the graph.
Question: Which label is associated with Pella: Mint or Plum?
Answer with exactly one word:"
ng05_competition_balanced,5,competition_balanced,Mint,Plum,inputs\prompts\ng05_competition_balanced.txt,"You are given a small relation graph.
Fact 1: Pella is traced to Quade.
Fact 2: Quade is assigned marker Mint.
Competing fact: Pella is also associated with Plum.
Question: Which label is associated with Pella: Mint or Plum?
Answer with exactly one word:"
ng05_direct_conflict,5,direct_conflict,Mint,Plum,inputs\prompts\ng05_direct_conflict.txt,"You are given a small relation graph.
Fact 1: Pella is traced to Quade.
Fact 2: Quade is assigned marker Mint.
Direct conflicting fact: Pella is assigned marker Plum.
Question: Which label is associated with Pella: Mint or Plum?
Answer with exactly one word:"
ng05_closure_update,5,closure_update,Mint,Plum,inputs\prompts\ng05_closure_update.txt,"You are given a small relation graph.
Fact 1: Pella is traced to Quade.
Old record: Quade is assigned marker Mint.
Updated record: Quade is assigned marker Plum, not Mint.
Question: Which label is associated with Pella: Mint or Plum?
Answer with exactly one word:"
ng05_closure_override,5,closure_override,Mint,Plum,inputs\prompts\ng05_closure_override.txt,"You are given a rule system.
General rule: items that is traced to Quade receive label Mint.
Override rule: in this case, items that is traced to Quade receive label Plum.
Fact: Pella is traced to Quade.
Question: Which label is associated with Pella: Mint or Plum?
Answer with exactly one word:"
ng05_exception_override,5,exception_override,Mint,Plum,inputs\prompts\ng05_exception_override.txt,"You are given a rule system.
General rule: items connected to Quade use label Mint.
Exception: Pella is a special case and uses label Plum.
Fact: Pella is connected to Quade.
Question: Which label is associated with Pella: Mint or Plum?
Answer with exactly one word:"
ng06_clean,6,clean,Cyan,Magenta,inputs\prompts\ng06_clean.txt,"You are given a small relation graph.
Fact 1: Soren routes through Tavi.
Fact 2: Tavi terminates at Cyan.
Question: Which label is associated with Soren: Cyan or Magenta?
Answer with exactly one word:"
ng06_permuted,6,permuted,Cyan,Magenta,inputs\prompts\ng06_permuted.txt,"You are given a small relation graph.
Fact 2: Tavi terminates at Cyan.
Fact 1: Soren routes through Tavi.
Question: Which label is associated with Soren: Cyan or Magenta?
Answer with exactly one word:"
ng06_redundant,6,redundant,Cyan,Magenta,inputs\prompts\ng06_redundant.txt,"You are given a small relation graph.
Fact 1: Soren routes through Tavi.
Fact 2: Tavi terminates at Cyan.
Repeated confirmation: Soren still goes through Tavi.
Repeated confirmation: Tavi still points to Cyan.
Question: Which label is associated with Soren: Cyan or Magenta?
Answer with exactly one word:"
ng06_irrelevant,6,irrelevant,Cyan,Magenta,inputs\prompts\ng06_irrelevant.txt,"You are given a small relation graph.
Fact 1: Soren routes through Tavi.
Fact 2: Tavi terminates at Cyan.
Irrelevant fact: Uria is associated with Violet.
Question: Which label is associated with Soren: Cyan or Magenta?
Answer with exactly one word:"
ng06_weak_distractor,6,weak_distractor,Cyan,Magenta,inputs\prompts\ng06_weak_distractor.txt,"You are given a small relation graph.
Fact 1: Soren routes through Tavi.
Fact 2: Tavi terminates at Cyan.
Weak note: an unrelated source mentions Magenta, but does not update the graph.
Question: Which label is associated with Soren: Cyan or Magenta?
Answer with exactly one word:"
ng06_competition_balanced,6,competition_balanced,Cyan,Magenta,inputs\prompts\ng06_competition_balanced.txt,"You are given a small relation graph.
Fact 1: Soren routes through Tavi.
Fact 2: Tavi terminates at Cyan.
Competing fact: Soren is also associated with Magenta.
Question: Which label is associated with Soren: Cyan or Magenta?
Answer with exactly one word:"
ng06_direct_conflict,6,direct_conflict,Cyan,Magenta,inputs\prompts\ng06_direct_conflict.txt,"You are given a small relation graph.
Fact 1: Soren routes through Tavi.
Fact 2: Tavi terminates at Cyan.
Direct conflicting fact: Soren terminates at Magenta.
Question: Which label is associated with Soren: Cyan or Magenta?
Answer with exactly one word:"
ng06_closure_update,6,closure_update,Cyan,Magenta,inputs\prompts\ng06_closure_update.txt,"You are given a small relation graph.
Fact 1: Soren routes through Tavi.
Old record: Tavi terminates at Cyan.
Updated record: Tavi terminates at Magenta, not Cyan.
Question: Which label is associated with Soren: Cyan or Magenta?
Answer with exactly one word:"
ng06_closure_override,6,closure_override,Cyan,Magenta,inputs\prompts\ng06_closure_override.txt,"You are given a rule system.
General rule: items that routes through Tavi receive label Cyan.
Override rule: in this case, items that routes through Tavi receive label Magenta.
Fact: Soren routes through Tavi.
Question: Which label is associated with Soren: Cyan or Magenta?
Answer with exactly one word:"
ng06_exception_override,6,exception_override,Cyan,Magenta,inputs\prompts\ng06_exception_override.txt,"You are given a rule system.
General rule: items connected to Tavi use label Cyan.
Exception: Soren is a special case and uses label Magenta.
Fact: Soren is connected to Tavi.
Question: Which label is associated with Soren: Cyan or Magenta?
Answer with exactly one word:"
ng07_clean,7,clean,Violet,Amber,inputs\prompts\ng07_clean.txt,"You are given a small relation graph.
Fact 1: Vaila is catalogued beside Wren.
Fact 2: Wren is indexed as Violet.
Question: Which label is associated with Vaila: Violet or Amber?
Answer with exactly one word:"
ng07_permuted,7,permuted,Violet,Amber,inputs\prompts\ng07_permuted.txt,"You are given a small relation graph.
Fact 2: Wren is indexed as Violet.
Fact 1: Vaila is catalogued beside Wren.
Question: Which label is associated with Vaila: Violet or Amber?
Answer with exactly one word:"
ng07_redundant,7,redundant,Violet,Amber,inputs\prompts\ng07_redundant.txt,"You are given a small relation graph.
Fact 1: Vaila is catalogued beside Wren.
Fact 2: Wren is indexed as Violet.
Repeated confirmation: Vaila still goes through Wren.
Repeated confirmation: Wren still points to Violet.
Question: Which label is associated with Vaila: Violet or Amber?
Answer with exactly one word:"
ng07_irrelevant,7,irrelevant,Violet,Amber,inputs\prompts\ng07_irrelevant.txt,"You are given a small relation graph.
Fact 1: Vaila is catalogued beside Wren.
Fact 2: Wren is indexed as Violet.
Irrelevant fact: Xeran is associated with Ivory.
Question: Which label is associated with Vaila: Violet or Amber?
Answer with exactly one word:"
ng07_weak_distractor,7,weak_distractor,Violet,Amber,inputs\prompts\ng07_weak_distractor.txt,"You are given a small relation graph.
Fact 1: Vaila is catalogued beside Wren.
Fact 2: Wren is indexed as Violet.
Weak note: an unrelated source mentions Amber, but does not update the graph.
Question: Which label is associated with Vaila: Violet or Amber?
Answer with exactly one word:"
ng07_competition_balanced,7,competition_balanced,Violet,Amber,inputs\prompts\ng07_competition_balanced.txt,"You are given a small relation graph.
Fact 1: Vaila is catalogued beside Wren.
Fact 2: Wren is indexed as Violet.
Competing fact: Vaila is also associated with Amber.
Question: Which label is associated with Vaila: Violet or Amber?
Answer with exactly one word:"
ng07_direct_conflict,7,direct_conflict,Violet,Amber,inputs\prompts\ng07_direct_conflict.txt,"You are given a small relation graph.
Fact 1: Vaila is catalogued beside Wren.
Fact 2: Wren is indexed as Violet.
Direct conflicting fact: Vaila is indexed as Amber.
Question: Which label is associated with Vaila: Violet or Amber?
Answer with exactly one word:"
ng07_closure_update,7,closure_update,Violet,Amber,inputs\prompts\ng07_closure_update.txt,"You are given a small relation graph.
Fact 1: Vaila is catalogued beside Wren.
Old record: Wren is indexed as Violet.
Updated record: Wren is indexed as Amber, not Violet.
Question: Which label is associated with Vaila: Violet or Amber?
Answer with exactly one word:"
ng07_closure_override,7,closure_override,Violet,Amber,inputs\prompts\ng07_closure_override.txt,"You are given a rule system.
General rule: items that is catalogued beside Wren receive label Violet.
Override rule: in this case, items that is catalogued beside Wren receive label Amber.
Fact: Vaila is catalogued beside Wren.
Question: Which label is associated with Vaila: Violet or Amber?
Answer with exactly one word:"
ng07_exception_override,7,exception_override,Violet,Amber,inputs\prompts\ng07_exception_override.txt,"You are given a rule system.
General rule: items connected to Wren use label Violet.
Exception: Vaila is a special case and uses label Amber.
Fact: Vaila is connected to Wren.
Question: Which label is associated with Vaila: Violet or Amber?
Answer with exactly one word:"
ng08_clean,8,clean,Ivory,Onyx,inputs\prompts\ng08_clean.txt,"You are given a small relation graph.
Fact 1: Ysol travels via Zarek.
Fact 2: Zarek is marked with Ivory.
Question: Which label is associated with Ysol: Ivory or Onyx?
Answer with exactly one word:"
ng08_permuted,8,permuted,Ivory,Onyx,inputs\prompts\ng08_permuted.txt,"You are given a small relation graph.
Fact 2: Zarek is marked with Ivory.
Fact 1: Ysol travels via Zarek.
Question: Which label is associated with Ysol: Ivory or Onyx?
Answer with exactly one word:"
ng08_redundant,8,redundant,Ivory,Onyx,inputs\prompts\ng08_redundant.txt,"You are given a small relation graph.
Fact 1: Ysol travels via Zarek.
Fact 2: Zarek is marked with Ivory.
Repeated confirmation: Ysol still goes through Zarek.
Repeated confirmation: Zarek still points to Ivory.
Question: Which label is associated with Ysol: Ivory or Onyx?
Answer with exactly one word:"
ng08_irrelevant,8,irrelevant,Ivory,Onyx,inputs\prompts\ng08_irrelevant.txt,"You are given a small relation graph.
Fact 1: Ysol travels via Zarek.
Fact 2: Zarek is marked with Ivory.
Irrelevant fact: Amani is associated with Ruby.
Question: Which label is associated with Ysol: Ivory or Onyx?
Answer with exactly one word:"
ng08_weak_distractor,8,weak_distractor,Ivory,Onyx,inputs\prompts\ng08_weak_distractor.txt,"You are given a small relation graph.
Fact 1: Ysol travels via Zarek.
Fact 2: Zarek is marked with Ivory.
Weak note: an unrelated source mentions Onyx, but does not update the graph.
Question: Which label is associated with Ysol: Ivory or Onyx?
Answer with exactly one word:"
ng08_competition_balanced,8,competition_balanced,Ivory,Onyx,inputs\prompts\ng08_competition_balanced.txt,"You are given a small relation graph.
Fact 1: Ysol travels via Zarek.
Fact 2: Zarek is marked with Ivory.
Competing fact: Ysol is also associated with Onyx.
Question: Which label is associated with Ysol: Ivory or Onyx?
Answer with exactly one word:"
ng08_direct_conflict,8,direct_conflict,Ivory,Onyx,inputs\prompts\ng08_direct_conflict.txt,"You are given a small relation graph.
Fact 1: Ysol travels via Zarek.
Fact 2: Zarek is marked with Ivory.
Direct conflicting fact: Ysol is marked with Onyx.
Question: Which label is associated with Ysol: Ivory or Onyx?
Answer with exactly one word:"
ng08_closure_update,8,closure_update,Ivory,Onyx,inputs\prompts\ng08_closure_update.txt,"You are given a small relation graph.
Fact 1: Ysol travels via Zarek.
Old record: Zarek is marked with Ivory.
Updated record: Zarek is marked with Onyx, not Ivory.
Question: Which label is associated with Ysol: Ivory or Onyx?
Answer with exactly one word:"
ng08_closure_override,8,closure_override,Ivory,Onyx,inputs\prompts\ng08_closure_override.txt,"You are given a rule system.
General rule: items that travels via Zarek receive label Ivory.
Override rule: in this case, items that travels via Zarek receive label Onyx.
Fact: Ysol travels via Zarek.
Question: Which label is associated with Ysol: Ivory or Onyx?
Answer with exactly one word:"
ng08_exception_override,8,exception_override,Ivory,Onyx,inputs\prompts\ng08_exception_override.txt,"You are given a rule system.
General rule: items connected to Zarek use label Ivory.
Exception: Ysol is a special case and uses label Onyx.
Fact: Ysol is connected to Zarek.
Question: Which label is associated with Ysol: Ivory or Onyx?
Answer with exactly one word:"
ng09_clean,9,clean,Ruby,Jade,inputs\prompts\ng09_clean.txt,"You are given a small relation graph.
Fact 1: Bram is linked onward to Celie.
Fact 2: Celie is registered under Ruby.
Question: Which label is associated with Bram: Ruby or Jade?
Answer with exactly one word:"
