"prompt_id","prompt_text_or_template","condition_label","condition_short","mechanism_label","group_id","graph_id","clean_answer","conflict_answer","aux_answer","mechanism_y","phase_y","model_coverage","inclusion_flag","exclusion_reason","preprocessing_rule","source_evidence"
"opa1a_cm_g000_source_claim","You are given two source claims.
Source Alpha says: Ava belongs to Bela, and Bela maps to Red.
Source Beta says: Ava maps to Blue.
Neither source is marked as more reliable.
Question: Which label should be chosen for Ava: Red or Blue?
Answer with exactly one word:","source_claim","source_claim","source_ambiguity","0","0","Red","Blue","Green","1","1","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g000_equal_evidence","You are given balanced evidence.
Evidence for Red: Ava belongs to Bela, and Bela maps to Red.
Evidence for Blue: Ava is directly listed with Blue.
The evidence strength is equal.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:","equal_evidence","equal_evidence","competition","0","0","Red","Blue","Green","1","1","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g001_clean","You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela has label Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:","clean","clean","stable","1","1","Green","Yellow","North","0","0","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g001_rename","Consider a tiny mapping network.
Link one: Ava is assigned to Bela.
Link two: Bela has label Green.
Choose the label reached from Ava: Green or Yellow.
One word answer:","rename","rename","stable","1","1","Green","Yellow","North","0","0","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g001_paraphrase","In this example, Ava reaches Bela.
The destination connected to Bela is Green.
Based on those two links, select the label for Ava: Green or Yellow.
Answer:","paraphrase","paraphrase","stable","1","1","Green","Yellow","North","0","0","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g001_irrelevant","You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela has label Green.
Irrelevant fact: Cora is associated with North.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:","irrelevant","irrelevant","stable","1","1","Green","Yellow","North","0","0","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g001_weak_distractor","You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela has label Green.
Weak note: an unrelated source mentions Yellow, but it does not update the graph.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:","weak_distractor","weak_distractor","stable_shift","1","1","Green","Yellow","North","0","0","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g001_competition_balanced","You are given a small relation graph with competing records.
Record A: Ava is assigned to Bela, and Bela has label Green.
Record B: another note says Ava has label Yellow.
Question: Which label is better supported for Ava: Green or Yellow?
Answer with exactly one word:","competition_balanced","competition_balanced","competition","1","1","Green","Yellow","North","1","1","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g001_direct_conflict","You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela has label Green.
Direct conflicting fact: Ava has label Yellow.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:","direct_conflict","direct_conflict","competition","1","1","Green","Yellow","North","1","1","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g001_closure_update","You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Old record: Bela has label Green.
Updated record: Bela has label Yellow, not Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:","closure_update","closure_update","closure","1","1","Green","Yellow","North","2","2","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g001_closure_override","You are given a rule system.
General rule: items that is assigned to Bela receive label Green.
Override rule: in this case, items that is assigned to Bela receive label Yellow.
Fact: Ava is assigned to Bela.
Question: Which label applies to Ava: Green or Yellow?
Answer with exactly one word:","closure_override","closure_override","closure","1","1","Green","Yellow","North","2","2","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g001_exception_override","You are given a rule system.
General rule: items connected to Bela use label Green.
Exception: Ava is a special case and uses label Yellow.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Green or Yellow?
Answer with exactly one word:","exception_override","exception_override","closure","1","1","Green","Yellow","North","2","2","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g001_source_claim","You are given two source claims.
Source Alpha says: Ava is assigned to Bela, and Bela has label Green.
Source Beta says: Ava has label Yellow.
Neither source is marked as more reliable.
Question: Which label should be chosen for Ava: Green or Yellow?
Answer with exactly one word:","source_claim","source_claim","source_ambiguity","1","1","Green","Yellow","North","1","1","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g001_equal_evidence","You are given balanced evidence.
Evidence for Green: Ava is assigned to Bela, and Bela has label Green.
Evidence for Yellow: Ava is directly listed with Yellow.
The evidence strength is equal.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:","equal_evidence","equal_evidence","competition","1","1","Green","Yellow","North","1","1","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g002_clean","You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela points to North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:","clean","clean","stable","2","2","North","South","East","0","0","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g002_rename","Consider a tiny mapping network.
Link one: Ava is grouped under Bela.
Link two: Bela points to North.
Choose the label reached from Ava: North or South.
One word answer:","rename","rename","stable","2","2","North","South","East","0","0","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g002_paraphrase","In this example, Ava reaches Bela.
The destination connected to Bela is North.
Based on those two links, select the label for Ava: North or South.
Answer:","paraphrase","paraphrase","stable","2","2","North","South","East","0","0","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g002_irrelevant","You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela points to North.
Irrelevant fact: Cora is associated with East.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:","irrelevant","irrelevant","stable","2","2","North","South","East","0","0","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
"opa1a_cm_g002_weak_distractor","You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela points to North.
Weak note: an unrelated source mentions South, but it does not update the graph.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:","weak_distractor","weak_distractor","stable_shift","2","2","North","South","East","0","0","Qwen;Llama;Gemma","include","","First 96 prompts from OPA-1A-lite cross-model prompt inventory; reused by OPA-1B PSG audit.","opa1b_prompt_inventory.csv"
