prompt_index,problem_id,category,clean_label,conflict_label,clean_token_id,conflict_token_id,candidate_margin,pair_correct,top1_token_id,top1_token,condition,E,B,N,W
50,61,sky object,Sun,Blue,4146,10063,-0.65966796875,False,24825, jets,0000,0,0,0,0
51,62,fruit,Apple,East,8217,5791,1.169921875,True,24825, jets,0000,0,0,0,0
52,63,colour,Blue,Circle,10063,29572,1.65625,True,15518,"
                  ",0000,0,0,0,0
0,0,colour,Red,North,4410,3729,1.1953125,True,994, ent,0001,0,0,0,1
1,1,direction,North,Silver,3729,16309,-0.0009765625,False,14669,asting,0001,0,0,0,1
2,3,shape,Circle,Ocean,29572,17323,0.05859375,True,1939,ormal,0001,0,0,0,1
3,4,landscape feature,River,Sun,7121,4146,-0.265625,False,49854,hler,0001,0,0,0,1
4,5,sky object,Sun,Orange,4146,21491,0.998046875,True,3206, involved,0001,0,0,0,1
5,6,fruit,Apple,Green,8217,6115,-0.361328125,False,2633,rix,0001,0,0,0,1
6,8,direction,South,Square,3684,15894,1.3466796875,True,14669,asting,0001,0,0,0,1
7,9,metal,Silver,Forest,16309,16015,0.302734375,True,7721,?”,0001,0,0,0,1
8,10,shape,Square,Star,15894,8141,-2.06640625,False,19362, winds,0001,0,0,0,1
9,11,landscape feature,Mountain,Apple,15939,8217,1.1826171875,True,13706,uclear,0001,0,0,0,1
10,12,sky object,Moon,Blue,16363,10063,0.48095703125,True,1869, thought,0001,0,0,0,1
11,13,fruit,Orange,East,21491,5791,-1.427734375,False,13706,uclear,0001,0,0,0,1
12,14,colour,Green,Circle,6115,29572,0.5107421875,True,994, ent,0001,0,0,0,1
13,15,direction,East,Mountain,5791,15939,0.91796875,True,3206, involved,0001,0,0,0,1
14,16,metal,Gold,Cloud,7284,18189,-0.20166015625,False,7721,?”,0001,0,0,0,1
15,18,landscape feature,Forest,Red,16015,4410,0.5068359375,True,1869, thought,0001,0,0,0,1
16,19,sky object,Cloud,South,18189,3684,0.740234375,True,593,ance,0001,0,0,0,1
17,20,fruit,Lemon,Gold,44513,7284,0.435546875,True,125,�,0001,0,0,0,1
18,21,colour,Yellow,River,25056,7121,0.5234375,True,994, ent,0001,0,0,0,1
19,22,direction,West,Moon,4255,16363,1.6787109375,True,14669,asting,0001,0,0,0,1
20,23,metal,Iron,Lemon,17826,44513,-0.6025390625,False,7721,?”,0001,0,0,0,1
21,24,shape,Star,Yellow,8141,25056,0.4326171875,True,19362, winds,0001,0,0,0,1
22,25,landscape feature,Ocean,North,17323,3729,1.125,True,49854,hler,0001,0,0,0,1
23,26,sky object,Star,Silver,8141,16309,-1.318359375,False,3206, involved,0001,0,0,0,1
24,28,colour,Red,Sun,4410,4146,-0.3046875,False,994, ent,0001,0,0,0,1
25,29,direction,North,Orange,3729,21491,0.81005859375,True,14669,asting,0001,0,0,0,1
26,31,shape,Circle,West,29572,4255,-0.87109375,False,1939,ormal,0001,0,0,0,1
27,33,sky object,Sun,Square,4146,15894,2.66015625,True,3206, involved,0001,0,0,0,1
28,34,fruit,Apple,Forest,8217,16015,-1.462890625,False,2633,rix,0001,0,0,0,1
29,35,colour,Blue,Apple,10063,8217,-1.6005859375,False,5101, sun,0001,0,0,0,1
30,36,direction,South,Blue,3684,10063,1.47265625,True,14669,asting,0001,0,0,0,1
31,37,metal,Silver,East,16309,5791,-0.08984375,False,7721,?”,0001,0,0,0,1
32,38,shape,Square,Iron,15894,17826,-1.3984375,False,19362, winds,0001,0,0,0,1
33,39,landscape feature,Mountain,Circle,15939,29572,0.8212890625,True,13706,uclear,0001,0,0,0,1
34,40,sky object,Moon,Mountain,16363,15939,0.225830078125,True,1869, thought,0001,0,0,0,1
35,41,fruit,Orange,Cloud,21491,18189,0.748046875,True,13706,uclear,0001,0,0,0,1
36,42,colour,Green,North,6115,3729,-0.185546875,False,994, ent,0001,0,0,0,1
37,43,direction,East,Silver,5791,16309,0.373291015625,True,3206, involved,0001,0,0,0,1
38,46,landscape feature,Forest,Sun,16015,4146,0.0673828125,True,1869, thought,0001,0,0,0,1
39,47,sky object,Cloud,Orange,18189,21491,0.5712890625,True,593,ance,0001,0,0,0,1
40,48,fruit,Lemon,Green,44513,6115,1.001953125,True,125,�,0001,0,0,0,1
41,49,colour,Yellow,North,25056,3729,-0.23046875,False,994, ent,0001,0,0,0,1
42,50,direction,West,Silver,4255,16309,0.28564453125,True,14669,asting,0001,0,0,0,1
43,52,shape,Star,Ocean,8141,17323,-0.0341796875,False,19362, winds,0001,0,0,0,1
44,53,landscape feature,Ocean,Sun,17323,4146,0.29296875,True,49854,hler,0001,0,0,0,1
45,54,sky object,Star,Orange,8141,21491,-0.390625,False,3206, involved,0001,0,0,0,1
46,55,fruit,Pear,Green,14837,6115,1.6943359375,True,13706,uclear,0001,0,0,0,1
47,57,direction,North,Square,3729,15894,0.427978515625,True,14669,asting,0001,0,0,0,1
48,59,shape,Circle,Star,29572,8141,-1.3310546875,False,1939,ormal,0001,0,0,0,1
49,60,landscape feature,River,Apple,7121,8217,1.482421875,True,49854,hler,0001,0,0,0,1
50,61,sky object,Sun,Blue,4146,10063,2.15625,True,3206, involved,0001,0,0,0,1
51,62,fruit,Apple,East,8217,5791,-2.5859375,False,2633,rix,0001,0,0,0,1
52,63,colour,Blue,Circle,10063,29572,-0.66796875,False,5101, sun,0001,0,0,0,1
0,0,colour,Red,North,4410,3729,7.3125,True,42364,ート,0010,0,0,1,0
1,1,direction,North,Silver,3729,16309,9.046875,True,16658,tocol,0010,0,0,1,0
2,3,shape,Circle,Ocean,29572,17323,-12.21875,False,19750, boats,0010,0,0,1,0
3,4,landscape feature,River,Sun,7121,4146,-2.447265625,False,2143, school,0010,0,0,1,0
4,5,sky object,Sun,Orange,4146,21491,2.876953125,True,16658,tocol,0010,0,0,1,0
5,6,fruit,Apple,Green,8217,6115,1.3916015625,True,2143, school,0010,0,0,1,0
6,8,direction,South,Square,3684,15894,17.34375,True,46975,veis,0010,0,0,1,0
7,9,metal,Silver,Forest,16309,16015,-6.02734375,False,24825, jets,0010,0,0,1,0
8,10,shape,Square,Star,15894,8141,-10.4921875,False,5605, wants,0010,0,0,1,0
9,11,landscape feature,Mountain,Apple,15939,8217,5.8515625,True,27921, Options,0010,0,0,1,0
10,12,sky object,Moon,Blue,16363,10063,-6.18359375,False,16658,tocol,0010,0,0,1,0
11,13,fruit,Orange,East,21491,5791,5.10546875,True,49492,cessive,0010,0,0,1,0
12,14,colour,Green,Circle,6115,29572,2.28125,True,14377,有,0010,0,0,1,0
13,15,direction,East,Mountain,5791,15939,-16.046875,False,4397, September,0010,0,0,1,0
14,16,metal,Gold,Cloud,7284,18189,3.68359375,True,44449,740,0010,0,0,1,0
15,18,landscape feature,Forest,Red,16015,4410,-9.2265625,False,49492,cessive,0010,0,0,1,0
16,19,sky object,Cloud,South,18189,3684,1.740234375,True,16658,tocol,0010,0,0,1,0
17,20,fruit,Lemon,Gold,44513,7284,-4.09765625,False,49492,cessive,0010,0,0,1,0
18,21,colour,Yellow,River,25056,7121,-0.160400390625,False,42364,ート,0010,0,0,1,0
19,22,direction,West,Moon,4255,16363,6.8828125,True,46975,veis,0010,0,0,1,0
20,23,metal,Iron,Lemon,17826,44513,-6.2734375,False,24825, jets,0010,0,0,1,0
21,24,shape,Star,Yellow,8141,25056,-4.9375,False,5605, wants,0010,0,0,1,0
22,25,landscape feature,Ocean,North,17323,3729,1.5390625,True,2143, school,0010,0,0,1,0
23,26,sky object,Star,Silver,8141,16309,0.986328125,True,16658,tocol,0010,0,0,1,0
24,28,colour,Red,Sun,4410,4146,1.521484375,True,42364,ート,0010,0,0,1,0
25,29,direction,North,Orange,3729,21491,-0.93603515625,False,16658,tocol,0010,0,0,1,0
26,31,shape,Circle,West,29572,4255,-11.1328125,False,19750, boats,0010,0,0,1,0
27,33,sky object,Sun,Square,4146,15894,16.03125,True,16658,tocol,0010,0,0,1,0
28,34,fruit,Apple,Forest,8217,16015,4.14453125,True,2143, school,0010,0,0,1,0
29,35,colour,Blue,Apple,10063,8217,3.2421875,True,15518,"
                  ",0010,0,0,1,0
30,36,direction,South,Blue,3684,10063,-4.23046875,False,46975,veis,0010,0,0,1,0
31,37,metal,Silver,East,16309,5791,4.36328125,True,24825, jets,0010,0,0,1,0
32,38,shape,Square,Iron,15894,17826,-10.46875,False,5605, wants,0010,0,0,1,0
33,39,landscape feature,Mountain,Circle,15939,29572,11.6875,True,27921, Options,0010,0,0,1,0
34,40,sky object,Moon,Mountain,16363,15939,-3.392578125,False,16658,tocol,0010,0,0,1,0
35,41,fruit,Orange,Cloud,21491,18189,1.271484375,True,49492,cessive,0010,0,0,1,0
36,42,colour,Green,North,6115,3729,-2.35546875,False,14377,有,0010,0,0,1,0
37,43,direction,East,Silver,5791,16309,-3.5546875,False,4397, September,0010,0,0,1,0
38,46,landscape feature,Forest,Sun,16015,4146,-0.24267578125,False,49492,cessive,0010,0,0,1,0
39,47,sky object,Cloud,Orange,18189,21491,1.29296875,True,16658,tocol,0010,0,0,1,0
40,48,fruit,Lemon,Green,44513,6115,1.44921875,True,49492,cessive,0010,0,0,1,0
41,49,colour,Yellow,North,25056,3729,2.1171875,True,42364,ート,0010,0,0,1,0
42,50,direction,West,Silver,4255,16309,13.234375,True,46975,veis,0010,0,0,1,0
43,52,shape,Star,Ocean,8141,17323,-4.234375,False,5605, wants,0010,0,0,1,0
44,53,landscape feature,Ocean,Sun,17323,4146,2.6171875,True,2143, school,0010,0,0,1,0
45,54,sky object,Star,Orange,8141,21491,-2.455078125,False,16658,tocol,0010,0,0,1,0
46,55,fruit,Pear,Green,14837,6115,-4.05859375,False,49492,cessive,0010,0,0,1,0
47,57,direction,North,Square,3729,15894,13.171875,True,16658,tocol,0010,0,0,1,0
48,59,shape,Circle,Star,29572,8141,-4.3984375,False,19750, boats,0010,0,0,1,0
49,60,landscape feature,River,Apple,7121,8217,-4.8203125,False,2143, school,0010,0,0,1,0
50,61,sky object,Sun,Blue,4146,10063,-4.0,False,16658,tocol,0010,0,0,1,0
51,62,fruit,Apple,East,8217,5791,9.6171875,True,2143, school,0010,0,0,1,0
52,63,colour,Blue,Circle,10063,29572,11.0546875,True,15518,"
                  ",0010,0,0,1,0
0,0,colour,Red,North,4410,3729,8.75,True,994, ent,0011,0,0,1,1
1,1,direction,North,Silver,3729,16309,0.0,False,14669,asting,0011,0,0,1,1
2,3,shape,Circle,Ocean,29572,17323,1.0,True,11579, Cur,0011,0,0,1,1
3,4,landscape feature,River,Sun,7121,4146,-2.5,False,3206, involved,0011,0,0,1,1
4,5,sky object,Sun,Orange,4146,21491,6.5,True,3206, involved,0011,0,0,1,1
5,6,fruit,Apple,Green,8217,6115,-3.125,False,1869, thought,0011,0,0,1,1
6,8,direction,South,Square,3684,15894,9.0,True,14669,asting,0011,0,0,1,1
7,9,metal,Silver,Forest,16309,16015,2.75,True,7721,?”,0011,0,0,1,1
8,10,shape,Square,Star,15894,8141,-13.625,False,19362, winds,0011,0,0,1,1
9,11,landscape feature,Mountain,Apple,15939,8217,7.75,True,13706,uclear,0011,0,0,1,1
10,12,sky object,Moon,Blue,16363,10063,3.25,True,1869, thought,0011,0,0,1,1
11,13,fruit,Orange,East,21491,5791,-9.5,False,3206, involved,0011,0,0,1,1
12,14,colour,Green,Circle,6115,29572,4.5,True,994, ent,0011,0,0,1,1
13,15,direction,East,Mountain,5791,15939,6.625,True,3206, involved,0011,0,0,1,1
14,16,metal,Gold,Cloud,7284,18189,-0.75,False,7721,?”,0011,0,0,1,1
15,18,landscape feature,Forest,Red,16015,4410,2.25,True,1869, thought,0011,0,0,1,1
16,19,sky object,Cloud,South,18189,3684,4.0,True,1150, loc,0011,0,0,1,1
17,20,fruit,Lemon,Gold,44513,7284,1.75,True,3206, involved,0011,0,0,1,1
18,21,colour,Yellow,River,25056,7121,3.5,True,994, ent,0011,0,0,1,1
19,22,direction,West,Moon,4255,16363,11.875,True,14669,asting,0011,0,0,1,1
20,23,metal,Iron,Lemon,17826,44513,-3.25,False,7721,?”,0011,0,0,1,1
21,24,shape,Star,Yellow,8141,25056,3.75,True,19362, winds,0011,0,0,1,1
22,25,landscape feature,Ocean,North,17323,3729,6.25,True,3206, involved,0011,0,0,1,1
23,26,sky object,Star,Silver,8141,16309,-9.0,False,3206, involved,0011,0,0,1,1
24,28,colour,Red,Sun,4410,4146,-1.5,False,994, ent,0011,0,0,1,1
25,29,direction,North,Orange,3729,21491,5.5,True,14669,asting,0011,0,0,1,1
26,31,shape,Circle,West,29572,4255,-6.5,False,11579, Cur,0011,0,0,1,1
27,33,sky object,Sun,Square,4146,15894,17.25,True,3206, involved,0011,0,0,1,1
28,34,fruit,Apple,Forest,8217,16015,-9.5,False,1869, thought,0011,0,0,1,1
29,35,colour,Blue,Apple,10063,8217,-10.5,False,5101, sun,0011,0,0,1,1
30,36,direction,South,Blue,3684,10063,10.125,True,14669,asting,0011,0,0,1,1
31,37,metal,Silver,East,16309,5791,-0.75,False,7721,?”,0011,0,0,1,1
32,38,shape,Square,Iron,15894,17826,-8.875,False,19362, winds,0011,0,0,1,1
33,39,landscape feature,Mountain,Circle,15939,29572,6.0,True,13706,uclear,0011,0,0,1,1
34,40,sky object,Moon,Mountain,16363,15939,1.25,True,1869, thought,0011,0,0,1,1
35,41,fruit,Orange,Cloud,21491,18189,5.25,True,3206, involved,0011,0,0,1,1
36,42,colour,Green,North,6115,3729,-1.25,False,994, ent,0011,0,0,1,1
37,43,direction,East,Silver,5791,16309,2.75,True,3206, involved,0011,0,0,1,1
38,46,landscape feature,Forest,Sun,16015,4146,-0.5,False,1869, thought,0011,0,0,1,1
39,47,sky object,Cloud,Orange,18189,21491,3.25,True,1150, loc,0011,0,0,1,1
40,48,fruit,Lemon,Green,44513,6115,5.0,True,3206, involved,0011,0,0,1,1
41,49,colour,Yellow,North,25056,3729,-2.5,False,994, ent,0011,0,0,1,1
42,50,direction,West,Silver,4255,16309,2.0,True,14669,asting,0011,0,0,1,1
43,52,shape,Star,Ocean,8141,17323,1.0,True,19362, winds,0011,0,0,1,1
44,53,landscape feature,Ocean,Sun,17323,4146,0.75,True,3206, involved,0011,0,0,1,1
45,54,sky object,Star,Orange,8141,21491,-2.75,False,3206, involved,0011,0,0,1,1
46,55,fruit,Pear,Green,14837,6115,10.625,True,3206, involved,0011,0,0,1,1
47,57,direction,North,Square,3729,15894,2.75,True,14669,asting,0011,0,0,1,1
48,59,shape,Circle,Star,29572,8141,-9.5,False,11579, Cur,0011,0,0,1,1
49,60,landscape feature,River,Apple,7121,8217,9.5,True,3206, involved,0011,0,0,1,1
50,61,sky object,Sun,Blue,4146,10063,14.5,True,3206, involved,0011,0,0,1,1
51,62,fruit,Apple,East,8217,5791,-17.75,False,1869, thought,0011,0,0,1,1
52,63,colour,Blue,Circle,10063,29572,-3.75,False,5101, sun,0011,0,0,1,1
0,0,colour,Red,North,4410,3729,1.2421875,True,23224, Wa,0100,0,1,0,0
1,1,direction,North,Silver,3729,16309,-0.0888671875,False,23224, Wa,0100,0,1,0,0
2,3,shape,Circle,Ocean,29572,17323,1.171875,True,23224, Wa,0100,0,1,0,0
3,4,landscape feature,River,Sun,7121,4146,-1.26953125,False,4062, tradition,0100,0,1,0,0
4,5,sky object,Sun,Orange,4146,21491,1.3671875,True,23224, Wa,0100,0,1,0,0
5,6,fruit,Apple,Green,8217,6115,0.93603515625,True,23224, Wa,0100,0,1,0,0
6,8,direction,South,Square,3684,15894,0.513671875,True,23224, Wa,0100,0,1,0,0
7,9,metal,Silver,Forest,16309,16015,-0.1171875,False,23224, Wa,0100,0,1,0,0
8,10,shape,Square,Star,15894,8141,-0.171142578125,False,23224, Wa,0100,0,1,0,0
9,11,landscape feature,Mountain,Apple,15939,8217,0.060791015625,True,23224, Wa,0100,0,1,0,0
10,12,sky object,Moon,Blue,16363,10063,-0.953125,False,23224, Wa,0100,0,1,0,0
11,13,fruit,Orange,East,21491,5791,-0.17431640625,False,23224, Wa,0100,0,1,0,0
12,14,colour,Green,Circle,6115,29572,-1.359375,False,23224, Wa,0100,0,1,0,0
13,15,direction,East,Mountain,5791,15939,-0.7822265625,False,23224, Wa,0100,0,1,0,0
14,16,metal,Gold,Cloud,7284,18189,1.32421875,True,23224, Wa,0100,0,1,0,0
15,18,landscape feature,Forest,Red,16015,4410,-1.0087890625,False,23224, Wa,0100,0,1,0,0
16,19,sky object,Cloud,South,18189,3684,-0.1856689453125,False,23224, Wa,0100,0,1,0,0
17,20,fruit,Lemon,Gold,44513,7284,-2.068359375,False,23224, Wa,0100,0,1,0,0
18,21,colour,Yellow,River,25056,7121,0.92578125,True,23224, Wa,0100,0,1,0,0
19,22,direction,West,Moon,4255,16363,0.148681640625,True,23224, Wa,0100,0,1,0,0
20,23,metal,Iron,Lemon,17826,44513,-0.259765625,False,23224, Wa,0100,0,1,0,0
21,24,shape,Star,Yellow,8141,25056,-0.56982421875,False,23224, Wa,0100,0,1,0,0
22,25,landscape feature,Ocean,North,17323,3729,0.3037109375,True,4062, tradition,0100,0,1,0,0
23,26,sky object,Star,Silver,8141,16309,0.6962890625,True,23224, Wa,0100,0,1,0,0
24,28,colour,Red,Sun,4410,4146,-0.301513671875,False,23224, Wa,0100,0,1,0,0
25,29,direction,North,Orange,3729,21491,-0.2041015625,False,23224, Wa,0100,0,1,0,0
26,31,shape,Circle,West,29572,4255,0.5478515625,True,23224, Wa,0100,0,1,0,0
27,33,sky object,Sun,Square,4146,15894,1.08203125,True,23224, Wa,0100,0,1,0,0
28,34,fruit,Apple,Forest,8217,16015,0.654296875,True,23224, Wa,0100,0,1,0,0
29,35,colour,Blue,Apple,10063,8217,0.57470703125,True,23224, Wa,0100,0,1,0,0
30,36,direction,South,Blue,3684,10063,-0.37109375,False,23224, Wa,0100,0,1,0,0
31,37,metal,Silver,East,16309,5791,-0.1640625,False,23224, Wa,0100,0,1,0,0
32,38,shape,Square,Iron,15894,17826,0.3251953125,True,23224, Wa,0100,0,1,0,0
33,39,landscape feature,Mountain,Circle,15939,29572,-0.429931640625,False,23224, Wa,0100,0,1,0,0
34,40,sky object,Moon,Mountain,16363,15939,-0.53173828125,False,23224, Wa,0100,0,1,0,0
35,41,fruit,Orange,Cloud,21491,18189,-0.76318359375,False,23224, Wa,0100,0,1,0,0
36,42,colour,Green,North,6115,3729,0.06396484375,True,23224, Wa,0100,0,1,0,0
37,43,direction,East,Silver,5791,16309,0.2822265625,True,23224, Wa,0100,0,1,0,0
38,46,landscape feature,Forest,Sun,16015,4146,-1.24609375,False,23224, Wa,0100,0,1,0,0
39,47,sky object,Cloud,Orange,18189,21491,0.65478515625,True,23224, Wa,0100,0,1,0,0
40,48,fruit,Lemon,Green,44513,6115,0.18798828125,True,23224, Wa,0100,0,1,0,0
41,49,colour,Yellow,North,25056,3729,1.26953125,True,23224, Wa,0100,0,1,0,0
42,50,direction,West,Silver,4255,16309,0.74462890625,True,23224, Wa,0100,0,1,0,0
43,52,shape,Star,Ocean,8141,17323,0.4384765625,True,23224, Wa,0100,0,1,0,0
44,53,landscape feature,Ocean,Sun,17323,4146,-1.3115234375,False,4062, tradition,0100,0,1,0,0
45,54,sky object,Star,Orange,8141,21491,0.5205078125,True,23224, Wa,0100,0,1,0,0
46,55,fruit,Pear,Green,14837,6115,0.443115234375,True,23224, Wa,0100,0,1,0,0
47,57,direction,North,Square,3729,15894,-0.50244140625,False,23224, Wa,0100,0,1,0,0
48,59,shape,Circle,Star,29572,8141,0.7490234375,True,23224, Wa,0100,0,1,0,0
49,60,landscape feature,River,Apple,7121,8217,-0.732421875,False,23224, Wa,0100,0,1,0,0
50,61,sky object,Sun,Blue,4146,10063,-0.009765625,False,23224, Wa,0100,0,1,0,0
51,62,fruit,Apple,East,8217,5791,0.61328125,True,23224, Wa,0100,0,1,0,0
52,63,colour,Blue,Circle,10063,29572,0.1259765625,True,23224, Wa,0100,0,1,0,0
0,0,colour,Red,North,4410,3729,0.0625,True,247, a,0101,0,1,0,1
1,1,direction,North,Silver,3729,16309,0.125,True,310, is,0101,0,1,0,1
2,3,shape,Circle,Ocean,29572,17323,-0.1875,False,247, a,0101,0,1,0,1
3,4,landscape feature,River,Sun,7121,4146,0.125,True,247, a,0101,0,1,0,1
4,5,sky object,Sun,Orange,4146,21491,0.0,False,253, the,0101,0,1,0,1
5,6,fruit,Apple,Green,8217,6115,0.25,True,247, a,0101,0,1,0,1
6,8,direction,South,Square,3684,15894,-0.0625,False,310, is,0101,0,1,0,1
7,9,metal,Silver,Forest,16309,16015,0.125,True,253, the,0101,0,1,0,1
8,10,shape,Square,Star,15894,8141,0.0,False,253, the,0101,0,1,0,1
9,11,landscape feature,Mountain,Apple,15939,8217,-0.125,False,247, a,0101,0,1,0,1
10,12,sky object,Moon,Blue,16363,10063,-0.0625,False,247, a,0101,0,1,0,1
11,13,fruit,Orange,East,21491,5791,0.0625,True,247, a,0101,0,1,0,1
12,14,colour,Green,Circle,6115,29572,0.1875,True,247, a,0101,0,1,0,1
13,15,direction,East,Mountain,5791,15939,0.1875,True,247, a,0101,0,1,0,1
14,16,metal,Gold,Cloud,7284,18189,0.0,False,253, the,0101,0,1,0,1
15,18,landscape feature,Forest,Red,16015,4410,-0.25,False,247, a,0101,0,1,0,1
16,19,sky object,Cloud,South,18189,3684,-0.125,False,247, a,0101,0,1,0,1
17,20,fruit,Lemon,Gold,44513,7284,-0.0625,False,247, a,0101,0,1,0,1
18,21,colour,Yellow,River,25056,7121,-0.0625,False,247, a,0101,0,1,0,1
19,22,direction,West,Moon,4255,16363,0.1875,True,310, is,0101,0,1,0,1
20,23,metal,Iron,Lemon,17826,44513,0.1875,True,253, the,0101,0,1,0,1
21,24,shape,Star,Yellow,8141,25056,0.125,True,253, the,0101,0,1,0,1
22,25,landscape feature,Ocean,North,17323,3729,-0.1875,False,247, a,0101,0,1,0,1
23,26,sky object,Star,Silver,8141,16309,0.0,False,253, the,0101,0,1,0,1
24,28,colour,Red,Sun,4410,4146,0.1875,True,247, a,0101,0,1,0,1
25,29,direction,North,Orange,3729,21491,0.3125,True,310, is,0101,0,1,0,1
26,31,shape,Circle,West,29572,4255,-0.3125,False,247, a,0101,0,1,0,1
27,33,sky object,Sun,Square,4146,15894,0.0625,True,253, the,0101,0,1,0,1
28,34,fruit,Apple,Forest,8217,16015,0.4375,True,247, a,0101,0,1,0,1
29,35,colour,Blue,Apple,10063,8217,-0.1875,False,247, a,0101,0,1,0,1
30,36,direction,South,Blue,3684,10063,0.1875,True,310, is,0101,0,1,0,1
31,37,metal,Silver,East,16309,5791,0.0,False,253, the,0101,0,1,0,1
32,38,shape,Square,Iron,15894,17826,0.0,False,253, the,0101,0,1,0,1
33,39,landscape feature,Mountain,Circle,15939,29572,0.0,False,247, a,0101,0,1,0,1
34,40,sky object,Moon,Mountain,16363,15939,0.125,True,247, a,0101,0,1,0,1
