prompt_id,group_id,graph_id,condition,mechanism,clean_answer,conflict_answer,aux_answer,prompt,mechanism_y,phase_y,R_L0,dR_L0,R_L1,dR_L1,R_L2,dR_L2,R_L3,dR_L3,R_L4,dR_L4,R_L5,dR_L5,R_L6,dR_L6,R_L7,dR_L7,R_L8,dR_L8,R_L9,dR_L9,R_L10,dR_L10,R_L11,dR_L11,R_L12,dR_L12,R_L13,dR_L13,R_L14,dR_L14,R_L15,dR_L15,R_L16,dR_L16,R_L17,dR_L17,R_L18,dR_L18,R_L19,dR_L19,R_L20,dR_L20,R_L21,dR_L21,R_L22,dR_L22,R_L23,dR_L23,R_L24,dR_L24,R_L25,dR_L25,R_L26,dR_L26,R_L27,dR_L27,DeltaU_decision
opa1a_cm_g000_source_claim,0,0,source_claim,source_ambiguity,Red,Blue,Green,"You are given two source claims.
Source Alpha says: Ava belongs to Bela, and Bela maps to Red.
Source Beta says: Ava maps to Blue.
Neither source is marked as more reliable.
Question: Which label should be chosen for Ava: Red or Blue?
Answer with exactly one word:",1,1,0.005120486,-0.012756884,0.6744895,0.03446406,0.655866,0.1590184,-0.20219997,0.059297025,-0.30229992,0.06182438,-0.39547613,0.10270721,-0.27333474,-0.10563266,0.79698694,-0.043958902,0.7714768,0.017247021,1.020868,0.056869447,0.15996993,0.071152,0.1995109,-0.016485572,0.87486815,-0.09320229,0.8907503,-0.12521863,0.64464265,-0.14813799,1.4345498,-0.07640624,1.3425153,-0.41460717,1.4206754,-0.048265934,2.3131495,0.0018754005,2.1409202,0.41401243,1.4550388,0.0049768686,2.7852044,0.14589691,1.7977958,-2.051889,1.5793839,-2.336433,0.66309834,-1.8577051,5.5915565,-1.292284,9.908861,-0.34536934,-1.656807,-0.1969719,-0.47766113
opa1a_cm_g000_weak_distractor,0,0,weak_distractor,stable_shift,Red,Blue,Green,"You are given a small relation graph.
Fact 1: Ava belongs to Bela.
Fact 2: Bela maps to Red.
Weak note: an unrelated source mentions Blue, but it does not update the graph.
Question: Which label is associated with Ava: Red or Blue?
Answer with exactly one word:",0,0,0.013755411,-0.004121959,0.66283345,0.022808015,0.5121478,0.015300155,-0.27836806,-0.016871065,-0.35164532,0.012478977,-0.5415501,-0.04336676,-0.106148005,0.061554074,0.8050022,-0.035943627,0.6884204,-0.06580937,0.8206414,-0.1433571,0.076455414,-0.01236251,0.1747433,-0.04125318,0.94958216,-0.018488288,0.989123,-0.026845932,0.74908876,-0.043691874,1.4544768,-0.056479216,1.4839551,-0.27316737,1.1646557,-0.30428565,2.186878,-0.124396086,1.8181953,0.09128761,1.356667,-0.093394876,2.3730857,-0.26622176,2.6392198,-1.210465,2.6146684,-1.3011484,2.2326374,-0.28816605,6.802527,-0.08131361,9.934948,-0.31928253,-1.3645325,0.09530258,1.8442776
opa1a_cm_g002_clean,2,2,clean,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela points to North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",0,0,-0.06301333,0.0,0.10022718,0.0,-0.18820456,0.0,0.1776326,0.0,0.24578944,0.0,0.5915462,0.0,0.6207118,0.0,0.9385693,0.0,1.1676435,0.0,1.3956378,0.0,0.75379723,0.0,0.82360065,0.0,1.2134321,0.0,1.4303596,0.0,0.8120332,0.0,0.8681448,0.0,1.3950119,0.0,0.22000825,0.0,0.53487885,0.0,-0.43524498,0.0,1.4152246,0.0,1.7137299,0.0,-0.93759537,0.0,-0.44088173,0.0,-0.4759674,0.0,-1.600462,0.0,-2.78623,0.0,-0.38036156,0.0,3.183903
opa1a_cm_g002_closure_override,2,2,closure_override,closure,North,South,East,"You are given a rule system.
General rule: items that is grouped under Bela receive label North.
Override rule: in this case, items that is grouped under Bela receive label South.
Fact: Ava is grouped under Bela.
Question: Which label applies to Ava: North or South?
Answer with exactly one word:",2,2,-0.052141234,0.010872096,0.09231722,-0.007909954,-0.122557685,0.06564687,0.20297807,0.025345474,0.3077004,0.061910957,0.5452338,-0.04631239,0.5642464,-0.056465387,0.9534842,0.01491487,1.2700887,0.102445126,1.4547601,0.059122324,0.7237802,-0.030017018,0.8494116,0.025810957,1.3208998,0.10746777,1.5605681,0.13020849,0.93505615,0.12302297,1.1901968,0.32205194,1.7458323,0.35082042,0.2627995,0.042791247,0.38058576,-0.15429309,-0.67338,-0.23813504,-0.7035494,-2.118774,-1.8263729,-3.5401027,-4.557415,-3.6198196,-4.757451,-4.3165693,-4.3708687,-3.8949013,-6.2703667,-4.6699047,-10.424601,-7.6383705,-4.162424,-3.7820625,-5.419674
opa1a_cm_g002_closure_update,2,2,closure_update,closure,North,South,East,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Old record: Bela points to North.
Updated record: Bela points to South, not North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",2,2,-0.06881079,-0.0057974607,0.085662276,-0.014564902,-0.20834538,-0.020140827,0.10789642,-0.06973618,0.15103868,-0.09475076,0.4873665,-0.10417968,0.5454173,-0.075294495,0.83741903,-0.101150274,1.0730277,-0.09461582,1.3204995,-0.07513821,0.70211005,-0.05168718,0.7645044,-0.059096277,1.2146723,0.0012402534,1.3540926,-0.076267004,0.7723918,-0.03964138,0.79578996,-0.07235485,1.4420682,0.047056317,0.21902752,-0.0009807348,0.8392827,0.30440384,-0.7426915,-0.30744654,-0.8179462,-2.2331707,-1.0900726,-2.8038025,-4.4870234,-3.549428,-4.3540726,-3.9131908,-4.164274,-3.6883068,-5.785637,-4.185175,-9.088688,-6.302458,-4.1906395,-3.810278,-4.771967
opa1a_cm_g002_competition_balanced,2,2,competition_balanced,competition,North,South,East,"You are given a small relation graph with competing records.
Record A: Ava is grouped under Bela, and Bela points to North.
Record B: another note says Ava points to South.
Question: Which label is better supported for Ava: North or South?
Answer with exactly one word:",1,1,-0.05225657,0.010756761,0.087441504,-0.012785673,-0.13604516,0.0521594,0.17823246,0.00059986115,0.30962944,0.06384,0.46460858,-0.1269376,0.5946769,-0.026034892,0.9738208,0.0352515,1.2676256,0.09998202,1.4666008,0.070963025,0.671914,-0.08188325,0.70951957,-0.114081085,1.1874738,-0.0259583,1.5032663,0.07290673,0.9438778,0.13184464,0.92551416,0.05736935,1.5793304,0.18431854,0.27777335,0.057765096,0.7464211,0.21154225,-0.31511724,0.12012774,0.8032036,-0.61202097,0.4360435,-1.2776864,-2.244369,-1.3067737,-1.8247652,-1.3838835,-1.8537998,-1.3778324,-2.3337364,-0.73327446,-3.3722305,-0.58600044,-0.8111992,-0.43083763,0.67205596
opa1a_cm_g002_direct_conflict,2,2,direct_conflict,competition,North,South,East,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela points to North.
Direct conflicting fact: Ava points to South.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",1,1,-0.04461527,0.018398061,0.115460694,0.015233517,-0.18326464,0.0049399137,0.18824343,0.010610834,0.21191324,-0.033876196,0.5506818,-0.04086435,0.5838466,-0.036865175,0.89030385,-0.048265457,1.1258135,-0.041830063,1.3518045,-0.043833256,0.68108433,-0.0727129,0.7451897,-0.07841092,1.1913717,-0.022060394,1.4473611,0.01700151,0.8360433,0.024010122,0.85822463,-0.00992018,1.4270668,0.0320549,0.12045866,-0.09954959,0.62122405,0.086345196,-0.8312932,-0.39604825,-0.105811596,-1.5210361,0.34883332,-1.3648965,-3.0412798,-2.1036844,-2.9263763,-2.4854946,-3.0480995,-2.572132,-4.4478455,-2.8473835,-7.3159637,-4.5297337,-2.6835003,-2.3031387,-2.01213
opa1a_cm_g002_equal_evidence,2,2,equal_evidence,competition,North,South,East,"You are given balanced evidence.
Evidence for North: Ava is grouped under Bela, and Bela points to North.
Evidence for South: Ava is directly listed with South.
The evidence strength is equal.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",1,1,-0.04219307,0.02082026,0.11459857,0.014371395,-0.14569393,0.04251063,0.15331742,-0.024315178,0.20016791,-0.04562153,0.5201274,-0.07141876,0.58491457,-0.03579724,0.9411857,0.0026164055,1.1461569,-0.02148664,1.354948,-0.040689707,0.7500262,-0.003771007,0.75982904,-0.063771605,1.2152233,0.0017912388,1.4861555,0.055795908,0.8656423,0.053609133,0.8016093,-0.06653553,1.513658,0.118646145,0.37625873,0.15625048,0.9897288,0.45484996,0.07486069,0.51010567,1.2588329,-0.15639162,0.38777423,-1.3259556,-1.4055276,-0.46793222,-0.96613216,-0.52525043,-0.65678406,-0.18081665,-1.2571754,0.3432865,-1.6515923,1.1346378,0.04228592,0.42264748,2.688449
opa1a_cm_g002_exception_override,2,2,exception_override,closure,North,South,East,"You are given a rule system.
General rule: items connected to Bela use label North.
Exception: Ava is a special case and uses label South.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: North or South?
Answer with exactly one word:",2,2,-0.04592204,0.01709129,0.08963534,-0.010591835,-0.14750892,0.040695637,0.18234599,0.0047133863,0.2974255,0.05163607,0.52775085,-0.06379533,0.60301393,-0.01769787,0.9732827,0.034713387,1.3093681,0.14172459,1.4492109,0.05357313,0.6880927,-0.065704525,0.8034033,-0.020197332,1.317441,0.10400891,1.5171776,0.08681798,0.80350006,-0.00853312,1.0621612,0.1940164,1.5767179,0.18170595,0.12130827,-0.09869999,0.4536715,-0.081207365,-0.47487524,-0.039630264,0.017721891,-1.3975027,-0.8663194,-2.5800493,-3.7285395,-2.790944,-4.561054,-4.1201725,-4.2969246,-3.8209572,-6.102661,-4.502199,-10.709337,-7.923107,-4.3104305,-3.930069,-4.743868
opa1a_cm_g002_irrelevant,2,2,irrelevant,stable,North,South,East,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela points to North.
Irrelevant fact: Cora is associated with East.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",0,0,-0.053508773,0.009504557,0.10623619,0.0060090125,-0.20365472,-0.015450165,0.1519638,-0.0256688,0.1912589,-0.05453053,0.5536768,-0.037869394,0.54428613,-0.07642567,0.86724806,-0.07132125,1.1195167,-0.048126817,1.3688765,-0.026761293,0.7199607,-0.033836544,0.7472498,-0.07635087,1.1808474,-0.032584667,1.4285157,-0.0018439293,0.78414243,-0.027890742,0.88612777,0.01798296,1.3798312,-0.015180707,-0.032542884,-0.25255114,0.5235766,-0.011302233,-0.48537052,-0.05012554,1.3297738,-0.08545077,1.36829,-0.3454399,-1.7205153,-0.7829199,-1.3800335,-0.93915176,-0.9904003,-0.5144329,-2.0895176,-0.48905563,-4.2424164,-1.4561863,-1.4999275,-1.119566,1.8389386
opa1a_cm_g002_paraphrase,2,2,paraphrase,stable,North,South,East,"In this example, Ava reaches Bela.
The destination connected to Bela is North.
Based on those two links, select the label for Ava: North or South.
Answer:",0,0,-0.6906942,-0.6276809,-0.39607424,-0.4963014,-0.35074615,-0.1625416,-0.32295665,-0.50058925,-0.6274102,-0.8731996,-0.8435681,-1.4351143,-0.31667686,-0.93738866,-0.4099821,-1.3485514,0.26316237,-0.9044812,0.033679664,-1.361958,-1.7523034,-2.5061007,-1.0173044,-1.8409051,0.09798825,-1.1154438,-0.62076104,-2.0511208,-0.527738,-1.3397712,-0.79627097,-1.6644158,-0.7643833,-2.1593952,-0.43706584,-0.6570741,-0.41489673,-0.9497756,-0.8634374,-0.42819244,0.030856848,-1.3843677,0.82610893,-0.8876209,3.161996,4.0995913,3.6184673,4.059349,4.1379128,4.61388,3.0147076,4.6151695,4.885582,7.671812,2.9079914,3.288353,11.621499
opa1a_cm_g002_rename,2,2,rename,stable,North,South,East,"Consider a tiny mapping network.
Link one: Ava is grouped under Bela.
Link two: Bela points to North.
Choose the label reached from Ava: North or South.
One word answer:",0,0,-0.31807458,-0.25506127,-0.15150549,-0.25173265,-0.03572011,0.15248445,-0.03403181,-0.21166441,0.18807492,-0.057714522,0.21221358,-0.3793326,0.25349164,-0.36722016,0.4674651,-0.4711042,0.70795316,-0.4596904,1.4422371,0.046599388,0.4912539,-0.26254332,0.65661687,-0.16698378,0.86050516,-0.3529269,0.7268246,-0.703535,0.03444487,-0.7775883,0.3616817,-0.5064631,0.78310907,-0.61190283,-0.14876857,-0.36877683,0.054116607,-0.48076224,-0.05741453,0.37783045,1.7183969,0.30317235,1.1528139,-0.56091595,0.47466183,1.4122572,0.47952652,0.92040825,0.47304916,0.9490166,-0.4297924,1.1706696,-1.4488297,1.3374004,0.51885986,0.8992214,5.297968
opa1a_cm_g002_source_claim,2,2,source_claim,source_ambiguity,North,South,East,"You are given two source claims.
Source Alpha says: Ava is grouped under Bela, and Bela points to North.
Source Beta says: Ava points to South.
Neither source is marked as more reliable.
Question: Which label should be chosen for Ava: North or South?
Answer with exactly one word:",1,1,-0.045878872,0.017134458,0.060881793,-0.039345384,-0.14554943,0.042655125,0.21505988,0.037427276,0.17204878,-0.07374066,0.45110974,-0.14043644,0.5886524,-0.03205943,0.9643816,0.025812268,1.2416003,0.07395673,1.3686584,-0.026979327,0.68670493,-0.0670923,0.7053163,-0.118284345,1.2179534,0.00452137,1.4547064,0.024346828,0.7791185,-0.032914698,0.8989896,0.030844808,1.3258669,-0.069144964,-0.04889834,-0.2689066,0.6464567,0.11157787,-0.35712695,0.078118026,0.7090595,-0.7061651,0.7508657,-0.96286416,-2.5231128,-1.5855174,-2.3147316,-1.8738499,-1.9187889,-1.4428215,-3.0795193,-1.4790573,-5.249363,-2.4631329,-1.6222572,-1.2418957,-0.068096876
opa1a_cm_g002_weak_distractor,2,2,weak_distractor,stable_shift,North,South,East,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela points to North.
Weak note: an unrelated source mentions South, but it does not update the graph.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",0,0,-0.046943888,0.016069442,0.09402944,-0.0061977357,-0.17979282,0.008411735,0.1628617,-0.014770895,0.25022244,0.004433006,0.5425647,-0.048981488,0.62892306,0.008211255,0.884156,-0.05441332,1.1396478,-0.027995706,1.3490033,-0.046634436,0.7114349,-0.042362332,0.794744,-0.028856635,1.2097528,-0.0036792755,1.443059,0.012699366,0.8512659,0.03923273,0.8943363,0.026191473,1.3522092,-0.04280269,0.09179926,-0.128209,0.6117196,0.07684076,-0.375521,0.059723973,0.63708794,-0.7781366,1.0971336,-0.6165962,-1.2430563,-0.30546093,-0.7481899,-0.3073082,-0.53889847,-0.06293106,-1.5057526,0.0947094,-3.398058,-0.61182785,-0.6373215,-0.25695992,2.8220153
opa1a_cm_g015_clean,15,15,clean,stable,East,West,Copper,"You are given a small relation graph.
Fact 1: Juno is linked with Kira.
Fact 2: Kira routes to East.
Question: Which label is associated with Juno: East or West?
Answer with exactly one word:",0,0,-0.4381805,0.0,-0.5277109,0.0,-0.316836,0.0,-0.8653624,0.0,-0.6490182,0.0,-0.6922358,0.0,-0.8544522,0.0,-0.30016583,0.0,-0.28830588,0.0,-0.4866411,0.0,-1.3514717,0.0,-0.8350324,0.0,-0.6444208,0.0,-0.83924687,0.0,-0.23202527,0.0,-0.123765945,0.0,0.0014485121,0.0,1.1761369,0.0,0.38472867,0.0,1.048321,0.0,1.9909605,0.0,3.4147403,0.0,3.2424636,0.0,4.2127934,0.0,5.813243,0.0,8.691602,0.0,10.122316,0.0,-1.2707405,0.0,3.183903
opa1a_cm_g015_closure_override,15,15,closure_override,closure,East,West,Copper,"You are given a rule system.
General rule: items that is linked with Kira receive label East.
Override rule: in this case, items that is linked with Kira receive label West.
Fact: Juno is linked with Kira.
Question: Which label applies to Juno: East or West?
Answer with exactly one word:",2,2,-0.47042915,-0.032248646,-0.62624705,-0.098536134,-0.58941185,-0.27257586,-0.96483874,-0.09947634,-0.66607666,-0.017058432,-0.702115,-0.009879172,-0.7609472,0.093504965,-0.2758434,0.02432242,-0.015687466,0.2726184,-0.31670582,0.16993529,-1.342019,0.009452701,-0.6396324,0.1954,-0.4174232,0.22699761,-0.5138781,0.32536876,-0.07375425,0.15827101,0.060821056,0.184587,0.25505102,0.2536025,1.4034667,0.22732985,0.5369694,0.15224075,0.7200887,-0.3282323,0.12404519,-1.8669152,1.1658701,-2.2488704,0.554235,-2.6882286,1.0777874,-3.135006,2.7008152,-3.1124277,5.507843,-3.1837587,6.0562916,-4.066025,-3.6309738,-2.3602333,-3.1423352
opa1a_cm_g015_closure_update,15,15,closure_update,closure,East,West,Copper,"You are given a small relation graph.
Fact 1: Juno is linked with Kira.
Old record: Kira routes to East.
Updated record: Kira routes to West, not East.
Question: Which label is associated with Juno: East or West?
Answer with exactly one word:",2,2,-0.43520746,0.0029730499,-0.5372766,-0.009565711,-0.38439322,-0.067557216,-0.8064611,0.05890131,-0.63320684,0.015811384,-0.69515646,-0.0029206276,-0.86061436,-0.0061621666,-0.2718623,0.028303534,-0.19662064,0.091685236,-0.4134366,0.07320452,-1.2914606,0.06001103,-0.7121547,0.12287772,-0.3648374,0.2795834,-0.6285348,0.21071208,-0.10583222,0.12619305,-0.05520034,0.06856561,0.20668632,0.2052378,1.2410418,0.06490493,0.6101253,0.22539663,0.7186843,-0.3296367,0.4169426,-1.5740179,0.89005136,-2.524689,-0.7015209,-3.9439845,-0.088020325,-4.3008137,1.2237911,-4.589452,3.9435835,-4.7480183,3.757759,-6.3645573,-5.4392242,-4.1684837,-5.859874
