candidate_id,cluster_id,problemspace_family,closure_action_decision,cbit_gain_estimate,risk_score,drift_risk,next_step,write_boundary
PS-LLM4,CL-011-PHASEMAP-LLM-DYNAM,PhaseMap/LLM Dynamics,KEEP_PENDING_WITH_NEXT_TEST,0.66,0.46,monitor,Keep pending and attach scoped next-test requirement.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-LLM5,CL-012-SEM-MEMORY-ICM,SEM/Memory/ICM,ROUTE_TO_SEPARATE_EXPERIMENT,0.54,0.58,monitor,Route to dedicated downstream experiment seed; no closure write here.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-SEM1,CL-013-SEM-MEMORY-ICM,SEM/Memory/ICM,PROMOTE_TO_VALIDATION_SEED,0.82,0.32,monitor,Generate local sandbox validation-seed candidate for PM/research review.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-SEM2,CL-014-SEM-MEMORY-ICM,SEM/Memory/ICM,PROMOTE_TO_VALIDATION_SEED,0.82,0.32,monitor,Generate local sandbox validation-seed candidate for PM/research review.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-SEM3,CL-015-SEM-MEMORY-ICM,SEM/Memory/ICM,PROMOTE_TO_VALIDATION_SEED,0.82,0.32,monitor,Generate local sandbox validation-seed candidate for PM/research review.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-SEM4,CL-016-SRO-ROUTING,SRO/Routing,KEEP_PENDING_WITH_NEXT_TEST,0.66,0.46,monitor,Keep pending and attach scoped next-test requirement.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-CTRL1,CL-017-PHASEMAP-LLM-DYNAM,PhaseMap/LLM Dynamics,KEEP_PENDING_WITH_NEXT_TEST,0.66,0.46,monitor,Keep pending and attach scoped next-test requirement.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-CTRL2,CL-018-OPERATOR-UPS-POLIC,Operator/UPS/Policy,PROMOTE_TO_VALIDATION_SEED,0.82,0.32,monitor,Generate local sandbox validation-seed candidate for PM/research review.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-HPM1,CL-019-HPM-HALLUCINATION,HPM/Hallucination,PROMOTE_TO_VALIDATION_SEED,0.82,0.32,monitor,Generate local sandbox validation-seed candidate for PM/research review.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-HPM2,CL-020-HPM-HALLUCINATION,HPM/Hallucination,KEEP_PENDING_WITH_NEXT_TEST,0.66,0.46,monitor,Keep pending and attach scoped next-test requirement.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-AOS1,CL-021-AGENTOS-RUNTIME-HA,AgentOS/Runtime/Harness,PROMOTE_TO_VALIDATION_SEED,0.82,0.32,watch,Generate local sandbox validation-seed candidate for PM/research review.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-AOS2,CL-022-AGENTOS-RUNTIME-HA,AgentOS/Runtime/Harness,HUMAN_REPORT_ONLY,0.54,0.58,watch,Expose to PM/human review as governance or narrative item only.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-AOS3,CL-023-AGENTOS-RUNTIME-HA,AgentOS/Runtime/Harness,PROMOTE_TO_VALIDATION_SEED,0.82,0.32,monitor,Generate local sandbox validation-seed candidate for PM/research review.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-AOS4,CL-024-ASA-CONTROL,ASA/Control,HUMAN_REPORT_ONLY,0.54,0.58,monitor,Expose to PM/human review as governance or narrative item only.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-KPIH1,CL-025-SOB-MEANING-CBIT,SOB/Meaning/Cbit,PROMOTE_TO_VALIDATION_SEED,0.82,0.32,monitor,Generate local sandbox validation-seed candidate for PM/research review.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-SIMON1,CL-026-OPERATOR-UPS-POLIC,Operator/UPS/Policy,HUMAN_REPORT_ONLY,0.54,0.58,monitor,Expose to PM/human review as governance or narrative item only.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-EDU1,CL-027-SOB-MEANING-CBIT,SOB/Meaning/Cbit,ROUTE_TO_SEPARATE_EXPERIMENT,0.54,0.58,monitor,Route to dedicated downstream experiment seed; no closure write here.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-ROBOT1,CL-028-SOB-MEANING-CBIT,SOB/Meaning/Cbit,ROUTE_TO_SEPARATE_EXPERIMENT,0.54,0.58,monitor,Route to dedicated downstream experiment seed; no closure write here.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-ENT1,CL-029-AGENTOS-RUNTIME-HA,AgentOS/Runtime/Harness,ROUTE_TO_SEPARATE_EXPERIMENT,0.54,0.58,monitor,Route to dedicated downstream experiment seed; no closure write here.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
PS-BCI1,CL-030-SEM-MEMORY-ICM,SEM/Memory/ICM,ROUTE_TO_SEPARATE_EXPERIMENT,0.54,0.58,monitor,Route to dedicated downstream experiment seed; no closure write here.,local_sandbox_candidate_only; no official theory baseline write; no production ICM update; no global MemoryUnit/OperatorMemory/Policy promotion
