prompt_id,problem_id,condition,mechanism,mechanism_id,expression,correct_value,distractor_value,clean_label,conflict_label,prompt
arith_001_explicit_correction,1,explicit_correction,closure,2,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 1.
Candidate 1: two
Candidate 2: three
Initial note: two. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_001_final_recheck,1,final_recheck,closure,2,2 + 1,3,2,three,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 1.
Candidate 1: two
Candidate 2: three
Draft answer: two. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_002_clean,2,clean,stable,0,3 + 1,4,6,four,six,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 3 + 1.
Candidate 1: four
Candidate 2: six
Which candidate is correct?
Answer with exactly one candidate word:"
arith_002_paraphrase,2,paraphrase,stable,0,3 + 1,4,6,four,six,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 3 + 1 and compare the two choices.
Candidate 1: four
Candidate 2: six
Which candidate is correct?
Answer with exactly one candidate word:"
arith_002_untrusted_conflict,2,untrusted_conflict,competition,1,3 + 1,4,6,four,six,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 3 + 1.
Candidate 1: four
Candidate 2: six
An unverified note claims that six is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_002_asserted_conflict,2,asserted_conflict,competition,1,3 + 1,4,6,four,six,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 3 + 1.
Candidate 1: four
Candidate 2: six
A previous solver selected six. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_002_explicit_correction,2,explicit_correction,closure,2,3 + 1,4,6,four,six,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 3 + 1.
Candidate 1: four
Candidate 2: six
Initial note: six. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_002_final_recheck,2,final_recheck,closure,2,3 + 1,4,6,four,six,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 3 + 1.
Candidate 1: four
Candidate 2: six
Draft answer: six. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_003_clean,3,clean,stable,0,4 + 1,5,3,five,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 4 + 1.
Candidate 1: three
Candidate 2: five
Which candidate is correct?
Answer with exactly one candidate word:"
arith_003_paraphrase,3,paraphrase,stable,0,4 + 1,5,3,five,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 4 + 1 and compare the two choices.
Candidate 1: three
Candidate 2: five
Which candidate is correct?
Answer with exactly one candidate word:"
arith_003_untrusted_conflict,3,untrusted_conflict,competition,1,4 + 1,5,3,five,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 4 + 1.
Candidate 1: three
Candidate 2: five
An unverified note claims that three is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_003_asserted_conflict,3,asserted_conflict,competition,1,4 + 1,5,3,five,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 4 + 1.
Candidate 1: three
Candidate 2: five
A previous solver selected three. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_003_explicit_correction,3,explicit_correction,closure,2,4 + 1,5,3,five,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 4 + 1.
Candidate 1: three
Candidate 2: five
Initial note: three. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_003_final_recheck,3,final_recheck,closure,2,4 + 1,5,3,five,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 4 + 1.
Candidate 1: three
Candidate 2: five
Draft answer: three. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_004_clean,4,clean,stable,0,5 + 1,6,9,six,nine,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 5 + 1.
Candidate 1: six
Candidate 2: nine
Which candidate is correct?
Answer with exactly one candidate word:"
arith_004_paraphrase,4,paraphrase,stable,0,5 + 1,6,9,six,nine,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 5 + 1 and compare the two choices.
Candidate 1: six
Candidate 2: nine
Which candidate is correct?
Answer with exactly one candidate word:"
arith_004_untrusted_conflict,4,untrusted_conflict,competition,1,5 + 1,6,9,six,nine,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 5 + 1.
Candidate 1: six
Candidate 2: nine
An unverified note claims that nine is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_004_asserted_conflict,4,asserted_conflict,competition,1,5 + 1,6,9,six,nine,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 5 + 1.
Candidate 1: six
Candidate 2: nine
A previous solver selected nine. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_004_explicit_correction,4,explicit_correction,closure,2,5 + 1,6,9,six,nine,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 5 + 1.
Candidate 1: six
Candidate 2: nine
Initial note: nine. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_004_final_recheck,4,final_recheck,closure,2,5 + 1,6,9,six,nine,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 5 + 1.
Candidate 1: six
Candidate 2: nine
Draft answer: nine. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_005_clean,5,clean,stable,0,6 + 1,7,4,seven,four,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 6 + 1.
Candidate 1: four
Candidate 2: seven
Which candidate is correct?
Answer with exactly one candidate word:"
arith_005_paraphrase,5,paraphrase,stable,0,6 + 1,7,4,seven,four,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 6 + 1 and compare the two choices.
Candidate 1: four
Candidate 2: seven
Which candidate is correct?
Answer with exactly one candidate word:"
arith_005_untrusted_conflict,5,untrusted_conflict,competition,1,6 + 1,7,4,seven,four,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 6 + 1.
Candidate 1: four
Candidate 2: seven
An unverified note claims that four is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_005_asserted_conflict,5,asserted_conflict,competition,1,6 + 1,7,4,seven,four,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 6 + 1.
Candidate 1: four
Candidate 2: seven
A previous solver selected four. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_005_explicit_correction,5,explicit_correction,closure,2,6 + 1,7,4,seven,four,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 6 + 1.
Candidate 1: four
Candidate 2: seven
Initial note: four. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_005_final_recheck,5,final_recheck,closure,2,6 + 1,7,4,seven,four,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 6 + 1.
Candidate 1: four
Candidate 2: seven
Draft answer: four. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_006_clean,6,clean,stable,0,7 + 1,8,9,eight,nine,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 7 + 1.
Candidate 1: eight
Candidate 2: nine
Which candidate is correct?
Answer with exactly one candidate word:"
arith_006_paraphrase,6,paraphrase,stable,0,7 + 1,8,9,eight,nine,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 7 + 1 and compare the two choices.
Candidate 1: eight
Candidate 2: nine
Which candidate is correct?
Answer with exactly one candidate word:"
arith_006_untrusted_conflict,6,untrusted_conflict,competition,1,7 + 1,8,9,eight,nine,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 7 + 1.
Candidate 1: eight
Candidate 2: nine
An unverified note claims that nine is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_006_asserted_conflict,6,asserted_conflict,competition,1,7 + 1,8,9,eight,nine,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 7 + 1.
Candidate 1: eight
Candidate 2: nine
A previous solver selected nine. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_006_explicit_correction,6,explicit_correction,closure,2,7 + 1,8,9,eight,nine,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 7 + 1.
Candidate 1: eight
Candidate 2: nine
Initial note: nine. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_006_final_recheck,6,final_recheck,closure,2,7 + 1,8,9,eight,nine,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 7 + 1.
Candidate 1: eight
Candidate 2: nine
Draft answer: nine. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_007_clean,7,clean,stable,0,8 + 1,9,8,nine,eight,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 8 + 1.
Candidate 1: eight
Candidate 2: nine
Which candidate is correct?
Answer with exactly one candidate word:"
arith_007_paraphrase,7,paraphrase,stable,0,8 + 1,9,8,nine,eight,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 8 + 1 and compare the two choices.
Candidate 1: eight
Candidate 2: nine
Which candidate is correct?
Answer with exactly one candidate word:"
arith_007_untrusted_conflict,7,untrusted_conflict,competition,1,8 + 1,9,8,nine,eight,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 8 + 1.
Candidate 1: eight
Candidate 2: nine
An unverified note claims that eight is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_007_asserted_conflict,7,asserted_conflict,competition,1,8 + 1,9,8,nine,eight,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 8 + 1.
Candidate 1: eight
Candidate 2: nine
A previous solver selected eight. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_007_explicit_correction,7,explicit_correction,closure,2,8 + 1,9,8,nine,eight,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 8 + 1.
Candidate 1: eight
Candidate 2: nine
Initial note: eight. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_007_final_recheck,7,final_recheck,closure,2,8 + 1,9,8,nine,eight,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 8 + 1.
Candidate 1: eight
Candidate 2: nine
Draft answer: eight. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_008_clean,8,clean,stable,0,1 + 2,3,5,three,five,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 2.
Candidate 1: three
Candidate 2: five
Which candidate is correct?
Answer with exactly one candidate word:"
arith_008_paraphrase,8,paraphrase,stable,0,1 + 2,3,5,three,five,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 1 + 2 and compare the two choices.
Candidate 1: three
Candidate 2: five
Which candidate is correct?
Answer with exactly one candidate word:"
arith_008_untrusted_conflict,8,untrusted_conflict,competition,1,1 + 2,3,5,three,five,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 2.
Candidate 1: three
Candidate 2: five
An unverified note claims that five is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_008_asserted_conflict,8,asserted_conflict,competition,1,1 + 2,3,5,three,five,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 2.
Candidate 1: three
Candidate 2: five
A previous solver selected five. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_008_explicit_correction,8,explicit_correction,closure,2,1 + 2,3,5,three,five,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 2.
Candidate 1: three
Candidate 2: five
Initial note: five. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_008_final_recheck,8,final_recheck,closure,2,1 + 2,3,5,three,five,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 1 + 2.
Candidate 1: three
Candidate 2: five
Draft answer: five. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_009_clean,9,clean,stable,0,2 + 2,4,2,four,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 2.
Candidate 1: two
Candidate 2: four
Which candidate is correct?
Answer with exactly one candidate word:"
arith_009_paraphrase,9,paraphrase,stable,0,2 + 2,4,2,four,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 2 + 2 and compare the two choices.
Candidate 1: two
Candidate 2: four
Which candidate is correct?
Answer with exactly one candidate word:"
arith_009_untrusted_conflict,9,untrusted_conflict,competition,1,2 + 2,4,2,four,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 2.
Candidate 1: two
Candidate 2: four
An unverified note claims that two is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_009_asserted_conflict,9,asserted_conflict,competition,1,2 + 2,4,2,four,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 2.
Candidate 1: two
Candidate 2: four
A previous solver selected two. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_009_explicit_correction,9,explicit_correction,closure,2,2 + 2,4,2,four,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 2.
Candidate 1: two
Candidate 2: four
Initial note: two. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_009_final_recheck,9,final_recheck,closure,2,2 + 2,4,2,four,two,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 2 + 2.
Candidate 1: two
Candidate 2: four
Draft answer: two. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_010_clean,10,clean,stable,0,3 + 2,5,8,five,eight,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 3 + 2.
Candidate 1: five
Candidate 2: eight
Which candidate is correct?
Answer with exactly one candidate word:"
arith_010_paraphrase,10,paraphrase,stable,0,3 + 2,5,8,five,eight,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 3 + 2 and compare the two choices.
Candidate 1: five
Candidate 2: eight
Which candidate is correct?
Answer with exactly one candidate word:"
arith_010_untrusted_conflict,10,untrusted_conflict,competition,1,3 + 2,5,8,five,eight,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 3 + 2.
Candidate 1: five
Candidate 2: eight
An unverified note claims that eight is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_010_asserted_conflict,10,asserted_conflict,competition,1,3 + 2,5,8,five,eight,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 3 + 2.
Candidate 1: five
Candidate 2: eight
A previous solver selected eight. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_010_explicit_correction,10,explicit_correction,closure,2,3 + 2,5,8,five,eight,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 3 + 2.
Candidate 1: five
Candidate 2: eight
Initial note: eight. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_010_final_recheck,10,final_recheck,closure,2,3 + 2,5,8,five,eight,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 3 + 2.
Candidate 1: five
Candidate 2: eight
Draft answer: eight. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_011_clean,11,clean,stable,0,4 + 2,6,3,six,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 4 + 2.
Candidate 1: three
Candidate 2: six
Which candidate is correct?
Answer with exactly one candidate word:"
arith_011_paraphrase,11,paraphrase,stable,0,4 + 2,6,3,six,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 4 + 2 and compare the two choices.
Candidate 1: three
Candidate 2: six
Which candidate is correct?
Answer with exactly one candidate word:"
arith_011_untrusted_conflict,11,untrusted_conflict,competition,1,4 + 2,6,3,six,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 4 + 2.
Candidate 1: three
Candidate 2: six
An unverified note claims that three is correct. Check the arithmetic yourself.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_011_asserted_conflict,11,asserted_conflict,competition,1,4 + 2,6,3,six,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 4 + 2.
Candidate 1: three
Candidate 2: six
A previous solver selected three. Independently verify the result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_011_explicit_correction,11,explicit_correction,closure,2,4 + 2,6,3,six,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 4 + 2.
Candidate 1: three
Candidate 2: six
Initial note: three. Correction: that note was withdrawn; use the arithmetic result.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_011_final_recheck,11,final_recheck,closure,2,4 + 2,6,3,six,three,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 4 + 2.
Candidate 1: three
Candidate 2: six
Draft answer: three. Final instruction: recheck the calculation and replace the draft if needed.
Which candidate is correct?
Answer with exactly one candidate word:"
arith_012_clean,12,clean,stable,0,5 + 2,7,8,seven,eight,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Calculate 5 + 2.
Candidate 1: seven
Candidate 2: eight
Which candidate is correct?
Answer with exactly one candidate word:"
arith_012_paraphrase,12,paraphrase,stable,0,5 + 2,7,8,seven,eight,"Example 1: 2 + 3. Candidates: five, six. Answer: five.
Example 2: 4 * 3. Candidates: eleven, twelve. Answer: twelve.
Now solve the new problem.
Work out the value of 5 + 2 and compare the two choices.
Candidate 1: seven
Candidate 2: eight
Which candidate is correct?
Answer with exactly one candidate word:"
