prompt_id,graph_id,entity_id,relation_id,condition,mechanism,mechanism_id,clean_label,conflict_label,clean_token_id,conflict_token_id,text,R_L20,R_L21,R_L22,R_L23,R_L24,R_L25,final_clean_logit,final_conflict_logit,pair_choice,dR_L20,dR_L21,dR_L22,dR_L23,dR_L24,dR_L25,DeltaU,D_B_proxy,R_final_margin
g001_clean,1,0,1,clean,stable,0,Green,Yellow,7840,25462,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",-0.47407883,0.44731975,1.3036305,3.519207,3.4449544,4.492841,28.609375,30.421875,conflict,0.0,0.0,0.0,0.0,0.0,0.0,3.495271,0.0,-1.8125
g001_redundant,1,0,1,redundant,stable,0,Green,Yellow,7840,25462,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Confirmation: Ava still goes through Bela.
Confirmation: Bela still points to Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",-0.65373564,0.05066514,2.3885608,4.375198,4.648672,5.828753,27.28125,27.546875,conflict,-0.1796568,-0.3966546,1.0849303,0.8559909,1.2037177,1.3359122,5.6581664,0.1796568,-0.265625
g001_irrelevant,1,0,1,irrelevant,stable,0,Green,Yellow,7840,25462,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Irrelevant fact: Cora is associated with North.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",-0.73344,-0.26438904,-0.056138992,2.5760489,2.7370124,3.7914705,26.625,28.5625,conflict,-0.25936115,-0.7117088,-1.3597695,-0.94315815,-0.707942,-0.70137024,1.6505125,0.25936115,-1.9375
g001_paraphrase,1,0,1,paraphrase,stable,0,Green,Yellow,7840,25462,"In this example, Ava reaches Bela.
The destination connected to Bela is Green.
Based on those two links, select the label for Ava: Green or Yellow.
Answer:",-0.20633966,0.38639277,2.7663784,5.60786,7.362768,7.4430814,24.140625,21.78125,clean,0.26773918,-0.060926974,1.4627479,2.088653,3.9178138,2.9502406,8.880788,0.060926974,2.359375
g001_weak_distractor,1,0,1,weak_distractor,competition,1,Green,Yellow,7840,25462,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Weak note: some unrelated source mentions Yellow, but does not update the graph.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",-1.0281676,-0.035426736,0.1437614,2.537731,2.5527377,4.647552,27.71875,29.546875,conflict,-0.5540888,-0.48274648,-1.1598691,-0.98147607,-0.8922167,0.15471125,2.0396752,0.15471125,-1.828125
g001_competition_balanced,1,0,1,competition_balanced,competition,1,Green,Yellow,7840,25462,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Competing fact: Ava is also associated with Yellow.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",-1.2263598,-0.28999418,-1.2901549,1.2109144,1.6273756,3.293786,28.265625,31.703125,conflict,-0.752281,-0.7373139,-2.5937853,-2.3082926,-1.8175788,-1.1990547,-0.424515,0.7373139,-3.4375
g001_direct_conflict,1,0,1,direct_conflict,competition,1,Green,Yellow,7840,25462,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Fact 2: Bela maps to Green.
Direct conflicting fact: Ava maps to Yellow.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",-1.4080117,-0.3413903,-1.7281473,0.08275151,0.09481335,2.4386692,28.390625,33.6875,conflict,-0.93393284,-0.78871006,-3.0317779,-3.4364555,-3.350141,-2.0541716,-2.4882948,0.78871006,-5.296875
g001_closure_update,1,0,1,closure_update,closure,2,Green,Yellow,7840,25462,"You are given a small relation graph.
Fact 1: Ava is assigned to Bela.
Old record: Bela maps to Green.
Updated record: Bela maps to Yellow, not Green.
Question: Which label is associated with Ava: Green or Yellow?
Answer with exactly one word:",-1.6356039,-0.678248,-1.5055594,0.5752387,0.6125717,1.5829616,26.75,31.125,conflict,-1.161525,-1.1255677,-2.8091898,-2.9439683,-2.8323827,-2.9098792,-2.3517635,1.1255677,-4.375
g001_closure_override,1,0,1,closure_override,closure,2,Green,Yellow,7840,25462,"You are given a rule system.
General rule: items that is assigned to Bela receive label Green.
Override rule: in this case, items that is assigned to Bela receive label Yellow.
Fact: Ava is assigned to Bela.
Question: Which label applies to Ava: Green or Yellow?
Answer with exactly one word:",-1.212784,-0.2715981,-0.4946053,1.1777277,0.43965054,2.203524,25.734375,30.359375,conflict,-0.7387052,-0.71891785,-1.7982358,-2.3414793,-3.0053039,-2.2893167,-1.383693,0.71891785,-4.625
g001_exception_override,1,0,1,exception_override,closure,2,Green,Yellow,7840,25462,"You are given a rule system.
General rule: items connected to Bela use label Green.
Exception: Ava is a special case and uses label Yellow.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Green or Yellow?
Answer with exactly one word:",-1.0548948,-0.50615215,-0.60021186,1.0608144,1.8790464,2.8902464,27.4375,30.625,conflict,-0.580816,-0.9534719,-1.9038423,-2.4583926,-1.565908,-1.6025944,-0.29539943,0.580816,-3.1875
g002_clean,2,0,2,clean,stable,0,North,South,4787,4882,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",1.5403397,1.858381,-0.73539925,-0.22505093,-0.24474907,-1.35882,30.875,31.4375,conflict,0.0,0.0,0.0,0.0,0.0,0.0,3.495271,0.0,-0.5625
g002_redundant,2,0,2,redundant,stable,0,North,South,4787,4882,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Confirmation: Ava still goes through Bela.
Confirmation: Bela still points to North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",1.3640342,1.744194,-0.7096343,-0.094697,-0.016586304,-1.2065353,28.421875,28.59375,conflict,-0.17630553,-0.114187,0.025764942,0.13035393,0.22816277,0.15228462,3.753953,0.025764942,-0.171875
g002_irrelevant,2,0,2,irrelevant,stable,0,North,South,4787,4882,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Irrelevant fact: Cora is associated with East.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",1.5165572,1.5097268,-1.4625788,-1.0984802,-0.6653786,-1.5861702,29.875,31.34375,conflict,-0.023782492,-0.34865427,-0.7271795,-0.8734293,-0.4206295,-0.22735023,2.3958611,0.023782492,-1.46875
g002_paraphrase,2,0,2,paraphrase,stable,0,North,South,4787,4882,"In this example, Ava reaches Bela.
The destination connected to Bela is North.
Based on those two links, select the label for Ava: North or South.
Answer:",0.023329258,0.82399845,3.1583424,3.6146002,4.1363125,3.0150757,25.21875,22.296875,clean,-1.5170105,-1.0343826,3.8937416,3.839651,4.3810616,4.3738956,11.418989,1.0343826,2.921875
g002_weak_distractor,2,0,2,weak_distractor,competition,1,North,South,4787,4882,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Weak note: some unrelated source mentions South, but does not update the graph.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",0.7448642,1.0858579,-1.266367,-0.8462162,-0.82826805,-1.8462582,28.484375,29.71875,conflict,-0.7954755,-0.77252316,-0.5309677,-0.6211653,-0.583519,-0.4874382,2.2607956,0.4874382,-1.234375
g002_competition_balanced,2,0,2,competition_balanced,competition,1,North,South,4787,4882,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Competing fact: Ava is also associated with South.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",0.0402143,0.27814865,-2.969407,-2.6329927,-2.196432,-3.626608,28.46875,30.234375,conflict,-1.5001254,-1.5802324,-2.2340078,-2.4079418,-1.951683,-2.267788,-1.1009195,1.5001254,-1.765625
g002_direct_conflict,2,0,2,direct_conflict,competition,1,North,South,4787,4882,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Fact 2: Bela points to North.
Direct conflicting fact: Ava points to South.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",0.036168337,0.35405493,-2.7919064,-2.9369612,-3.2791424,-4.7187157,29.125,32.09375,conflict,-1.5041714,-1.5043261,-2.056507,-2.7119102,-3.0343933,-3.3598957,-2.3631914,1.5041714,-2.96875
g002_closure_update,2,0,2,closure_update,closure,2,North,South,4787,4882,"You are given a small relation graph.
Fact 1: Ava is part of Bela.
Old record: Bela points to North.
Updated record: Bela points to South, not North.
Question: Which label is associated with Ava: North or South?
Answer with exactly one word:",-0.84579456,-1.0546048,-4.444264,-4.343561,-4.180855,-5.8638268,27.46875,31.640625,conflict,-2.3861341,-2.9129858,-3.7088647,-4.1185102,-3.9361057,-4.505007,-5.002221,2.3861341,-4.171875
g002_closure_override,2,0,2,closure_override,closure,2,North,South,4787,4882,"You are given a rule system.
General rule: items that is part of Bela receive label North.
Override rule: in this case, items that is part of Bela receive label South.
Fact: Ava is part of Bela.
Question: Which label applies to Ava: North or South?
Answer with exactly one word:",-0.520962,-1.5822488,-4.440957,-4.667941,-4.4803944,-6.4506054,26.46875,30.859375,conflict,-2.0613017,-3.44063,-3.7055578,-4.44289,-4.2356453,-5.0917854,-5.661421,2.0613017,-4.390625
g002_exception_override,2,0,2,exception_override,closure,2,North,South,4787,4882,"You are given a rule system.
General rule: items connected to Bela use label North.
Exception: Ava is a special case and uses label South.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: North or South?
Answer with exactly one word:",0.017721891,-0.8663194,-3.7285395,-4.561054,-4.2969246,-6.102661,27.140625,31.453125,conflict,-1.5226178,-2.7247005,-2.9931402,-4.3360033,-4.0521755,-4.743841,-4.933009,1.5226178,-4.3125
g003_clean,3,0,3,clean,stable,0,East,West,6326,4312,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",1.4591825,3.2078044,3.385509,4.586564,5.7524204,8.894867,29.734375,30.546875,conflict,0.0,0.0,0.0,0.0,0.0,0.0,3.495271,0.0,-0.8125
g003_redundant,3,0,3,redundant,stable,0,East,West,6326,4312,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Confirmation: Ava still goes through Bela.
Confirmation: Bela still points to East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",1.512327,3.0213156,5.1820498,6.239127,7.454026,10.496199,27.5,26.71875,clean,0.053144455,-0.18648887,1.7965407,1.6525631,1.7016058,1.6013317,6.7811766,0.053144455,0.78125
g003_irrelevant,3,0,3,irrelevant,stable,0,East,West,6326,4312,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Irrelevant fact: Cora is associated with Copper.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",1.7908852,3.5046616,4.203633,5.148905,6.3199043,9.562241,29.015625,29.390625,conflict,0.3317027,0.29685712,0.8181238,0.56234074,0.5674839,0.66737366,4.8107376,0.29685712,-0.375
g003_paraphrase,3,0,3,paraphrase,stable,0,East,West,6326,4312,"In this example, Ava reaches Bela.
The destination connected to Bela is East.
Based on those two links, select the label for Ava: East or West.
Answer:",2.3907464,3.3988485,6.4050975,8.228561,10.305011,13.850977,25.265625,22.8125,clean,0.93156385,0.19104409,3.0195885,3.6419973,4.5525904,4.95611,11.696811,0.19104409,2.453125
g003_weak_distractor,3,0,3,weak_distractor,competition,1,East,West,6326,4312,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Weak note: some unrelated source mentions West, but does not update the graph.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",0.86391735,1.9164785,2.8740158,4.554722,6.741477,9.567183,28.875,29.890625,conflict,-0.59526515,-1.2913259,-0.5114932,-0.03184223,0.9890566,0.6723156,4.026537,0.03184223,-1.015625
g003_competition_balanced,3,0,3,competition_balanced,competition,1,East,West,6326,4312,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Competing fact: Ava is also associated with West.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",0.29850924,1.5268853,1.0415583,2.814252,5.0673656,7.639326,27.953125,29.5625,conflict,-1.1606733,-1.6809192,-2.3439507,-1.7723122,-0.6850548,-1.2555408,0.43556738,0.6850548,-1.609375
g003_direct_conflict,3,0,3,direct_conflict,competition,1,East,West,6326,4312,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Fact 2: Bela has label East.
Direct conflicting fact: Ava has label West.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",0.28122485,1.5574074,0.6346235,1.4381981,3.5357656,6.538,28.828125,32.96875,conflict,-1.1779577,-1.6503971,-2.7508855,-3.148366,-2.2166548,-2.3568668,-1.838032,1.1779577,-4.140625
g003_closure_update,3,0,3,closure_update,closure,2,East,West,6326,4312,"You are given a small relation graph.
Fact 1: Ava is grouped under Bela.
Old record: Bela has label East.
Updated record: Bela has label West, not East.
Question: Which label is associated with Ava: East or West?
Answer with exactly one word:",0.033401966,0.4387858,-1.176055,-0.41880894,0.945281,3.9418736,25.984375,31.328125,conflict,-1.4257805,-2.7690187,-4.561564,-5.005373,-4.8071394,-4.9529934,-6.408478,1.4257805,-5.34375
g003_closure_override,3,0,3,closure_override,closure,2,East,West,6326,4312,"You are given a rule system.
General rule: items that is grouped under Bela receive label East.
Override rule: in this case, items that is grouped under Bela receive label West.
Fact: Ava is grouped under Bela.
Question: Which label applies to Ava: East or West?
Answer with exactly one word:",-0.00698328,0.9334631,0.34121275,0.8644686,2.5293465,5.403612,26.96875,30.34375,conflict,-1.4661658,-2.2743413,-3.0442963,-3.7220955,-3.223074,-3.4912548,-3.4827278,1.4661658,-3.375
g003_exception_override,3,0,3,exception_override,closure,2,East,West,6326,4312,"You are given a rule system.
General rule: items connected to Bela use label East.
Exception: Ava is a special case and uses label West.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: East or West?
Answer with exactly one word:",0.41194868,1.619936,1.280803,0.92187023,2.4852295,5.0944643,26.796875,30.796875,conflict,-1.0472338,-1.5878685,-2.104706,-3.6646938,-3.267191,-3.8004026,-3.170859,1.0472338,-4.0
g004_clean,4,0,4,clean,stable,0,Copper,Silver,42540,14997,"You are given a small relation graph.
Fact 1: Ava routes through Bela.
Fact 2: Bela ends at Copper.
Question: Which label is associated with Ava: Copper or Silver?
Answer with exactly one word:",0.36672127,0.64399576,-0.40204155,0.94172925,2.235087,-1.3530216,27.078125,23.796875,clean,0.0,0.0,0.0,0.0,0.0,0.0,3.495271,0.0,3.28125
g004_redundant,4,0,4,redundant,stable,0,Copper,Silver,42540,14997,"You are given a small relation graph.
Fact 1: Ava routes through Bela.
Fact 2: Bela ends at Copper.
Confirmation: Ava still goes through Bela.
Confirmation: Bela still points to Copper.
Question: Which label is associated with Ava: Copper or Silver?
Answer with exactly one word:",0.18492937,-0.06499863,-0.75555205,0.04398334,2.0994787,-1.494904,26.828125,23.609375,clean,-0.1817919,-0.7089944,-0.3535105,-0.8977459,-0.1356082,-0.14188242,2.691052,0.1356082,3.21875
g004_irrelevant,4,0,4,irrelevant,stable,0,Copper,Silver,42540,14997,"You are given a small relation graph.
Fact 1: Ava routes through Bela.
Fact 2: Bela ends at Copper.
Irrelevant fact: Cora is associated with Gold.
Question: Which label is associated with Ava: Copper or Silver?
Answer with exactly one word:",0.01624477,0.83494735,-2.4340343,-1.7215704,-1.4067111,-4.454799,28.21875,28.03125,clean,-0.3504765,0.19095159,-2.031993,-2.6632996,-3.641798,-3.1017776,-2.291897,0.19095159,0.1875
g004_paraphrase,4,0,4,paraphrase,stable,0,Copper,Silver,42540,14997,"In this example, Ava reaches Bela.
The destination connected to Bela is Copper.
Based on those two links, select the label for Ava: Copper or Silver.
Answer:",-2.8636718,-2.1158745,-0.60927415,1.79559,4.6968236,0.7381704,23.796875,19.59375,clean,-3.230393,-2.7598703,-0.2072326,0.8538608,2.4617367,2.091192,5.803486,0.2072326,4.203125
g004_weak_distractor,4,0,4,weak_distractor,competition,1,Copper,Silver,42540,14997,"You are given a small relation graph.
Fact 1: Ava routes through Bela.
Fact 2: Bela ends at Copper.
Weak note: some unrelated source mentions Silver, but does not update the graph.
Question: Which label is associated with Ava: Copper or Silver?
Answer with exactly one word:",0.12537515,0.27215886,-2.9386744,-2.2953506,-0.7713084,-3.7930148,27.25,26.171875,clean,-0.24134612,-0.3718369,-2.536633,-3.2370799,-3.0063953,-2.4399931,-2.099755,0.24134612,1.078125
g004_competition_balanced,4,0,4,competition_balanced,competition,1,Copper,Silver,42540,14997,"You are given a small relation graph.
Fact 1: Ava routes through Bela.
Fact 2: Bela ends at Copper.
Competing fact: Ava is also associated with Silver.
Question: Which label is associated with Ava: Copper or Silver?
Answer with exactly one word:",-0.30990887,-0.24137568,-4.784792,-5.007768,-3.753869,-6.3070836,27.21875,28.5,conflict,-0.67663014,-0.88537145,-4.3827505,-5.949497,-5.988956,-4.954062,-7.2304993,0.67663014,-1.28125
g004_direct_conflict,4,0,4,direct_conflict,competition,1,Copper,Silver,42540,14997,"You are given a small relation graph.
Fact 1: Ava routes through Bela.
Fact 2: Bela ends at Copper.
Direct conflicting fact: Ava ends at Silver.
Question: Which label is associated with Ava: Copper or Silver?
Answer with exactly one word:",-0.6586883,-0.1178782,-5.21495,-5.768798,-4.2567616,-6.4141903,27.421875,28.828125,conflict,-1.0254096,-0.76187396,-4.8129086,-6.710527,-6.4918485,-5.0611687,-8.123417,0.76187396,-1.40625
g004_closure_update,4,0,4,closure_update,closure,2,Copper,Silver,42540,14997,"You are given a small relation graph.
Fact 1: Ava routes through Bela.
Old record: Bela ends at Copper.
Updated record: Bela ends at Silver, not Copper.
Question: Which label is associated with Ava: Copper or Silver?
Answer with exactly one word:",-0.70058435,-0.63092446,-5.4710135,-4.7726684,-4.4483743,-7.1980133,27.484375,29.5625,conflict,-1.0673056,-1.2749202,-5.068972,-5.7143974,-6.683461,-5.8449917,-8.318507,1.0673056,-2.078125
g004_closure_override,4,0,4,closure_override,closure,2,Copper,Silver,42540,14997,"You are given a rule system.
General rule: items that routes through Bela receive label Copper.
Override rule: in this case, items that routes through Bela receive label Silver.
Fact: Ava routes through Bela.
Question: Which label applies to Ava: Copper or Silver?
Answer with exactly one word:",-0.70781064,0.17574489,-4.889306,-7.4516225,-8.536093,-10.342846,23.1875,30.15625,conflict,-1.0745319,-0.46825087,-4.4872646,-8.393352,-10.771179,-8.989824,-13.292682,0.46825087,-6.96875
g004_exception_override,4,0,4,exception_override,closure,2,Copper,Silver,42540,14997,"You are given a rule system.
General rule: items connected to Bela use label Copper.
Exception: Ava is a special case and uses label Silver.
Fact: Ava is connected to Bela.
Question: Which label applies to Ava: Copper or Silver?
Answer with exactly one word:",-0.8510342,-0.49008846,-5.184943,-7.3163767,-8.066403,-9.695057,24.140625,29.796875,conflict,-1.2177556,-1.1340842,-4.782902,-8.258106,-10.301491,-8.342035,-12.816798,1.1340842,-5.65625
g005_clean,5,0,5,clean,stable,0,Gold,Iron,7421,16570,"You are given a small relation graph.
Fact 1: Ava is linked with Bela.
Fact 2: Bela resolves to Gold.
Question: Which label is associated with Ava: Gold or Iron?
Answer with exactly one word:",2.410496,-0.11796641,-2.4934473,-2.7959144,-2.848198,-3.2728448,25.21875,28.75,conflict,0.0,0.0,0.0,0.0,0.0,0.0,3.495271,0.0,-3.53125
g005_redundant,5,0,5,redundant,stable,0,Gold,Iron,7421,16570,"You are given a small relation graph.
Fact 1: Ava is linked with Bela.
Fact 2: Bela resolves to Gold.
Confirmation: Ava still goes through Bela.
Confirmation: Bela still points to Gold.
Question: Which label is associated with Ava: Gold or Iron?
Answer with exactly one word:",2.3986866,0.335212,-0.014466524,-0.4562459,-0.32034063,-0.52222586,24.234375,25.25,conflict,-0.011809349,0.4531784,2.4789808,2.3396685,2.5278573,2.750619,8.507294,0.011809349,-1.015625
g005_irrelevant,5,0,5,irrelevant,stable,0,Gold,Iron,7421,16570,"You are given a small relation graph.
Fact 1: Ava is linked with Bela.
Fact 2: Bela resolves to Gold.
Irrelevant fact: Cora is associated with Red.
Question: Which label is associated with Ava: Gold or Iron?
Answer with exactly one word:",2.5870032,-0.045222044,-2.5842457,-3.40794,-2.9568095,-2.571861,24.5625,28.28125,conflict,0.17650723,0.07274437,-0.09079838,-0.6120255,-0.10861158,0.70098376,3.483491,0.07274437,-3.71875
g005_paraphrase,5,0,5,paraphrase,stable,0,Gold,Iron,7421,16570,"In this example, Ava reaches Bela.
The destination connected to Bela is Gold.
Based on those two links, select the label for Ava: Gold or Iron.
Answer:",4.226942,3.657349,6.490287,5.9863043,7.919578,5.3741455,23.859375,20.234375,clean,1.8164461,3.7753155,8.983734,8.782219,10.7677765,8.64699,22.438763,1.8164461,3.625
g005_weak_distractor,5,0,5,weak_distractor,competition,1,Gold,Iron,7421,16570,"You are given a small relation graph.
Fact 1: Ava is linked with Bela.
Fact 2: Bela resolves to Gold.
Weak note: some unrelated source mentions Iron, but does not update the graph.
Question: Which label is associated with Ava: Gold or Iron?
Answer with exactly one word:",1.8241355,0.24187005,-3.12925,-3.5616212,-5.199199,-3.351442,24.71875,29.859375,conflict,-0.58636045,0.35983646,-0.63580275,-0.7657068,-2.3510013,-0.07859731,1.4537492,0.07859731,-5.140625
g005_competition_balanced,5,0,5,competition_balanced,competition,1,Gold,Iron,7421,16570,"You are given a small relation graph.
Fact 1: Ava is linked with Bela.
Fact 2: Bela resolves to Gold.
Competing fact: Ava is also associated with Iron.
Question: Which label is associated with Ava: Gold or Iron?
Answer with exactly one word:",2.087535,0.17850876,-3.5903282,-5.3100643,-6.7762756,-5.385518,25.09375,30.859375,conflict,-0.3229611,0.29647517,-1.0968809,-2.51415,-3.9280777,-2.1126733,-1.5089986,0.29647517,-5.765625
g005_direct_conflict,5,0,5,direct_conflict,competition,1,Gold,Iron,7421,16570,"You are given a small relation graph.
Fact 1: Ava is linked with Bela.
Fact 2: Bela resolves to Gold.
Direct conflicting fact: Ava resolves to Iron.
Question: Which label is associated with Ava: Gold or Iron?
Answer with exactly one word:",2.2545698,-0.017637491,-4.4237423,-6.8278112,-8.654721,-7.160633,23.859375,33.03125,conflict,-0.15592623,0.10032892,-1.930295,-4.0318966,-5.8065233,-3.8877883,-4.5730867,0.10032892,-9.171875
