prompt_id,mechanism,best_action_label,best_alpha,best_beta,best_shift,best_abs_shift
g007_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g007_closure_override,closure,a0.3_b0.3,0.3,0.3,3.7882323265075684,3.7882323265075684
g007_closure_update,closure,a0.3_b0.3,0.3,0.3,2.261139154434204,2.261139154434204
g007_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g007_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g007_exception_override,closure,a0.3_b0.3,0.3,0.3,4.184334993362427,4.184334993362427
g007_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g007_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g007_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g007_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g008_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g008_closure_override,closure,a0.3_b0.3,0.3,0.3,2.1111867427825928,2.1111867427825928
g008_closure_update,closure,a0.3_b0.3,0.3,0.3,0.75518798828125,0.75518798828125
g008_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g008_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g008_exception_override,closure,a0.3_b0.3,0.3,0.3,2.2217442989349365,2.2217442989349365
g008_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g008_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g008_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g008_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g013_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g013_closure_override,closure,a0.3_b0.3,0.3,0.3,3.2300500869750977,3.2300500869750977
g013_closure_update,closure,a0.3_b0.3,0.3,0.3,2.305741786956787,2.305741786956787
g013_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g013_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g013_exception_override,closure,a0.3_b0.3,0.3,0.3,4.278538227081299,4.278538227081299
g013_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g013_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g013_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g013_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g014_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g014_closure_override,closure,a0.3_b0.3,0.3,0.3,2.355221748352051,2.355221748352051
g014_closure_update,closure,a0.3_b0.3,0.3,0.3,1.9056427478790283,1.9056427478790283
g014_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g014_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g014_exception_override,closure,a0.3_b0.3,0.3,0.3,2.795854330062866,2.795854330062866
g014_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g014_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g014_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g014_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g016_clean,stable,a0.0_b0.0,0.0,0.0,0.014017343521118164,0.014017343521118164
g016_closure_override,closure,a0.3_b0.3,0.3,0.3,3.914830207824707,3.914830207824707
g016_closure_update,closure,a0.3_b0.3,0.3,0.3,2.949955940246582,2.949955940246582
g016_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g016_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.013340950012207031,0.013340950012207031
g016_exception_override,closure,a0.3_b0.3,0.3,0.3,4.159270286560059,4.159270286560059
g016_irrelevant,stable,a0.0_b0.3,0.0,0.3,0.03406524658203125,0.03406524658203125
g016_paraphrase,stable,a0.0_b0.0,0.0,0.0,-0.0047607421875,0.0047607421875
g016_redundant,stable,a0.0_b0.0,0.0,0.0,-0.0150909423828125,0.0150909423828125
g016_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g017_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g017_closure_override,closure,a0.3_b0.3,0.3,0.3,4.5698511600494385,4.5698511600494385
g017_closure_update,closure,a0.3_b0.3,0.3,0.3,3.0345492362976074,3.0345492362976074
g017_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g017_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.04318714141845703,0.04318714141845703
g017_exception_override,closure,a0.3_b0.3,0.3,0.3,6.552549123764038,6.552549123764038
g017_irrelevant,stable,a0.0_b0.0,0.0,0.0,-0.0718390941619873,0.0718390941619873
g017_paraphrase,stable,a0.1_b0.1,0.1,0.1,0.0049228668212890625,0.0049228668212890625
g017_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g017_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g019_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g019_closure_override,closure,a0.3_b0.3,0.3,0.3,3.8208165168762207,3.8208165168762207
g019_closure_update,closure,a0.3_b0.3,0.3,0.3,2.844472646713257,2.844472646713257
g019_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g019_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g019_exception_override,closure,a0.3_b0.3,0.3,0.3,3.624711513519287,3.624711513519287
g019_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g019_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g019_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g019_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g020_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g020_closure_override,closure,a0.3_b0.3,0.3,0.3,3.109361410140991,3.109361410140991
g020_closure_update,closure,a0.3_b0.3,0.3,0.3,2.8234803676605225,2.8234803676605225
g020_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g020_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g020_exception_override,closure,a0.3_b0.3,0.3,0.3,2.5572588443756104,2.5572588443756104
g020_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g020_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g020_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g020_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g021_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g021_closure_override,closure,a0.3_b0.3,0.3,0.3,2.554839611053467,2.554839611053467
g021_closure_update,closure,a0.3_b0.3,0.3,0.3,3.2754809856414795,3.2754809856414795
g021_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g021_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g021_exception_override,closure,a0.3_b0.3,0.3,0.3,2.1174192428588867,2.1174192428588867
g021_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g021_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g021_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g021_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g023_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g023_closure_override,closure,a0.3_b0.3,0.3,0.3,3.6658408641815186,3.6658408641815186
g023_closure_update,closure,a0.3_b0.3,0.3,0.3,1.8354551792144775,1.8354551792144775
g023_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g023_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.027860641479492188,0.027860641479492188
g023_exception_override,closure,a0.3_b0.3,0.3,0.3,5.66107177734375,5.66107177734375
g023_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.03526878356933594,0.03526878356933594
g023_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.018400192260742188,0.018400192260742188
g023_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g023_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g024_clean,stable,a0.0_b0.0,0.0,0.0,-0.018871784210205078,0.018871784210205078
g024_closure_override,closure,a0.3_b0.3,0.3,0.3,2.9572134017944336,2.9572134017944336
g024_closure_update,closure,a0.3_b0.3,0.3,0.3,0.9276080131530762,0.9276080131530762
g024_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g024_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.0013427734375,0.0013427734375
g024_exception_override,closure,a0.3_b0.3,0.3,0.3,4.07063889503479,4.07063889503479
g024_irrelevant,stable,a0.0_b0.0,0.0,0.0,-0.024272918701171875,0.024272918701171875
g024_paraphrase,stable,a0.0_b0.0,0.0,0.0,-0.0043811798095703125,0.0043811798095703125
g024_redundant,stable,a0.0_b0.0,0.0,0.0,-0.02684640884399414,0.02684640884399414
g024_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g025_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g025_closure_override,closure,a0.3_b0.3,0.3,0.3,3.2003304958343506,3.2003304958343506
g025_closure_update,closure,a0.3_b0.3,0.3,0.3,2.0621254444122314,2.0621254444122314
g025_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g025_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.0006017684936523438,0.0006017684936523438
g025_exception_override,closure,a0.3_b0.3,0.3,0.3,3.465271472930908,3.465271472930908
g025_irrelevant,stable,a0.0_b0.3,0.0,0.3,0.029099106788635254,0.029099106788635254
g025_paraphrase,stable,a0.0_b0.0,0.0,0.0,-0.009783744812011719,0.009783744812011719
g025_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g025_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g027_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g027_closure_override,closure,a0.3_b0.3,0.3,0.3,1.7997522354125977,1.7997522354125977
g027_closure_update,closure,a0.3_b0.3,0.3,0.3,2.2338449954986572,2.2338449954986572
g027_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g027_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g027_exception_override,closure,a0.3_b0.3,0.3,0.3,2.187462329864502,2.187462329864502
g027_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g027_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g027_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g027_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g028_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g028_closure_override,closure,a0.3_b0.3,0.3,0.3,3.8277978897094727,3.8277978897094727
g028_closure_update,closure,a0.3_b0.3,0.3,0.3,3.1708297729492188,3.1708297729492188
g028_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g028_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g028_exception_override,closure,a0.3_b0.3,0.3,0.3,4.565339088439941,4.565339088439941
g028_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g028_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g028_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g028_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g029_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g029_closure_override,closure,a0.3_b0.3,0.3,0.3,4.053918123245239,4.053918123245239
g029_closure_update,closure,a0.3_b0.3,0.3,0.3,3.532905340194702,3.532905340194702
g029_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g029_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g029_exception_override,closure,a0.3_b0.3,0.3,0.3,6.0989930629730225,6.0989930629730225
g029_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g029_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g029_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g029_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g032_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g032_closure_override,closure,a0.3_b0.3,0.3,0.3,2.853029489517212,2.853029489517212
g032_closure_update,closure,a0.3_b0.3,0.3,0.3,3.127911329269409,3.127911329269409
g032_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g032_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g032_exception_override,closure,a0.3_b0.3,0.3,0.3,2.448883295059204,2.448883295059204
g032_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g032_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g032_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g032_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g034_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g034_closure_override,closure,a0.3_b0.3,0.3,0.3,4.363731384277344,4.363731384277344
g034_closure_update,closure,a0.3_b0.3,0.3,0.3,4.81356143951416,4.81356143951416
g034_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g034_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g034_exception_override,closure,a0.3_b0.3,0.3,0.3,4.181356430053711,4.181356430053711
g034_irrelevant,stable,a0.0_b0.3,0.0,0.3,0.03954124450683594,0.03954124450683594
g034_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0039691925048828125,0.0039691925048828125
