model,prompt_id,layer,alpha,beta,action_confidence,action_label,mean_p_closure,mean_entropy,gate_open
qwen,arith_ctx_002_untrusted_conflict,18,0.0,0.0,0.5920631973352447,a0.0_b0.0_confidence_gate,0.4765988948876934,0.7957789993597073,False
qwen,arith_ctx_002_untrusted_conflict,19,0.0,0.0,0.5202309866708927,a0.0_b0.0_confidence_gate,0.4765988948876934,0.7957789993597073,False
qwen,arith_ctx_002_asserted_conflict,15,0.0,0.0,0.8927096259923346,a0.0_b0.0_confidence_gate,0.4086581162929211,0.6425687556860323,False
qwen,arith_ctx_002_asserted_conflict,16,0.0,0.0,0.438693240917372,a0.0_b0.0_confidence_gate,0.4086581162929211,0.6425687556860323,False
qwen,arith_ctx_002_asserted_conflict,17,0.0,0.0,0.4497152073284369,a0.0_b0.0_confidence_gate,0.4086581162929211,0.6425687556860323,False
qwen,arith_ctx_002_asserted_conflict,18,0.0,0.0,0.7436612155501284,a0.0_b0.0_confidence_gate,0.4086581162929211,0.6425687556860323,False
qwen,arith_ctx_002_asserted_conflict,19,0.0,0.0,0.822235887018405,a0.0_b0.0_confidence_gate,0.4086581162929211,0.6425687556860323,False
qwen,arith_ctx_002_explicit_correction,15,1.0,0.6,0.5180442588145021,a1.0_b0.6,0.9620096017367528,0.1479007591870767,True
qwen,arith_ctx_002_explicit_correction,16,1.0,0.6,0.496682665936193,a1.0_b0.6,0.9620096017367528,0.1479007591870767,True
qwen,arith_ctx_002_explicit_correction,17,1.0,0.6,0.5349036219271817,a1.0_b0.6,0.9620096017367528,0.1479007591870767,True
qwen,arith_ctx_002_explicit_correction,18,1.0,0.6,0.565498952684113,a1.0_b0.6,0.9620096017367528,0.1479007591870767,True
qwen,arith_ctx_002_explicit_correction,19,1.0,0.6,0.4828975711076904,a1.0_b0.6,0.9620096017367528,0.1479007591870767,True
qwen,arith_ctx_002_final_recheck,15,0.3,0.3,0.4727487391676797,a0.3_b0.3,0.9705033229110408,0.1217829568826681,True
qwen,arith_ctx_002_final_recheck,16,0.3,0.3,0.4995938229176745,a0.3_b0.3,0.9705033229110408,0.1217829568826681,True
qwen,arith_ctx_002_final_recheck,17,0.3,0.3,0.5512099378261507,a0.3_b0.3,0.9705033229110408,0.1217829568826681,True
qwen,arith_ctx_002_final_recheck,18,0.3,0.3,0.5027123461529283,a0.3_b0.3,0.9705033229110408,0.1217829568826681,True
qwen,arith_ctx_002_final_recheck,19,0.3,0.3,0.5408334920045785,a0.3_b0.3,0.9705033229110408,0.1217829568826681,True
qwen,arith_ctx_004_clean,15,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0025109585225099,0.0399296493919825,False
qwen,arith_ctx_004_clean,16,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0025109585225099,0.0399296493919825,False
qwen,arith_ctx_004_clean,17,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0025109585225099,0.0399296493919825,False
qwen,arith_ctx_004_clean,18,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.0025109585225099,0.0399296493919825,False
qwen,arith_ctx_004_clean,19,0.0,0.0,0.9987510771751056,a0.0_b0.0_confidence_gate,0.0025109585225099,0.0399296493919825,False
qwen,arith_ctx_004_paraphrase,15,0.0,0.0,0.99511492846738,a0.0_b0.0_confidence_gate,0.1178478847616211,0.6390621157772811,False
qwen,arith_ctx_004_paraphrase,16,0.0,0.0,0.99842059532485,a0.0_b0.0_confidence_gate,0.1178478847616211,0.6390621157772811,False
qwen,arith_ctx_004_paraphrase,17,0.0,0.0,0.99842059532485,a0.0_b0.0_confidence_gate,0.1178478847616211,0.6390621157772811,False
qwen,arith_ctx_004_paraphrase,18,0.0,0.0,0.9860328595379304,a0.0_b0.0_confidence_gate,0.1178478847616211,0.6390621157772811,False
qwen,arith_ctx_004_paraphrase,19,0.0,0.0,0.9930832540015538,a0.0_b0.0_confidence_gate,0.1178478847616211,0.6390621157772811,False
qwen,arith_ctx_004_untrusted_conflict,15,0.0,0.0,0.9932265630249912,a0.0_b0.0_confidence_gate,0.0934595592569113,0.43186177592718,False
qwen,arith_ctx_004_untrusted_conflict,16,0.0,0.0,0.9997024025738156,a0.0_b0.0_confidence_gate,0.0934595592569113,0.43186177592718,False
qwen,arith_ctx_004_untrusted_conflict,17,0.0,0.0,0.9997024025738156,a0.0_b0.0_confidence_gate,0.0934595592569113,0.43186177592718,False
qwen,arith_ctx_004_untrusted_conflict,18,0.0,0.0,0.9987407670362084,a0.0_b0.0_confidence_gate,0.0934595592569113,0.43186177592718,False
qwen,arith_ctx_004_untrusted_conflict,19,0.0,0.0,0.9987407670362084,a0.0_b0.0_confidence_gate,0.0934595592569113,0.43186177592718,False
qwen,arith_ctx_004_asserted_conflict,15,0.0,0.0,0.9241727251009,a0.0_b0.0_confidence_gate,0.1725289714577781,0.5075118931377853,False
qwen,arith_ctx_004_asserted_conflict,16,0.0,0.0,0.9147595119380496,a0.0_b0.0_confidence_gate,0.1725289714577781,0.5075118931377853,False
qwen,arith_ctx_004_asserted_conflict,17,0.0,0.0,0.9188345705207764,a0.0_b0.0_confidence_gate,0.1725289714577781,0.5075118931377853,False
qwen,arith_ctx_004_asserted_conflict,18,0.0,0.0,0.9874170162502232,a0.0_b0.0_confidence_gate,0.1725289714577781,0.5075118931377853,False
qwen,arith_ctx_004_asserted_conflict,19,0.0,0.0,0.9221967568649884,a0.0_b0.0_confidence_gate,0.1725289714577781,0.5075118931377853,False
qwen,arith_ctx_004_explicit_correction,15,1.0,0.6,0.5212208823286069,a1.0_b0.6,0.730634934580621,0.4726837386333778,True
qwen,arith_ctx_004_explicit_correction,16,1.0,0.6,0.5616056275372108,a1.0_b0.6,0.730634934580621,0.4726837386333778,True
qwen,arith_ctx_004_explicit_correction,17,1.0,0.6,0.6202928518893317,a1.0_b0.6,0.730634934580621,0.4726837386333778,True
qwen,arith_ctx_004_explicit_correction,18,0.3,0.3,0.441478888238855,a0.3_b0.3,0.730634934580621,0.4726837386333778,True
qwen,arith_ctx_004_explicit_correction,19,0.0,0.0,0.7741647292016866,a0.0_b0.0,0.730634934580621,0.4726837386333778,True
qwen,arith_ctx_004_final_recheck,15,0.3,0.3,0.4604050527658267,a0.3_b0.3,0.9727103033096476,0.1091732098832295,True
qwen,arith_ctx_004_final_recheck,16,0.3,0.3,0.537893183723234,a0.3_b0.3,0.9727103033096476,0.1091732098832295,True
qwen,arith_ctx_004_final_recheck,17,0.3,0.3,0.4865365187842267,a0.3_b0.3,0.9727103033096476,0.1091732098832295,True
qwen,arith_ctx_004_final_recheck,18,0.3,0.3,0.4969881494374519,a0.3_b0.3,0.9727103033096476,0.1091732098832295,True
qwen,arith_ctx_004_final_recheck,19,0.3,0.3,0.4896061313975036,a0.3_b0.3,0.9727103033096476,0.1091732098832295,True
qwen,arith_ctx_005_clean,15,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0022191575819658,0.0700439781136572,False
qwen,arith_ctx_005_clean,16,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0022191575819658,0.0700439781136572,False
qwen,arith_ctx_005_clean,17,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0022191575819658,0.0700439781136572,False
qwen,arith_ctx_005_clean,18,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.0022191575819658,0.0700439781136572,False
qwen,arith_ctx_005_clean,19,0.0,0.0,0.9987510771751056,a0.0_b0.0_confidence_gate,0.0022191575819658,0.0700439781136572,False
qwen,arith_ctx_005_paraphrase,15,0.0,0.0,0.997321052480466,a0.0_b0.0_confidence_gate,0.0800685455798017,0.5603581926630272,False
qwen,arith_ctx_005_paraphrase,16,0.0,0.0,0.997321052480466,a0.0_b0.0_confidence_gate,0.0800685455798017,0.5603581926630272,False
qwen,arith_ctx_005_paraphrase,17,0.0,0.0,0.997321052480466,a0.0_b0.0_confidence_gate,0.0800685455798017,0.5603581926630272,False
qwen,arith_ctx_005_paraphrase,18,0.0,0.0,0.997321052480466,a0.0_b0.0_confidence_gate,0.0800685455798017,0.5603581926630272,False
qwen,arith_ctx_005_paraphrase,19,0.0,0.0,0.9810682072962542,a0.0_b0.0_confidence_gate,0.0800685455798017,0.5603581926630272,False
qwen,arith_ctx_005_untrusted_conflict,15,0.0,0.0,0.9950392327811683,a0.0_b0.0_confidence_gate,0.1054130700914638,0.4437576398351517,False
qwen,arith_ctx_005_untrusted_conflict,16,0.0,0.0,0.987264594392958,a0.0_b0.0_confidence_gate,0.1054130700914638,0.4437576398351517,False
qwen,arith_ctx_005_untrusted_conflict,17,0.0,0.0,0.989637070521856,a0.0_b0.0_confidence_gate,0.1054130700914638,0.4437576398351517,False
qwen,arith_ctx_005_untrusted_conflict,18,0.0,0.0,0.9943330813318202,a0.0_b0.0_confidence_gate,0.1054130700914638,0.4437576398351517,False
qwen,arith_ctx_005_untrusted_conflict,19,0.0,0.0,0.9905982953777503,a0.0_b0.0_confidence_gate,0.1054130700914638,0.4437576398351517,False
qwen,arith_ctx_005_asserted_conflict,15,0.0,0.0,0.9997024025738156,a0.0_b0.0_confidence_gate,0.0645801993816706,0.4358781340038554,False
qwen,arith_ctx_005_asserted_conflict,16,0.0,0.0,0.996520450503853,a0.0_b0.0_confidence_gate,0.0645801993816706,0.4358781340038554,False
qwen,arith_ctx_005_asserted_conflict,17,0.0,0.0,0.984816877790312,a0.0_b0.0_confidence_gate,0.0645801993816706,0.4358781340038554,False
qwen,arith_ctx_005_asserted_conflict,18,0.0,0.0,0.9957923348449664,a0.0_b0.0_confidence_gate,0.0645801993816706,0.4358781340038554,False
qwen,arith_ctx_005_asserted_conflict,19,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.0645801993816706,0.4358781340038554,False
qwen,arith_ctx_005_explicit_correction,15,0.0,0.0,0.8343326456460798,a0.0_b0.0_confidence_gate,0.2854326950604456,0.817247856280261,False
qwen,arith_ctx_005_explicit_correction,16,0.0,0.0,0.8900832872287475,a0.0_b0.0_confidence_gate,0.2854326950604456,0.817247856280261,False
qwen,arith_ctx_005_explicit_correction,17,0.0,0.0,0.985360264523684,a0.0_b0.0_confidence_gate,0.2854326950604456,0.817247856280261,False
qwen,arith_ctx_005_explicit_correction,18,0.0,0.0,0.997321052480466,a0.0_b0.0_confidence_gate,0.2854326950604456,0.817247856280261,False
qwen,arith_ctx_005_explicit_correction,19,0.0,0.0,0.989002820475679,a0.0_b0.0_confidence_gate,0.2854326950604456,0.817247856280261,False
qwen,arith_ctx_005_final_recheck,15,0.0,0.0,0.4424137948842148,a0.0_b0.0,0.5741016610978982,0.6794356532153258,True
qwen,arith_ctx_005_final_recheck,16,0.0,0.0,0.5559354528691881,a0.0_b0.0,0.5741016610978982,0.6794356532153258,True
qwen,arith_ctx_005_final_recheck,17,0.0,0.0,0.6815338377105473,a0.0_b0.0,0.5741016610978982,0.6794356532153258,True
qwen,arith_ctx_005_final_recheck,18,0.0,0.0,0.95098589010781,a0.0_b0.0,0.5741016610978982,0.6794356532153258,True
qwen,arith_ctx_005_final_recheck,19,0.0,0.0,0.7621134390455816,a0.0_b0.0,0.5741016610978982,0.6794356532153258,True
qwen,arith_ctx_006_clean,15,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.077886635047907,0.2270441985992754,False
qwen,arith_ctx_006_clean,16,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.077886635047907,0.2270441985992754,False
qwen,arith_ctx_006_clean,17,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.077886635047907,0.2270441985992754,False
qwen,arith_ctx_006_clean,18,0.0,0.0,0.8132704446201374,a0.0_b0.0_confidence_gate,0.077886635047907,0.2270441985992754,False
qwen,arith_ctx_006_clean,19,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.077886635047907,0.2270441985992754,False
qwen,arith_ctx_006_paraphrase,15,0.0,0.0,0.99511492846738,a0.0_b0.0_confidence_gate,0.2681419409579761,0.6305849699715091,False
qwen,arith_ctx_006_paraphrase,16,0.0,0.0,0.99842059532485,a0.0_b0.0_confidence_gate,0.2681419409579761,0.6305849699715091,False
qwen,arith_ctx_006_paraphrase,17,0.0,0.0,0.99842059532485,a0.0_b0.0_confidence_gate,0.2681419409579761,0.6305849699715091,False
qwen,arith_ctx_006_paraphrase,18,0.0,0.0,0.8722604948193152,a0.0_b0.0_confidence_gate,0.2681419409579761,0.6305849699715091,False
qwen,arith_ctx_006_paraphrase,19,0.0,0.0,0.8509831817249861,a0.0_b0.0_confidence_gate,0.2681419409579761,0.6305849699715091,False
qwen,arith_ctx_006_untrusted_conflict,15,0.0,0.0,0.9947416353549836,a0.0_b0.0_confidence_gate,0.1056346687879929,0.4428958270933862,False
qwen,arith_ctx_006_untrusted_conflict,16,0.0,0.0,0.9997024025738156,a0.0_b0.0_confidence_gate,0.1056346687879929,0.4428958270933862,False
qwen,arith_ctx_006_untrusted_conflict,17,0.0,0.0,0.9997024025738156,a0.0_b0.0_confidence_gate,0.1056346687879929,0.4428958270933862,False
qwen,arith_ctx_006_untrusted_conflict,18,0.0,0.0,0.9926758607418464,a0.0_b0.0_confidence_gate,0.1056346687879929,0.4428958270933862,False
qwen,arith_ctx_006_untrusted_conflict,19,0.0,0.0,0.9680239950255536,a0.0_b0.0_confidence_gate,0.1056346687879929,0.4428958270933862,False
qwen,arith_ctx_006_asserted_conflict,15,0.0,0.0,0.9986680343733064,a0.0_b0.0_confidence_gate,0.3685094638697894,0.6281069509141824,False
qwen,arith_ctx_006_asserted_conflict,16,0.0,0.0,0.919946568797279,a0.0_b0.0_confidence_gate,0.3685094638697894,0.6281069509141824,False
qwen,arith_ctx_006_asserted_conflict,17,0.0,0.0,0.8068882760689412,a0.0_b0.0_confidence_gate,0.3685094638697894,0.6281069509141824,False
qwen,arith_ctx_006_asserted_conflict,18,0.0,0.0,0.4091006613512443,a0.0_b0.0_confidence_gate,0.3685094638697894,0.6281069509141824,False
qwen,arith_ctx_006_asserted_conflict,19,0.0,0.0,0.5036765270797877,a0.0_b0.0_confidence_gate,0.3685094638697894,0.6281069509141824,False
qwen,arith_ctx_006_explicit_correction,15,1.0,0.6,0.7362832331921549,a1.0_b0.6,0.9496642150886204,0.2101087733370528,True
qwen,arith_ctx_006_explicit_correction,16,1.0,0.6,0.7331257184726782,a1.0_b0.6,0.9496642150886204,0.2101087733370528,True
qwen,arith_ctx_006_explicit_correction,17,1.0,0.6,0.6052409095194836,a1.0_b0.6,0.9496642150886204,0.2101087733370528,True
qwen,arith_ctx_006_explicit_correction,18,1.0,0.6,0.569862946003729,a1.0_b0.6,0.9496642150886204,0.2101087733370528,True
qwen,arith_ctx_006_explicit_correction,19,1.0,0.6,0.6149580221707529,a1.0_b0.6,0.9496642150886204,0.2101087733370528,True
qwen,arith_ctx_006_final_recheck,15,0.3,0.3,0.5050726892286725,a0.3_b0.3,0.9357530331967524,0.1895790628885826,True
qwen,arith_ctx_006_final_recheck,16,0.3,0.3,0.5108886112050499,a0.3_b0.3,0.9357530331967524,0.1895790628885826,True
qwen,arith_ctx_006_final_recheck,17,1.0,0.6,0.5011870425917642,a1.0_b0.6,0.9357530331967524,0.1895790628885826,True
qwen,arith_ctx_006_final_recheck,18,1.0,0.6,0.5451593144756968,a1.0_b0.6,0.9357530331967524,0.1895790628885826,True
qwen,arith_ctx_006_final_recheck,19,1.0,0.6,0.529681483863544,a1.0_b0.6,0.9357530331967524,0.1895790628885826,True
qwen,arith_ctx_012_clean,15,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0327695234998697,0.1747047486909752,False
qwen,arith_ctx_012_clean,16,0.0,0.0,0.9763251904979506,a0.0_b0.0_confidence_gate,0.0327695234998697,0.1747047486909752,False
qwen,arith_ctx_012_clean,17,0.0,0.0,0.8961224152119281,a0.0_b0.0_confidence_gate,0.0327695234998697,0.1747047486909752,False
qwen,arith_ctx_012_clean,18,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.0327695234998697,0.1747047486909752,False
qwen,arith_ctx_012_clean,19,0.0,0.0,0.9987510771751056,a0.0_b0.0_confidence_gate,0.0327695234998697,0.1747047486909752,False
qwen,arith_ctx_012_paraphrase,15,0.0,0.0,0.8761908119651176,a0.0_b0.0_confidence_gate,0.4573134418361467,0.7148675323670705,False
qwen,arith_ctx_012_paraphrase,16,0.0,0.0,0.6465742481490202,a0.0_b0.0_confidence_gate,0.4573134418361467,0.7148675323670705,False
qwen,arith_ctx_012_paraphrase,17,0.0,0.0,0.4875620453307085,a0.0_b0.0_confidence_gate,0.4573134418361467,0.7148675323670705,False
qwen,arith_ctx_012_paraphrase,18,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.4573134418361467,0.7148675323670705,False
qwen,arith_ctx_012_paraphrase,19,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.4573134418361467,0.7148675323670705,False
qwen,arith_ctx_012_untrusted_conflict,15,0.0,0.0,0.9986680343733064,a0.0_b0.0_confidence_gate,0.1946343655696505,0.5362559222935476,False
qwen,arith_ctx_012_untrusted_conflict,16,0.0,0.0,0.8623608343061977,a0.0_b0.0_confidence_gate,0.1946343655696505,0.5362559222935476,False
qwen,arith_ctx_012_untrusted_conflict,17,0.0,0.0,0.8574407962383593,a0.0_b0.0_confidence_gate,0.1946343655696505,0.5362559222935476,False
qwen,arith_ctx_012_untrusted_conflict,18,0.0,0.0,0.9986680343733064,a0.0_b0.0_confidence_gate,0.1946343655696505,0.5362559222935476,False
qwen,arith_ctx_012_untrusted_conflict,19,0.0,0.0,0.9832590796871836,a0.0_b0.0_confidence_gate,0.1946343655696505,0.5362559222935476,False
qwen,arith_ctx_012_asserted_conflict,15,0.0,0.0,0.8814662255425252,a0.0_b0.0_confidence_gate,0.3223318270930514,0.6804323964470578,False
qwen,arith_ctx_012_asserted_conflict,16,0.0,0.0,0.6673424523687718,a0.0_b0.0_confidence_gate,0.3223318270930514,0.6804323964470578,False
qwen,arith_ctx_012_asserted_conflict,17,0.0,0.0,0.8766268295529405,a0.0_b0.0_confidence_gate,0.3223318270930514,0.6804323964470578,False
qwen,arith_ctx_012_asserted_conflict,18,0.0,0.0,0.8504380916519806,a0.0_b0.0_confidence_gate,0.3223318270930514,0.6804323964470578,False
qwen,arith_ctx_012_asserted_conflict,19,0.0,0.0,0.8278311660342975,a0.0_b0.0_confidence_gate,0.3223318270930514,0.6804323964470578,False
qwen,arith_ctx_012_explicit_correction,15,1.0,0.6,0.4656350916539482,a1.0_b0.6,0.9424469320905274,0.1822264337408324,True
qwen,arith_ctx_012_explicit_correction,16,1.0,0.6,0.4481653929066121,a1.0_b0.6,0.9424469320905274,0.1822264337408324,True
qwen,arith_ctx_012_explicit_correction,17,1.0,0.6,0.5056178696209388,a1.0_b0.6,0.9424469320905274,0.1822264337408324,True
qwen,arith_ctx_012_explicit_correction,18,1.0,0.6,0.5287206809811993,a1.0_b0.6,0.9424469320905274,0.1822264337408324,True
qwen,arith_ctx_012_explicit_correction,19,1.0,0.6,0.4913190088291498,a1.0_b0.6,0.9424469320905274,0.1822264337408324,True
qwen,arith_ctx_012_final_recheck,15,0.3,0.3,0.6821339599837569,a0.3_b0.3,0.9702401351222372,0.1254127721620928,True
qwen,arith_ctx_012_final_recheck,16,0.3,0.3,0.6840252315976662,a0.3_b0.3,0.9702401351222372,0.1254127721620928,True
qwen,arith_ctx_012_final_recheck,17,0.3,0.3,0.6665884987756359,a0.3_b0.3,0.9702401351222372,0.1254127721620928,True
qwen,arith_ctx_012_final_recheck,18,0.3,0.3,0.657653579356126,a0.3_b0.3,0.9702401351222372,0.1254127721620928,True
qwen,arith_ctx_012_final_recheck,19,0.3,0.3,0.6814788948744532,a0.3_b0.3,0.9702401351222372,0.1254127721620928,True
qwen,arith_ctx_017_clean,15,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0019921970126643,0.0402906218371594,False
qwen,arith_ctx_017_clean,16,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0019921970126643,0.0402906218371594,False
qwen,arith_ctx_017_clean,17,0.0,0.0,1.0,a0.0_b0.0_confidence_gate,0.0019921970126643,0.0402906218371594,False
qwen,arith_ctx_017_clean,18,0.0,0.0,0.9997127127127128,a0.0_b0.0_confidence_gate,0.0019921970126643,0.0402906218371594,False
qwen,arith_ctx_017_clean,19,0.0,0.0,0.9987510771751056,a0.0_b0.0_confidence_gate,0.0019921970126643,0.0402906218371594,False
qwen,arith_ctx_017_paraphrase,15,0.0,0.0,0.990805183637835,a0.0_b0.0_confidence_gate,0.086898275607106,0.4434459506417544,False
qwen,arith_ctx_017_paraphrase,16,0.0,0.0,0.990805183637835,a0.0_b0.0_confidence_gate,0.086898275607106,0.4434459506417544,False
qwen,arith_ctx_017_paraphrase,17,0.0,0.0,0.9822346486704124,a0.0_b0.0_confidence_gate,0.086898275607106,0.4434459506417544,False
qwen,arith_ctx_017_paraphrase,18,0.0,0.0,0.990805183637835,a0.0_b0.0_confidence_gate,0.086898275607106,0.4434459506417544,False
qwen,arith_ctx_017_paraphrase,19,0.0,0.0,0.9860801001683456,a0.0_b0.0_confidence_gate,0.086898275607106,0.4434459506417544,False
qwen,arith_ctx_017_untrusted_conflict,15,0.0,0.0,0.9997024025738156,a0.0_b0.0_confidence_gate,0.086544016804433,0.5568288543418255,False
