model,prompt_id,problem_group,condition,mechanism,consistent_label,distractor_label,baseline_top1_token_id,baseline_top1_class,baseline_consistent_minus_distractor_margin,baseline_task_coordinate,intervened_top1_token_id,intervened_top1_class,intervened_consistent_minus_distractor_margin,intervened_task_coordinate
qwen,arith_ctx_019_explicit_correction,19,explicit_correction,closure,zero,twenty,7168,consistent,8.609375,4.718917846679688,7168,consistent,8.609375,4.718917846679688
qwen,arith_ctx_019_final_recheck,19,final_recheck,closure,zero,twenty,7168,consistent,9.375,3.332716226577759,7168,consistent,9.203125,0.887427806854248
qwen,arith_ctx_021_clean,21,clean,stable,sixteen,fourteen,58039,consistent,6.671875,1.28325355052948,58039,consistent,6.671875,1.28325355052948
qwen,arith_ctx_021_paraphrase,21,paraphrase,stable,sixteen,fourteen,58039,consistent,6.828125,0.0588667392730712,58039,consistent,6.828125,0.0588667392730712
qwen,arith_ctx_021_untrusted_conflict,21,untrusted_conflict,competition,sixteen,fourteen,58039,consistent,5.78125,1.9837067127227783,58039,consistent,5.78125,1.9837067127227783
qwen,arith_ctx_021_asserted_conflict,21,asserted_conflict,competition,sixteen,fourteen,58039,consistent,6.15625,0.3859657049179077,58039,consistent,6.15625,0.3859657049179077
qwen,arith_ctx_021_explicit_correction,21,explicit_correction,closure,sixteen,fourteen,58039,consistent,7.53125,-1.3903868198394775,58039,consistent,5.46875,0.3707591295242309
qwen,arith_ctx_021_final_recheck,21,final_recheck,closure,sixteen,fourteen,58039,consistent,6.40625,0.9059163331985474,58039,consistent,5.421875,3.264036178588867
qwen,arith_ctx_029_clean,29,clean,stable,twelve,nine,29235,consistent,13.265625,1.2939571142196655,29235,consistent,13.265625,1.2939571142196655
qwen,arith_ctx_029_paraphrase,29,paraphrase,stable,twelve,nine,29235,consistent,8.28125,7.957966804504394,29235,consistent,8.28125,7.957966804504394
qwen,arith_ctx_029_untrusted_conflict,29,untrusted_conflict,competition,twelve,nine,29235,consistent,11.734375,4.229301452636719,29235,consistent,11.734375,4.229301452636719
qwen,arith_ctx_029_asserted_conflict,29,asserted_conflict,competition,twelve,nine,29235,consistent,11.0625,2.892368793487549,29235,consistent,11.0625,2.892368793487549
qwen,arith_ctx_029_explicit_correction,29,explicit_correction,closure,twelve,nine,29235,consistent,13.03125,0.9711747169494628,29235,consistent,13.03125,0.9711747169494628
qwen,arith_ctx_029_final_recheck,29,final_recheck,closure,twelve,nine,29235,consistent,10.375,0.2503329515457153,29235,consistent,10.375,0.2503329515457153
qwen,arith_ctx_030_clean,30,clean,stable,ten,eleven,29235,other,-0.53125,1.3308537006378174,29235,other,-0.53125,1.3308537006378174
qwen,arith_ctx_030_paraphrase,30,paraphrase,stable,ten,eleven,44214,distractor,-0.953125,0.8646494746208191,44214,distractor,-0.953125,0.8646494746208191
qwen,arith_ctx_030_untrusted_conflict,30,untrusted_conflict,competition,ten,eleven,29235,other,-0.71875,1.5006122589111328,29235,other,-0.71875,1.5006122589111328
qwen,arith_ctx_030_asserted_conflict,30,asserted_conflict,competition,ten,eleven,29235,other,-0.5625,1.3642140626907349,44214,distractor,-2.765625,7.206738471984863
qwen,arith_ctx_030_explicit_correction,30,explicit_correction,closure,ten,eleven,5779,consistent,1.65625,-2.609132766723633,44214,distractor,-1.171875,4.351224899291992
qwen,arith_ctx_030_final_recheck,30,final_recheck,closure,ten,eleven,5779,consistent,0.25,-1.3633580207824707,44214,distractor,-0.421875,1.3341277837753296
qwen,arith_ctx_034_clean,34,clean,stable,nineteen,one,825,distractor,-0.1875,1.2831857204437256,825,distractor,-0.1875,1.2831857204437256
qwen,arith_ctx_034_paraphrase,34,paraphrase,stable,nineteen,one,93835,consistent,0.921875,4.429544448852539,93835,consistent,0.921875,4.429544448852539
qwen,arith_ctx_034_untrusted_conflict,34,untrusted_conflict,competition,nineteen,one,825,distractor,-1.359375,5.190936088562012,825,distractor,-1.359375,5.190936088562012
qwen,arith_ctx_034_asserted_conflict,34,asserted_conflict,competition,nineteen,one,93835,consistent,3.78125,-10.950654983520508,93835,consistent,3.78125,-10.950654983520508
qwen,arith_ctx_034_explicit_correction,34,explicit_correction,closure,nineteen,one,93835,consistent,3.453125,-6.822070121765137,93835,consistent,2.53125,-9.308709144592283
qwen,arith_ctx_034_final_recheck,34,final_recheck,closure,nineteen,one,93835,consistent,4.90625,-19.672382354736328,93835,consistent,4.328125,-17.032514572143555
qwen,arith_ctx_038_clean,38,clean,stable,thirteen,fifteen,36655,distractor,-4.65625,1.3295918703079224,36655,distractor,-4.65625,1.3295918703079224
qwen,arith_ctx_038_paraphrase,38,paraphrase,stable,thirteen,fifteen,36655,distractor,-4.234375,0.9712478518486024,36655,distractor,-4.234375,0.9712478518486024
qwen,arith_ctx_038_untrusted_conflict,38,untrusted_conflict,competition,thirteen,fifteen,36655,distractor,-5.09375,1.8449621200561523,36655,distractor,-5.09375,1.8449621200561523
qwen,arith_ctx_038_asserted_conflict,38,asserted_conflict,competition,thirteen,fifteen,36655,distractor,-3.609375,0.6778031587600708,36655,distractor,-3.609375,0.6778031587600708
qwen,arith_ctx_038_explicit_correction,38,explicit_correction,closure,thirteen,fifteen,36655,distractor,-2.875,-1.799342155456543,36655,distractor,-2.453125,-2.3872408866882324
qwen,arith_ctx_038_final_recheck,38,final_recheck,closure,thirteen,fifteen,36655,distractor,-1.953125,-3.1259777545928955,36655,distractor,-1.28125,-5.36746883392334
qwen,arith_ctx_040_clean,40,clean,stable,three,six,4743,distractor,-5.890625,1.2831857204437256,4743,distractor,-5.890625,1.2831857204437256
qwen,arith_ctx_040_paraphrase,40,paraphrase,stable,three,six,4743,distractor,-4.921875,0.795276403427124,4743,distractor,-4.921875,0.795276403427124
qwen,arith_ctx_040_untrusted_conflict,40,untrusted_conflict,competition,three,six,4743,distractor,-6.28125,0.3871156573295593,4743,distractor,-6.28125,0.3871156573295593
qwen,arith_ctx_040_asserted_conflict,40,asserted_conflict,competition,three,six,4743,distractor,-3.234375,-4.528581619262695,4743,distractor,-3.109375,-4.042545318603516
qwen,arith_ctx_040_explicit_correction,40,explicit_correction,closure,three,six,4743,distractor,-3.375,-5.310734748840332,4743,distractor,-2.828125,-5.605025291442871
qwen,arith_ctx_040_final_recheck,40,final_recheck,closure,three,six,4743,distractor,-1.3125,-10.449979782104492,2326,consistent,0.1875,-12.80941677093506
qwen,arith_ctx_043_clean,43,clean,stable,eighteen,seventeen,62034,consistent,7.765625,1.2751363515853882,62034,consistent,7.765625,1.2751363515853882
qwen,arith_ctx_043_paraphrase,43,paraphrase,stable,eighteen,seventeen,62034,consistent,7.109375,2.0132734775543213,62034,consistent,7.109375,2.0132734775543213
qwen,arith_ctx_043_untrusted_conflict,43,untrusted_conflict,competition,eighteen,seventeen,62034,consistent,5.03125,4.908979415893555,62034,consistent,5.03125,4.908979415893555
qwen,arith_ctx_043_asserted_conflict,43,asserted_conflict,competition,eighteen,seventeen,62034,consistent,5.296875,3.8626511096954346,62034,consistent,5.296875,3.8626511096954346
qwen,arith_ctx_043_explicit_correction,43,explicit_correction,closure,eighteen,seventeen,62034,consistent,7.28125,0.8066684603691101,62034,consistent,7.28125,0.8066684603691101
qwen,arith_ctx_043_final_recheck,43,final_recheck,closure,eighteen,seventeen,62034,consistent,4.9375,3.653058052062988,62034,consistent,4.9375,3.653058052062988
qwen,arith_ctx_048_clean,48,clean,stable,fourteen,fifteen,36655,distractor,-7.078125,1.2831857204437256,36655,distractor,-7.078125,1.2831857204437256
qwen,arith_ctx_048_paraphrase,48,paraphrase,stable,fourteen,fifteen,36655,distractor,-5.453125,-0.3637033700942993,36655,distractor,-5.453125,-0.3637033700942993
qwen,arith_ctx_048_untrusted_conflict,48,untrusted_conflict,competition,fourteen,fifteen,36655,distractor,-7.609375,1.574810028076172,36655,distractor,-7.609375,1.574810028076172
qwen,arith_ctx_048_asserted_conflict,48,asserted_conflict,competition,fourteen,fifteen,36655,distractor,-5.5625,-0.1055567264556884,36655,distractor,-5.5625,-0.1055567264556884
qwen,arith_ctx_048_explicit_correction,48,explicit_correction,closure,fourteen,fifteen,36655,distractor,-5.0625,-1.2368450164794922,36655,distractor,-2.859375,-6.165891647338867
qwen,arith_ctx_048_final_recheck,48,final_recheck,closure,fourteen,fifteen,36655,distractor,-3.046875,-6.950375556945801,36655,distractor,-2.65625,-6.111608505249023
qwen,arith_ctx_051_clean,51,clean,stable,five,three,4236,consistent,6.984375,1.3299720287322998,4236,consistent,6.984375,1.3299720287322998
qwen,arith_ctx_051_paraphrase,51,paraphrase,stable,five,three,4236,consistent,4.46875,5.922486305236816,4236,consistent,4.46875,5.922486305236816
qwen,arith_ctx_051_untrusted_conflict,51,untrusted_conflict,competition,five,three,4236,consistent,7.25,3.002284526824951,4236,consistent,7.25,3.002284526824951
qwen,arith_ctx_051_asserted_conflict,51,asserted_conflict,competition,five,three,4236,consistent,6.890625,1.1847268342971802,4236,consistent,6.890625,1.1847268342971802
qwen,arith_ctx_051_explicit_correction,51,explicit_correction,closure,five,three,4236,consistent,9.140625,-1.86395263671875,4236,consistent,5.78125,4.235800743103027
qwen,arith_ctx_051_final_recheck,51,final_recheck,closure,five,three,4236,consistent,8.4375,-4.587626457214356,4236,consistent,5.28125,4.32506275177002
qwen,arith_ctx_054_clean,54,clean,stable,twenty,zero,7168,distractor,-2.09375,1.2831857204437256,7168,distractor,-2.09375,1.2831857204437256
qwen,arith_ctx_054_paraphrase,54,paraphrase,stable,twenty,zero,7168,distractor,-3.484375,18.4917106628418,7168,distractor,-3.484375,18.4917106628418
qwen,arith_ctx_054_untrusted_conflict,54,untrusted_conflict,competition,twenty,zero,7168,distractor,-1.828125,-0.1566559076309204,7168,distractor,-1.828125,-0.1566559076309204
qwen,arith_ctx_054_asserted_conflict,54,asserted_conflict,competition,twenty,zero,7168,distractor,-1.296875,1.3656035661697388,7168,distractor,-1.296875,1.3656035661697388
qwen,arith_ctx_054_explicit_correction,54,explicit_correction,closure,twenty,zero,17073,consistent,0.171875,-5.405510902404785,7168,distractor,-1.09375,-2.9887640476226807
qwen,arith_ctx_054_final_recheck,54,final_recheck,closure,twenty,zero,17073,consistent,0.328125,-10.737349510192873,7168,distractor,-0.96875,-4.350339889526367
qwen,arith_ctx_057_clean,57,clean,stable,sixteen,fourteen,58039,consistent,5.71875,1.2831857204437256,58039,consistent,5.71875,1.2831857204437256
qwen,arith_ctx_057_paraphrase,57,paraphrase,stable,sixteen,fourteen,58039,consistent,5.265625,1.5163720846176147,58039,consistent,5.265625,1.5163720846176147
qwen,arith_ctx_057_untrusted_conflict,57,untrusted_conflict,competition,sixteen,fourteen,58039,consistent,4.84375,3.1792922019958496,58039,consistent,4.84375,3.1792922019958496
qwen,arith_ctx_057_asserted_conflict,57,asserted_conflict,competition,sixteen,fourteen,58039,consistent,5.453125,0.6917006969451904,58039,consistent,5.453125,0.6917006969451904
qwen,arith_ctx_057_explicit_correction,57,explicit_correction,closure,sixteen,fourteen,58039,consistent,6.515625,-0.5381374359130859,58039,consistent,6.515625,-0.5381374359130859
qwen,arith_ctx_057_final_recheck,57,final_recheck,closure,sixteen,fourteen,58039,consistent,6.578125,1.060538411140442,58039,consistent,6.578125,1.060538411140442
llama,arith_ctx_001_clean,1,clean,stable,two,one,1403,consistent,0.21875,0.5710499286651611,1403,consistent,0.21875,0.5710499286651611
llama,arith_ctx_001_paraphrase,1,paraphrase,stable,two,one,832,distractor,-0.15625,0.1713906228542328,832,distractor,-0.15625,0.1713906228542328
llama,arith_ctx_001_untrusted_conflict,1,untrusted_conflict,competition,two,one,832,distractor,-1.0,-0.741798996925354,832,distractor,-1.0,-0.741798996925354
llama,arith_ctx_001_asserted_conflict,1,asserted_conflict,competition,two,one,832,distractor,-1.734375,-1.5355899333953855,832,distractor,-1.734375,-1.5355899333953855
llama,arith_ctx_001_explicit_correction,1,explicit_correction,closure,two,one,832,distractor,-0.578125,-0.2645971775054931,4330,other,-0.421875,-0.0581272840499877
llama,arith_ctx_001_final_recheck,1,final_recheck,closure,two,one,832,distractor,-1.15625,-0.8793975114822388,832,distractor,-0.515625,-0.1550024151802063
llama,arith_ctx_002_clean,2,clean,stable,six,eight,4848,consistent,0.203125,0.5825760364532471,4848,consistent,0.203125,0.5825760364532471
llama,arith_ctx_002_paraphrase,2,paraphrase,stable,six,eight,4848,consistent,1.25,1.6515603065490725,4848,consistent,1.25,1.6515603065490725
llama,arith_ctx_002_untrusted_conflict,2,untrusted_conflict,competition,six,eight,4848,consistent,0.109375,0.4566347599029541,4848,consistent,0.109375,0.4566347599029541
llama,arith_ctx_002_asserted_conflict,2,asserted_conflict,competition,six,eight,8223,distractor,-0.109375,0.2195258140563964,8223,distractor,-0.109375,0.2195258140563964
llama,arith_ctx_002_explicit_correction,2,explicit_correction,closure,six,eight,8223,distractor,-0.25,0.106697678565979,8223,distractor,-0.125,0.200608342885971
llama,arith_ctx_002_final_recheck,2,final_recheck,closure,six,eight,8223,distractor,-0.546875,-0.2173690795898437,8223,distractor,-0.828125,-0.4921174049377441
llama,arith_ctx_004_clean,4,clean,stable,eight,eleven,8223,consistent,0.921875,0.5780701637268066,8223,consistent,0.921875,0.5780701637268066
llama,arith_ctx_004_paraphrase,4,paraphrase,stable,eight,eleven,8223,consistent,1.53125,1.1890220642089844,8223,consistent,1.53125,1.1890220642089844
llama,arith_ctx_004_untrusted_conflict,4,untrusted_conflict,competition,eight,eleven,8223,consistent,0.765625,0.399463415145874,8223,consistent,0.765625,0.399463415145874
llama,arith_ctx_004_asserted_conflict,4,asserted_conflict,competition,eight,eleven,8223,consistent,1.265625,0.9380159378051758,8223,consistent,1.265625,0.9380159378051758
llama,arith_ctx_004_explicit_correction,4,explicit_correction,closure,eight,eleven,8223,consistent,0.5625,0.2131281793117523,45314,distractor,-0.046875,-0.4611496925354004
llama,arith_ctx_004_final_recheck,4,final_recheck,closure,eight,eleven,8223,consistent,1.015625,0.6818303465843201,8223,consistent,1.015625,0.6818303465843201
llama,arith_ctx_005_clean,5,clean,stable,twenty,seventeen,82497,distractor,-0.390625,0.5780701637268066,82497,distractor,-0.390625,0.5780701637268066
llama,arith_ctx_005_paraphrase,5,paraphrase,stable,twenty,seventeen,82497,distractor,-1.265625,-0.2915884256362915,82497,distractor,-1.265625,-0.2915884256362915
llama,arith_ctx_005_untrusted_conflict,5,untrusted_conflict,competition,twenty,seventeen,82497,distractor,-1.421875,-0.5026966333389282,82497,distractor,-1.421875,-0.5026966333389282
llama,arith_ctx_005_asserted_conflict,5,asserted_conflict,competition,twenty,seventeen,82497,distractor,-1.4375,-0.5174055099487305,82497,distractor,-1.4375,-0.5174055099487305
llama,arith_ctx_005_explicit_correction,5,explicit_correction,closure,twenty,seventeen,4330,other,-0.71875,0.2258074581623077,82497,distractor,-2.6953125,-1.7536189556121826
llama,arith_ctx_005_final_recheck,5,final_recheck,closure,twenty,seventeen,82497,distractor,-1.84375,-0.9368065595626832,4330,other,-2.234375,-1.286428928375244
llama,arith_ctx_006_clean,6,clean,stable,seventeen,eighteen,82497,consistent,1.421875,0.5780701637268066,82497,consistent,1.421875,0.5780701637268066
llama,arith_ctx_006_paraphrase,6,paraphrase,stable,seventeen,eighteen,82497,consistent,1.65625,0.832417368888855,82497,consistent,1.65625,0.832417368888855
llama,arith_ctx_006_untrusted_conflict,6,untrusted_conflict,competition,seventeen,eighteen,82497,consistent,1.59375,0.776749312877655,82497,consistent,1.59375,0.776749312877655
llama,arith_ctx_006_asserted_conflict,6,asserted_conflict,competition,seventeen,eighteen,82497,consistent,1.59375,0.7771411538124084,82497,consistent,1.59375,0.7771411538124084
llama,arith_ctx_006_explicit_correction,6,explicit_correction,closure,seventeen,eighteen,82497,consistent,1.296875,0.4671706855297088,63134,distractor,-0.109375,-0.9655792713165284
llama,arith_ctx_006_final_recheck,6,final_recheck,closure,seventeen,eighteen,82497,consistent,1.765625,0.941379189491272,82497,consistent,1.765625,0.941379189491272
llama,arith_ctx_012_clean,12,clean,stable,seven,eight,8223,distractor,-0.109375,0.5597461462020874,8223,distractor,-0.109375,0.5597461462020874
llama,arith_ctx_012_paraphrase,12,paraphrase,stable,seven,eight,8254,consistent,0.859375,1.5729591846466064,8254,consistent,0.859375,1.5729591846466064
llama,arith_ctx_012_untrusted_conflict,12,untrusted_conflict,competition,seven,eight,8254,consistent,0.265625,0.957354724407196,8254,consistent,0.265625,0.957354724407196
llama,arith_ctx_012_asserted_conflict,12,asserted_conflict,competition,seven,eight,8254,consistent,0.28125,0.9411913752555848,8254,consistent,0.28125,0.9411913752555848
llama,arith_ctx_012_explicit_correction,12,explicit_correction,closure,seven,eight,8254,consistent,0.09375,0.7822765707969666,8223,distractor,-0.328125,0.3283447623252868
llama,arith_ctx_012_final_recheck,12,final_recheck,closure,seven,eight,8223,distractor,-0.078125,0.5810644030570984,8223,distractor,-1.53125,-0.920382022857666
llama,arith_ctx_017_clean,17,clean,stable,thirteen,ten,5899,distractor,-0.328125,0.5762678384780884,5899,distractor,-0.328125,0.5762678384780884
llama,arith_ctx_017_paraphrase,17,paraphrase,stable,thirteen,ten,5899,distractor,-0.796875,0.0582693815231323,5899,distractor,-0.796875,0.0582693815231323
llama,arith_ctx_017_untrusted_conflict,17,untrusted_conflict,competition,thirteen,ten,5899,distractor,-1.75,-0.9139878749847412,5899,distractor,-1.75,-0.9139878749847412
llama,arith_ctx_017_asserted_conflict,17,asserted_conflict,competition,thirteen,ten,5899,distractor,-2.9375,-2.134586334228516,5899,distractor,-2.9375,-2.134586334228516
llama,arith_ctx_017_explicit_correction,17,explicit_correction,closure,thirteen,ten,5899,distractor,-0.71875,0.145805150270462,5899,distractor,-2.578125,-1.746091365814209
llama,arith_ctx_017_final_recheck,17,final_recheck,closure,thirteen,ten,5899,distractor,-3.25,-2.442282199859619,5899,distractor,-3.25,-2.442282199859619
llama,arith_ctx_018_clean,18,clean,stable,seventeen,eighteen,63134,distractor,-0.234375,0.5658566355705261,63134,distractor,-0.234375,0.5658566355705261
llama,arith_ctx_018_paraphrase,18,paraphrase,stable,seventeen,eighteen,82497,consistent,1.09375,1.914365649223328,82497,consistent,1.09375,1.914365649223328
llama,arith_ctx_018_untrusted_conflict,18,untrusted_conflict,competition,seventeen,eighteen,82497,consistent,0.359375,1.176114797592163,82497,consistent,0.359375,1.176114797592163
llama,arith_ctx_018_asserted_conflict,18,asserted_conflict,competition,seventeen,eighteen,82497,consistent,0.375,1.2031476497650146,82497,consistent,0.375,1.2031476497650146
llama,arith_ctx_018_explicit_correction,18,explicit_correction,closure,seventeen,eighteen,4330,other,0.046875,0.838154673576355,220,other,0.1875,1.006655216217041
llama,arith_ctx_018_final_recheck,18,final_recheck,closure,seventeen,eighteen,82497,consistent,1.203125,2.0382959842681885,220,other,0.265625,1.0955342054367063
llama,arith_ctx_019_clean,19,clean,stable,zero,twenty,7315,consistent,1.75,0.5847357511520386,7315,consistent,1.75,0.5847357511520386
llama,arith_ctx_019_paraphrase,19,paraphrase,stable,zero,twenty,17510,distractor,-0.015625,-1.1894432306289673,17510,distractor,-0.015625,-1.1894432306289673
