prompt_id,graph_id,condition,mechanism,clean_label,conflict_label,DeltaU,final_clean_logit,final_conflict_logit,pair_choice,control,final_margin,baseline_DeltaU,baseline_margin,baseline_pair_choice,margin_shift,DeltaU_shift,pair_flip,crossed
g009_competition_balanced,9,competition_balanced,competition,East,West,0.035807736217975616,16.859375,17.8125,conflict,none,-0.953125,0.03580774,-0.953125,conflict,0.0,-3.725290298461914e-09,False,False
g009_direct_conflict,9,direct_conflict,competition,East,West,0.11129629611968994,17.65625,18.5625,conflict,none,-0.90625,0.109127775,-0.921875,conflict,0.015625,0.002168521285057068,False,False
g009_closure_update,9,closure_update,closure,East,West,-1.0546406507492065,17.75,19.796875,conflict,none,-2.046875,-1.0553831,-2.046875,conflict,0.0,0.0007424354553222656,False,False
g009_closure_override,9,closure_override,closure,East,West,-0.7776646614074707,18.53125,20.34375,conflict,none,-1.8125,-0.77766466,-1.8125,conflict,0.0,0.0,False,False
g009_exception_override,9,exception_override,closure,East,West,-0.7236138582229614,18.609375,20.375,conflict,none,-1.765625,-0.72361386,-1.765625,conflict,0.0,0.0,False,False
g010_clean,10,clean,stable,Copper,Silver,0.10383232682943344,16.96875,15.8984375,clean,none,1.0703125,0.096519895,1.0703125,clean,0.0,0.0073124319314956665,False,False
g010_redundant,10,redundant,stable,Copper,Silver,0.2637192904949188,17.671875,16.4375,clean,none,1.234375,0.26656896,1.234375,clean,0.0,-0.002849668264389038,False,False
g010_irrelevant,10,irrelevant,stable,Copper,Silver,-0.9189203381538391,17.109375,17.046875,clean,none,0.0625,-0.91819376,0.0625,clean,0.0,-0.0007265806198120117,False,False
g010_paraphrase,10,paraphrase,stable,Copper,Silver,0.6578822731971741,22.078125,20.484375,clean,none,1.59375,0.6625302,1.59375,clean,0.0,-0.0046479105949401855,False,False
g010_weak_distractor,10,weak_distractor,competition,Copper,Silver,-0.05595814436674118,18.6875,17.703125,clean,none,0.984375,-0.055958144,0.984375,clean,0.0,0.0,False,False
g010_competition_balanced,10,competition_balanced,competition,Copper,Silver,-0.13028696179389954,18.5,17.578125,clean,none,0.921875,-0.13028696,0.921875,clean,0.0,0.0,False,False
g010_direct_conflict,10,direct_conflict,competition,Copper,Silver,0.36064985394477844,18.78125,17.46875,clean,none,1.3125,0.35834512,1.3125,clean,0.0,0.0023047327995300293,False,False
g010_closure_update,10,closure_update,closure,Copper,Silver,-0.9048815369606018,16.71875,16.703125,clean,none,0.015625,-0.908966,0.015625,clean,0.0,0.004084467887878418,False,False
g010_closure_override,10,closure_override,closure,Copper,Silver,-0.6948902010917664,19.5,19.171875,clean,none,0.328125,-0.69679904,0.328125,clean,0.0,0.0019088387489318848,False,False
g010_exception_override,10,exception_override,closure,Copper,Silver,-0.207256019115448,20.234375,19.4375,clean,none,0.796875,-0.21214822,0.796875,clean,0.0,0.004892200231552124,False,False
g011_clean,11,clean,stable,Gold,Iron,0.09651989489793777,19.25,18.09375,clean,none,1.15625,0.096519895,1.15625,clean,0.0,0.0,False,False
g011_redundant,11,redundant,stable,Gold,Iron,-0.02607717365026474,19.359375,18.265625,clean,none,1.09375,-0.026077174,1.09375,clean,0.0,0.0,False,False
g011_irrelevant,11,irrelevant,stable,Gold,Iron,0.053493279963731766,19.4375,18.328125,clean,none,1.109375,0.0428718,1.09375,clean,0.015625,0.010621480643749237,False,False
g011_paraphrase,11,paraphrase,stable,Gold,Iron,0.8906953930854797,21.625,19.78125,clean,none,1.84375,0.8880572,1.84375,clean,0.0,0.00263822078704834,False,False
g011_weak_distractor,11,weak_distractor,competition,Gold,Iron,0.43716615438461304,20.171875,18.703125,clean,none,1.46875,0.43716615,1.46875,clean,0.0,0.0,False,False
g011_competition_balanced,11,competition_balanced,competition,Gold,Iron,-0.09944608062505722,19.515625,18.609375,clean,none,0.90625,-0.09944608,0.90625,clean,0.0,0.0,False,False
g011_direct_conflict,11,direct_conflict,competition,Gold,Iron,0.401094913482666,19.96875,18.59375,clean,none,1.375,0.39778602,1.375,clean,0.0,0.003308892250061035,False,False
g011_closure_update,11,closure_update,closure,Gold,Iron,-0.37488043308258057,19.625,18.953125,clean,none,0.671875,-0.37311885,0.6875,clean,-0.015625,-0.0017615854740142822,False,False
g011_closure_override,11,closure_override,closure,Gold,Iron,-0.08464358001947403,20.796875,19.921875,clean,none,0.875,-0.08464358,0.875,clean,0.0,0.0,False,False
g011_exception_override,11,exception_override,closure,Gold,Iron,0.5367332696914673,21.15625,19.609375,clean,none,1.546875,0.53673327,1.546875,clean,0.0,0.0,False,False
g012_clean,12,clean,stable,Red,Blue,0.09651989489793777,19.203125,19.453125,conflict,none,-0.25,0.096519895,-0.25,conflict,0.0,0.0,False,False
g012_redundant,12,redundant,stable,Red,Blue,0.10531533509492874,19.5,19.71875,conflict,none,-0.21875,0.105315335,-0.21875,conflict,0.0,0.0,False,False
g012_irrelevant,12,irrelevant,stable,Red,Blue,0.2817734479904175,20.15625,20.25,conflict,none,-0.09375,0.28180778,-0.078125,conflict,-0.015625,-3.4332275390625e-05,False,False
g012_paraphrase,12,paraphrase,stable,Red,Blue,-0.21234440803527832,21.8125,22.15625,conflict,none,-0.34375,-0.21329752,-0.359375,conflict,0.015625,0.0009531080722808838,False,False
g012_weak_distractor,12,weak_distractor,competition,Red,Blue,0.3852173089981079,19.90625,19.90625,clean,none,0.0,0.38521734,0.0,clean,0.0,-2.9802322387695312e-08,False,False
g012_competition_balanced,12,competition_balanced,competition,Red,Blue,0.0025087296962738037,19.421875,19.765625,conflict,none,-0.34375,0.0025087297,-0.34375,conflict,0.0,0.0,False,False
g012_direct_conflict,12,direct_conflict,competition,Red,Blue,0.4687867760658264,20.640625,20.546875,clean,none,0.09375,0.46166423,0.078125,clean,0.015625,0.007122546434402466,False,False
g012_closure_update,12,closure_update,closure,Red,Blue,-1.5096964836120605,19.5,21.109375,conflict,none,-1.609375,-1.5070558,-1.609375,conflict,0.0,-0.0026407241821289062,False,False
g012_closure_override,12,closure_override,closure,Red,Blue,-0.8891008496284485,19.546875,20.703125,conflict,none,-1.15625,-0.8803077,-1.15625,conflict,0.0,-0.008793175220489502,False,False
g012_exception_override,12,exception_override,closure,Red,Blue,-0.8802308440208435,20.609375,21.734375,conflict,none,-1.125,-0.8724777,-1.109375,conflict,-0.015625,-0.007753133773803711,False,False
g015_clean,15,clean,stable,East,West,0.09651989489793777,18.265625,18.078125,clean,none,0.1875,0.096519895,0.1875,clean,0.0,0.0,False,False
g015_redundant,15,redundant,stable,East,West,-0.06059084087610245,17.515625,17.546875,conflict,none,-0.03125,-0.060590856,-0.03125,conflict,0.0,1.4901161193847656e-08,False,False
g015_irrelevant,15,irrelevant,stable,East,West,0.008470900356769562,18.890625,18.8125,clean,none,0.078125,0.0048534647,0.078125,clean,0.0,0.0036174356937408447,False,False
g015_paraphrase,15,paraphrase,stable,East,West,0.9877246022224426,21.859375,20.953125,clean,none,0.90625,0.9863481,0.90625,clean,0.0,0.001376509666442871,False,False
g015_weak_distractor,15,weak_distractor,competition,East,West,0.013011880218982697,18.109375,18.078125,clean,none,0.03125,0.013011888,0.03125,clean,0.0,-7.450580596923828e-09,False,False
g015_competition_balanced,15,competition_balanced,competition,East,West,0.09802375733852386,17.578125,17.421875,clean,none,0.15625,0.09802376,0.15625,clean,0.0,0.0,False,False
g015_direct_conflict,15,direct_conflict,competition,East,West,0.3012436330318451,19.1875,18.875,clean,none,0.3125,0.29959768,0.3125,clean,0.0,0.0016459524631500244,False,False
g015_closure_update,15,closure_update,closure,East,West,-1.1525285243988037,19.375,20.421875,conflict,none,-1.046875,-1.1581402,-1.046875,conflict,0.0,0.0056116580963134766,False,False
g015_closure_override,15,closure_override,closure,East,West,-0.3843480944633484,19.171875,19.546875,conflict,none,-0.375,-0.3848897,-0.390625,conflict,0.015625,0.0005415976047515869,False,False
g015_exception_override,15,exception_override,closure,East,West,-0.6562487483024597,19.96875,20.625,conflict,none,-0.65625,-0.6573653,-0.65625,conflict,0.0,0.0011165738105773926,False,False
g018_clean,18,clean,stable,Red,Blue,0.09651989489793777,20.03125,20.125,conflict,none,-0.09375,0.096519895,-0.09375,conflict,0.0,0.0,False,False
g018_redundant,18,redundant,stable,Red,Blue,0.1350996494293213,20.28125,20.3125,conflict,none,-0.03125,0.13509965,-0.03125,conflict,0.0,0.0,False,False
g018_irrelevant,18,irrelevant,stable,Red,Blue,0.4096161425113678,20.59375,20.40625,clean,none,0.1875,0.4127895,0.1875,clean,0.0,-0.003173351287841797,False,False
g018_paraphrase,18,paraphrase,stable,Red,Blue,-0.34762847423553467,22.03125,22.40625,conflict,none,-0.375,-0.35118043,-0.375,conflict,0.0,0.003551959991455078,False,False
g018_weak_distractor,18,weak_distractor,competition,Red,Blue,0.43852660059928894,20.515625,20.328125,clean,none,0.1875,0.4385266,0.1875,clean,0.0,0.0,False,False
g018_competition_balanced,18,competition_balanced,competition,Red,Blue,-0.021489806473255157,20.578125,20.78125,conflict,none,-0.203125,-0.021489806,-0.203125,conflict,0.0,0.0,False,False
g018_direct_conflict,18,direct_conflict,competition,Red,Blue,0.23710015416145325,21.1875,21.15625,clean,none,0.03125,0.24056262,0.046875,clean,-0.015625,-0.003462463617324829,False,False
g018_closure_update,18,closure_update,closure,Red,Blue,-1.717936396598816,20.171875,21.875,conflict,none,-1.703125,-1.7177058,-1.6875,conflict,-0.015625,-0.00023055076599121094,False,False
g018_closure_override,18,closure_override,closure,Red,Blue,-0.6354148387908936,20.671875,21.46875,conflict,none,-0.796875,-0.6289812,-0.796875,conflict,0.0,-0.006433665752410889,False,False
g018_exception_override,18,exception_override,closure,Red,Blue,-1.2427836656570435,20.546875,21.953125,conflict,none,-1.40625,-1.238973,-1.40625,conflict,0.0,-0.0038106441497802734,False,False
g022_clean,22,clean,stable,Copper,Silver,0.09651989489793777,18.46875,16.59375,clean,none,1.875,0.096519895,1.875,clean,0.0,0.0,False,False
g022_redundant,22,redundant,stable,Copper,Silver,0.06446260213851929,18.828125,16.953125,clean,none,1.875,0.0644626,1.875,clean,0.0,0.0,False,False
g022_irrelevant,22,irrelevant,stable,Copper,Silver,-0.43269938230514526,18.40625,17.0625,clean,none,1.34375,-0.43269938,1.34375,clean,0.0,0.0,False,False
g022_paraphrase,22,paraphrase,stable,Copper,Silver,0.054863639175891876,21.96875,20.171875,clean,none,1.796875,0.054863635,1.796875,clean,0.0,3.725290298461914e-09,False,False
g022_weak_distractor,22,weak_distractor,competition,Copper,Silver,0.35073181986808777,19.828125,17.6875,clean,none,2.140625,0.35073182,2.140625,clean,0.0,0.0,False,False
g022_competition_balanced,22,competition_balanced,competition,Copper,Silver,-0.18310895562171936,19.125,17.46875,clean,none,1.65625,-0.18310896,1.65625,clean,0.0,0.0,False,False
g022_direct_conflict,22,direct_conflict,competition,Copper,Silver,0.05713929235935211,19.265625,17.453125,clean,none,1.8125,0.057139292,1.8125,clean,0.0,0.0,False,False
g022_closure_update,22,closure_update,closure,Copper,Silver,-0.7304006218910217,18.078125,17.078125,clean,none,1.0,-0.7304006,1.0,clean,0.0,0.0,False,False
g022_closure_override,22,closure_override,closure,Copper,Silver,-0.5820021629333496,20.3125,19.09375,clean,none,1.21875,-0.5883026,1.203125,clean,0.015625,0.006300449371337891,False,False
g022_exception_override,22,exception_override,closure,Copper,Silver,-0.944343626499176,20.359375,19.546875,clean,none,0.8125,-0.9436622,0.8125,clean,0.0,-0.0006814002990722656,False,False
g026_clean,26,clean,stable,North,South,0.09651989489793777,20.046875,18.53125,clean,none,1.515625,0.096519895,1.515625,clean,0.0,0.0,False,False
g026_redundant,26,redundant,stable,North,South,-0.1331053078174591,20.34375,19.0,clean,none,1.34375,-0.13310531,1.34375,clean,0.0,0.0,False,False
g026_irrelevant,26,irrelevant,stable,North,South,-0.04002834111452103,20.65625,19.28125,clean,none,1.375,-0.047256388,1.375,clean,0.0,0.007228046655654907,False,False
g026_paraphrase,26,paraphrase,stable,North,South,0.8241369128227234,22.796875,20.40625,clean,none,2.390625,0.8260698,2.390625,clean,0.0,-0.0019328594207763672,False,False
g026_weak_distractor,26,weak_distractor,competition,North,South,0.1079772561788559,20.09375,18.5625,clean,none,1.53125,0.107977256,1.53125,clean,0.0,0.0,False,False
g026_competition_balanced,26,competition_balanced,competition,North,South,-0.8311487436294556,19.625,18.953125,clean,none,0.671875,-0.83114874,0.671875,clean,0.0,0.0,False,False
g026_direct_conflict,26,direct_conflict,competition,North,South,-0.35294023156166077,20.84375,19.6875,clean,none,1.15625,-0.3527302,1.15625,clean,0.0,-0.00021001696586608887,False,False
g026_closure_update,26,closure_update,closure,North,South,-1.1289260387420654,20.75,20.3125,clean,none,0.4375,-1.1327538,0.421875,clean,0.015625,0.003827810287475586,False,False
g026_closure_override,26,closure_override,closure,North,South,-0.6461969017982483,21.09375,20.21875,clean,none,0.875,-0.6461969,0.875,clean,0.0,0.0,False,False
g026_exception_override,26,exception_override,closure,North,South,-1.1680690050125122,21.4375,21.03125,clean,none,0.40625,-1.168069,0.40625,clean,0.0,0.0,False,False
g030_clean,30,clean,stable,Red,Blue,0.09651989489793777,20.265625,19.828125,clean,none,0.4375,0.096519895,0.4375,clean,0.0,0.0,False,False
g030_redundant,30,redundant,stable,Red,Blue,0.050267867743968964,20.609375,20.203125,clean,none,0.40625,0.050267864,0.40625,clean,0.0,3.725290298461914e-09,False,False
g030_irrelevant,30,irrelevant,stable,Red,Blue,0.10370226204395294,20.828125,20.40625,clean,none,0.421875,0.10370226,0.421875,clean,0.0,0.0,False,False
g030_paraphrase,30,paraphrase,stable,Red,Blue,-0.21893230080604553,22.84375,22.5625,clean,none,0.28125,-0.2189323,0.28125,clean,0.0,0.0,False,False
g030_weak_distractor,30,weak_distractor,competition,Red,Blue,0.757170557975769,21.171875,20.171875,clean,none,1.0,0.75717056,1.0,clean,0.0,0.0,False,False
g030_competition_balanced,30,competition_balanced,competition,Red,Blue,-0.012333020567893982,20.875,20.53125,clean,none,0.34375,-0.012333021,0.34375,clean,0.0,0.0,False,False
g030_direct_conflict,30,direct_conflict,competition,Red,Blue,0.18523994088172913,21.5625,21.078125,clean,none,0.484375,0.18523994,0.484375,clean,0.0,0.0,False,False
g030_closure_update,30,closure_update,closure,Red,Blue,-1.6016396284103394,20.75,21.796875,conflict,none,-1.046875,-1.6016396,-1.046875,conflict,0.0,0.0,False,False
g030_closure_override,30,closure_override,closure,Red,Blue,-0.39672088623046875,21.34375,21.390625,conflict,none,-0.046875,-0.39672086,-0.046875,conflict,0.0,-2.9802322387695312e-08,False,False
g030_exception_override,30,exception_override,closure,Red,Blue,-1.1412625312805176,21.21875,21.984375,conflict,none,-0.765625,-1.1412625,-0.765625,conflict,0.0,0.0,False,False
g031_clean,31,clean,stable,Green,Yellow,0.09651989489793777,18.65625,19.125,conflict,none,-0.46875,0.096519895,-0.46875,conflict,0.0,0.0,False,False
g031_redundant,31,redundant,stable,Green,Yellow,0.5796703696250916,19.4375,19.40625,clean,none,0.03125,0.5796704,0.03125,clean,0.0,-5.960464477539063e-08,False,False
g031_irrelevant,31,irrelevant,stable,Green,Yellow,0.33958277106285095,19.375,19.640625,conflict,none,-0.265625,0.33958277,-0.265625,conflict,0.0,0.0,False,False
g031_paraphrase,31,paraphrase,stable,Green,Yellow,0.2929936647415161,21.390625,21.703125,conflict,none,-0.3125,0.29299366,-0.3125,conflict,0.0,0.0,False,False
g031_weak_distractor,31,weak_distractor,competition,Green,Yellow,0.5675296783447266,19.25,19.296875,conflict,none,-0.046875,0.5675296,-0.046875,conflict,0.0,5.960464477539063e-08,False,False
g031_competition_balanced,31,competition_balanced,competition,Green,Yellow,-0.3437967598438263,19.296875,20.140625,conflict,none,-0.84375,-0.34379676,-0.84375,conflict,0.0,0.0,False,False
g031_direct_conflict,31,direct_conflict,competition,Green,Yellow,-0.047119684517383575,20.140625,20.75,conflict,none,-0.609375,-0.047119685,-0.609375,conflict,0.0,0.0,False,False
g031_closure_update,31,closure_update,closure,Green,Yellow,-0.8563449382781982,19.71875,21.0,conflict,none,-1.28125,-0.85634494,-1.28125,conflict,0.0,0.0,False,False
g031_closure_override,31,closure_override,closure,Green,Yellow,0.23674240708351135,19.65625,19.9375,conflict,none,-0.28125,0.2367424,-0.28125,conflict,0.0,0.0,False,False
g031_exception_override,31,exception_override,closure,Green,Yellow,-0.8587291240692139,19.96875,21.296875,conflict,none,-1.328125,-0.8587291,-1.328125,conflict,0.0,0.0,False,False
g033_clean,33,clean,stable,East,West,0.09651989489793777,17.1875,17.40625,conflict,none,-0.21875,0.096519895,-0.21875,conflict,0.0,0.0,False,False
g033_redundant,33,redundant,stable,East,West,0.4211556613445282,17.046875,17.015625,clean,none,0.03125,0.42115566,0.03125,clean,0.0,0.0,False,False
g033_irrelevant,33,irrelevant,stable,East,West,0.43629541993141174,18.640625,18.53125,clean,none,0.109375,0.4401777,0.109375,clean,0.0,-0.003882288932800293,False,False
g033_paraphrase,33,paraphrase,stable,East,West,1.5573387145996094,22.46875,21.4375,clean,none,1.03125,1.5616745,1.03125,clean,0.0,-0.004335761070251465,False,False
g033_weak_distractor,33,weak_distractor,competition,East,West,0.6950101256370544,18.09375,17.796875,clean,none,0.296875,0.6950101,0.296875,clean,0.0,0.0,False,False
g033_competition_balanced,33,competition_balanced,competition,East,West,0.2214757204055786,17.0,17.15625,conflict,none,-0.15625,0.22147572,-0.15625,conflict,0.0,0.0,False,False
g033_direct_conflict,33,direct_conflict,competition,East,West,0.18996280431747437,18.1875,18.40625,conflict,none,-0.21875,0.18814482,-0.21875,conflict,0.0,0.0018179863691329956,False,False
g033_closure_update,33,closure_update,closure,East,West,-0.09673287719488144,18.96875,19.40625,conflict,none,-0.4375,-0.09631684,-0.4375,conflict,0.0,-0.00041604042053222656,False,False
g033_closure_override,33,closure_override,closure,East,West,0.5076326131820679,19.21875,19.09375,clean,none,0.125,0.5116069,0.109375,clean,0.015625,-0.003974258899688721,False,False
g033_exception_override,33,exception_override,closure,East,West,-0.6496302485466003,19.4375,20.515625,conflict,none,-1.078125,-0.65992016,-1.0625,conflict,-0.015625,0.010289907455444336,False,False
g039_clean,39,clean,stable,East,West,0.09651989489793777,16.984375,16.671875,clean,none,0.3125,0.096519895,0.3125,clean,0.0,0.0,False,False
g039_redundant,39,redundant,stable,East,West,0.1541752815246582,17.03125,16.75,clean,none,0.28125,0.15417528,0.28125,clean,0.0,0.0,False,False
g039_irrelevant,39,irrelevant,stable,East,West,0.7475119829177856,18.34375,17.390625,clean,none,0.953125,0.747512,0.953125,clean,0.0,0.0,False,False
g039_paraphrase,39,paraphrase,stable,East,West,1.3071728944778442,22.5625,21.296875,clean,none,1.265625,1.3071729,1.265625,clean,0.0,0.0,False,False
g039_weak_distractor,39,weak_distractor,competition,East,West,0.42941898107528687,17.453125,16.921875,clean,none,0.53125,0.42941898,0.53125,clean,0.0,0.0,False,False
g039_competition_balanced,39,competition_balanced,competition,East,West,-0.4540290832519531,16.28125,16.578125,conflict,none,-0.296875,-0.45402908,-0.296875,conflict,0.0,0.0,False,False
g039_direct_conflict,39,direct_conflict,competition,East,West,-0.3096514940261841,17.890625,18.09375,conflict,none,-0.203125,-0.3096515,-0.203125,conflict,0.0,0.0,False,False
g039_closure_update,39,closure_update,closure,East,West,-0.5048615336418152,18.859375,19.203125,conflict,none,-0.34375,-0.5048615,-0.34375,conflict,0.0,-5.960464477539063e-08,False,False
g039_closure_override,39,closure_override,closure,East,West,0.6132575273513794,19.90625,19.203125,clean,none,0.703125,0.6132575,0.703125,clean,0.0,0.0,False,False
g039_exception_override,39,exception_override,closure,East,West,-0.41470521688461304,20.078125,20.390625,conflict,none,-0.3125,-0.41470522,-0.3125,conflict,0.0,0.0,False,False
g040_clean,40,clean,stable,Copper,Silver,0.09651989489793777,17.21875,15.9375,clean,none,1.28125,0.096519895,1.28125,clean,0.0,0.0,False,False
g040_redundant,40,redundant,stable,Copper,Silver,-0.18964186310768127,17.765625,16.703125,clean,none,1.0625,-0.18964186,1.0625,clean,0.0,0.0,False,False
g040_irrelevant,40,irrelevant,stable,Copper,Silver,-0.6945507526397705,16.578125,16.046875,clean,none,0.53125,-0.69455075,0.53125,clean,0.0,0.0,False,False
g040_paraphrase,40,paraphrase,stable,Copper,Silver,0.5187141299247742,22.4375,20.75,clean,none,1.6875,0.51871413,1.6875,clean,0.0,0.0,False,False
g040_weak_distractor,40,weak_distractor,competition,Copper,Silver,-0.1385709047317505,18.8125,17.71875,clean,none,1.09375,-0.1385709,1.09375,clean,0.0,0.0,False,False
g040_competition_balanced,40,competition_balanced,competition,Copper,Silver,-0.409671425819397,17.859375,17.0,clean,none,0.859375,-0.40967143,0.859375,clean,0.0,0.0,False,False
g040_direct_conflict,40,direct_conflict,competition,Copper,Silver,-0.3640519678592682,17.75,16.890625,clean,none,0.859375,-0.36405197,0.859375,clean,0.0,0.0,False,False
g040_closure_update,40,closure_update,closure,Copper,Silver,-0.9298798441886902,17.046875,16.796875,clean,none,0.25,-0.92987984,0.25,clean,0.0,0.0,False,False
g040_closure_override,40,closure_override,closure,Copper,Silver,-0.7101845741271973,20.1875,19.671875,clean,none,0.515625,-0.7063633,0.515625,clean,0.0,-0.003821253776550293,False,False
g040_exception_override,40,exception_override,closure,Copper,Silver,-1.07267427444458,20.390625,20.25,clean,none,0.140625,-1.0720196,0.125,clean,0.015625,-0.0006546974182128906,False,False
g042_clean,42,clean,stable,Red,Blue,0.10353389382362366,19.0625,19.296875,conflict,none,-0.234375,0.096519895,-0.25,conflict,0.015625,0.007013998925685883,False,False
g042_redundant,42,redundant,stable,Red,Blue,0.1460440754890442,19.046875,19.234375,conflict,none,-0.1875,0.1457398,-0.1875,conflict,0.0,0.00030428171157836914,False,False
g042_irrelevant,42,irrelevant,stable,Red,Blue,0.30660369992256165,19.734375,19.796875,conflict,none,-0.0625,0.3066037,-0.0625,conflict,0.0,0.0,False,False
g042_paraphrase,42,paraphrase,stable,Red,Blue,-0.1296592354774475,21.5,21.78125,conflict,none,-0.28125,-0.12965924,-0.28125,conflict,0.0,0.0,False,False
g042_weak_distractor,42,weak_distractor,competition,Red,Blue,0.6531693339347839,19.59375,19.359375,clean,none,0.234375,0.65316933,0.234375,clean,0.0,0.0,False,False
g042_competition_balanced,42,competition_balanced,competition,Red,Blue,-0.13652518391609192,19.703125,20.171875,conflict,none,-0.46875,-0.13652518,-0.46875,conflict,0.0,0.0,False,False
g042_direct_conflict,42,direct_conflict,competition,Red,Blue,0.3188709020614624,20.484375,20.53125,conflict,none,-0.046875,0.32082614,-0.03125,conflict,-0.015625,-0.0019552409648895264,False,False
g042_closure_update,42,closure_update,closure,Red,Blue,-1.6854610443115234,19.078125,20.921875,conflict,none,-1.84375,-1.6832155,-1.84375,conflict,0.0,-0.0022455453872680664,False,False
g042_closure_override,42,closure_override,closure,Red,Blue,-1.141708493232727,19.34375,20.765625,conflict,none,-1.421875,-1.1521057,-1.421875,conflict,0.0,0.010397195816040039,False,False
g042_exception_override,42,exception_override,closure,Red,Blue,-1.4225034713745117,19.984375,21.65625,conflict,none,-1.671875,-1.4299504,-1.6875,conflict,0.015625,0.007446885108947754,False,False
